"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","evidence_level"
"RPS6KA3","LIHC",20,0.0490463215258856,FALSE,555,3298,130,"B"
"KMT2B","LIHC",75,0.0463215258855586,FALSE,797,3493,233,"B"
"BPTF","LIHC",61,0.0326975476839237,FALSE,725,5959,112,"B"
"ARID1B","LIHC",94,0.0299727520435967,TRUE,811,163,197,"A"
"MECOM","LIHC",71,0.0272479564032698,TRUE,1427,3020,780,"B"
"NCOA3","LIHC",35,0.0245231607629428,FALSE,120,109,185,"B"
"MYH11","LIHC",47,0.0245231607629428,TRUE,173,3731,425,"B"
"EBF1","LIHC",48,0.0190735694822888,TRUE,428,6849,2803,"B"
"PBX1","LIHC",69,0.0190735694822888,TRUE,386,528,823,"B"
"HNF1A","LIHC",70,0.0190735694822888,TRUE,490,3830,333,"A"
"IKZF1","LIHC",76,0.0190735694822888,TRUE,184,321,426,"B"
"NCOA2","LIHC",89,0.0190735694822888,TRUE,242,204,253,"B"
"MED12","LIHC",68,0.0163487738419619,TRUE,580,199,446,"B"
"KDM4C","LIHC",91,0.0163487738419619,FALSE,3339,4558,2141,"C"
"CDK9","LIHC",21,0.0136239782016349,FALSE,311,162,571,"B"
"STAT1","LIHC",42,0.0136239782016349,FALSE,200,116,125,"B"
"HNF4A","LIHC",52,0.0136239782016349,FALSE,245,10727,323,"B"
"JAK2","LIHC",62,0.0136239782016349,TRUE,222,135,168,"B"
"TRIM28","LIHC",95,0.0136239782016349,FALSE,175,7379,325,"B"
"CTCF","LIHC",26,0.0108991825613079,TRUE,379,130,284,"B"
"SPI1","LIHC",28,0.0108991825613079,FALSE,369,602,566,"C"
"PARP1","LIHC",78,0.0108991825613079,FALSE,279,122,229,"B"
"GATA3","LIHC",79,0.0108991825613079,TRUE,336,11295,745,"B"
"SMAD4","LIHC",82,0.0108991825613079,TRUE,308,12171,150,"B"
"NR2F2","LIHC",98,0.0108991825613079,FALSE,3468,9355,6845,"C"
"JUN","LIHC",34,0.00817438692098093,TRUE,399,126,201,"B"
"E2F1","LIHC",57,0.00817438692098093,FALSE,525,201,540,"B"
"SP1","LIHC",60,0.00817438692098093,FALSE,762,8283,1104,"B"
"ESR1","LIHC",84,0.00817438692098093,TRUE,392,210,279,"B"
"SIN3A","LIHC",96,0.00817438692098093,FALSE,578,253,1287,"C"
