"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","out_degree","evidence_level"
"MECOM","PRAD",60,0.0147058823529412,TRUE,1298,5811,465,1802,"B"
"MYH11","PRAD",26,0.0105042016806723,TRUE,133,255,580,9177,"B"
"RUNX1T1","PRAD",80,0.0105042016806723,TRUE,2029,328,1360,3104,"B"
"STAT4","PRAD",96,0.0105042016806723,FALSE,210,5908,154,1065,"C"
"ZEB1","PRAD",36,0.00840336134453781,FALSE,205,4272,384,4034,"C"
"TCF3","PRAD",22,0.00630252100840336,TRUE,517,332,1345,11341,"B"
"BCOR","PRAD",24,0.00630252100840336,TRUE,3944,622,3910,8466,"B"
"ZBTB7A","PRAD",30,0.00630252100840336,FALSE,3822,6227,3876,7667,"B"
"ATF2","PRAD",42,0.00630252100840336,FALSE,493,160,492,3589,"B"
"STAG1","PRAD",48,0.00630252100840336,FALSE,2445,738,3474,7419,"C"
"EWSR1","PRAD",50,0.00630252100840336,TRUE,316,3613,364,2735,"B"
"TAF1","PRAD",59,0.00630252100840336,FALSE,333,180,446,3280,"C"
"HCFC1","PRAD",70,0.00630252100840336,FALSE,498,478,551,3316,"C"
"ABL1","PRAD",95,0.00630252100840336,TRUE,128,108,184,144,"B"
"ATR","PRAD",100,0.00630252100840336,TRUE,207,134,293,0,"B"
"MXI1","PRAD",13,0.00420168067226891,FALSE,4794,5477,4229,6054,"B"
"TFAP2C","PRAD",28,0.00420168067226891,FALSE,3873,4857,2185,10903,"C"
"KDM5B","PRAD",32,0.00420168067226891,FALSE,892,7858,760,7631,"B"
"PBX1","PRAD",37,0.00420168067226891,TRUE,1105,954,1310,5047,"B"
"POLR2A","PRAD",39,0.00420168067226891,FALSE,284,1005,299,5825,"C"
"CBX8","PRAD",43,0.00420168067226891,FALSE,1157,687,1993,8061,"C"
"HIF1A","PRAD",66,0.00420168067226891,TRUE,234,349,136,600,"B"
"SMARCA4","PRAD",73,0.00420168067226891,TRUE,283,9608,297,2680,"B"
"TAF3","PRAD",74,0.00420168067226891,FALSE,2753,913,1450,4950,"D"
"REST","PRAD",75,0.00420168067226891,FALSE,1237,1134,1073,2595,"C"
"SP1","PRAD",82,0.00420168067226891,FALSE,590,107,516,8414,"C"
"ARNT","PRAD",85,0.00420168067226891,TRUE,1257,665,952,6167,"B"
"KLF5","PRAD",92,0.00420168067226891,FALSE,2869,3488,3194,10551,"B"
"FOXM1","PRAD",94,0.00420168067226891,FALSE,379,3466,441,1173,"B"
"CREB1","PRAD",9,0.00210084033613445,TRUE,618,1125,491,13662,"B"
"MAX","PRAD",15,0.00210084033613445,TRUE,3483,2180,3405,13925,"B"
"HDAC2","PRAD",16,0.00210084033613445,FALSE,659,1165,521,12629,"C"
"JUN","PRAD",17,0.00210084033613445,TRUE,581,986,215,12891,"B"
"E2F1","PRAD",20,0.00210084033613445,FALSE,759,1253,881,11361,"B"
"FOXA2","PRAD",23,0.00210084033613445,FALSE,1721,9755,2258,12177,"B"
"BRD2","PRAD",25,0.00210084033613445,FALSE,1469,1733,1757,11920,"B"
"ATF3","PRAD",27,0.00210084033613445,FALSE,1849,1353,2765,8975,"B"
"YY1","PRAD",29,0.00210084033613445,FALSE,939,1351,980,6833,"B"
"NOTCH1","PRAD",44,0.00210084033613445,TRUE,628,1408,484,8120,"B"
"POU2F1","PRAD",51,0.00210084033613445,FALSE,2558,7837,2805,5466,"C"
"BRD4","PRAD",52,0.00210084033613445,TRUE,701,675,476,14508,"B"
"WDR5","PRAD",54,0.00210084033613445,FALSE,846,1517,808,6405,"C"
"KLF1","PRAD",67,0.00210084033613445,FALSE,3903,9615,3933,5910,"C"
"BHLHE40","PRAD",78,0.00210084033613445,FALSE,4011,8056,3769,5614,"C"
"NFKB1","PRAD",79,0.00210084033613445,FALSE,589,1031,332,2068,"B"
"SIN3A","PRAD",81,0.00210084033613445,FALSE,962,1352,1108,3100,"C"
"ZNF384","PRAD",86,0.00210084033613445,TRUE,5215,8965,4374,6056,"B"
