"gene","cancer","rank","mf","known","dawnrank","drivermp","driverrwh","out_degree","evidence_level"
"TBX3","BRCA",93,0.036420395421436,TRUE,1168,3937,146,6,"A"
"HCFC1","BRCA",50,0.0197710718002081,FALSE,129,193,340,3316,"C"
"MYH11","BRCA",29,0.0187304890738814,TRUE,130,290,156,9177,"B"
"STAG1","BRCA",55,0.0166493236212279,FALSE,2428,665,896,7419,"B"
"SETDB1","BRCA",72,0.0166493236212279,FALSE,133,3687,215,981,"B"
"STAT4","BRCA",97,0.0166493236212279,FALSE,213,5832,489,1065,"C"
"KDM5B","BRCA",31,0.0156087408949011,FALSE,208,4583,324,7631,"B"
"BCOR","BRCA",47,0.0145681581685744,TRUE,5313,518,1331,8466,"B"
"SMARCC1","BRCA",77,0.0145681581685744,FALSE,263,11793,216,1196,"C"
"KDM4C","BRCA",71,0.0135275754422477,FALSE,3690,3996,1602,6686,"B"
"PHF8","BRCA",82,0.0135275754422477,FALSE,669,5492,935,5441,"B"
"SMC1A","BRCA",57,0.0124869927159209,FALSE,243,3950,342,6434,"C"
"NCOA3","BRCA",66,0.0124869927159209,FALSE,229,206,435,89,"B"
"ZEB1","BRCA",75,0.0114464099895942,FALSE,331,4924,431,4034,"B"
"STAT5A","BRCA",88,0.0114464099895942,FALSE,195,119,184,1323,"B"
"JAK2","BRCA",92,0.0104058272632674,TRUE,188,222,138,0,"B"
"NCOR2","BRCA",96,0.0104058272632674,TRUE,287,184,350,454,"B"
"SIN3A","BRCA",41,0.00936524453694069,FALSE,267,8536,244,3100,"C"
"SMAD4","BRCA",74,0.00936524453694069,TRUE,224,5608,132,233,"B"
"TCF12","BRCA",81,0.00936524453694069,TRUE,3098,829,2119,4801,"B"
"ETS1","BRCA",35,0.00832466181061394,FALSE,654,189,742,13272,"B"
"ERG","BRCA",53,0.00832466181061394,TRUE,9955,3895,7787,12812,"B"
"POLR2A","BRCA",76,0.00832466181061394,FALSE,284,233,287,5825,"C"
"TFAP2A","BRCA",94,0.00832466181061394,FALSE,1715,123,2764,7044,"B"
"MAZ","BRCA",30,0.0072840790842872,FALSE,5437,5915,3219,17162,"B"
"ATF2","BRCA",78,0.0072840790842872,FALSE,794,410,1655,3589,"B"
"SP1","BRCA",52,0.00624349635796046,FALSE,787,5061,955,8414,"B"
"E2F1","BRCA",58,0.00624349635796046,FALSE,530,171,618,11361,"B"
"ZNF263","BRCA",64,0.00624349635796046,FALSE,7127,8576,7758,11945,"D"
"EBF1","BRCA",91,0.00624349635796046,TRUE,1644,1272,2369,8362,"B"
"BRD4","BRCA",37,0.00416233090530697,TRUE,721,437,402,14508,"B"
"SPI1","BRCA",48,0.00416233090530697,FALSE,946,4990,1384,13656,"C"
"JUN","BRCA",90,0.00416233090530697,TRUE,729,181,482,12891,"B"
