130,66,508,53
508,312,225,297
8,483,152,211
501,110,237,416
281,508,143,213
302,429,144,89
140,192,210,152
424,288,499,234
408,395,113,478
350,457,118,230
450,114,28,168
194,508,92,477
336,105,134,152
508,60,122,47
351,109,335,469
88,303,256,194
69,480,254,445
182,210,236,238
305,312,254,418
255,16,439,229
508,433,88,480
210,364,374,65
391,396,448,151
311,152,423,414
508,269,479,23
42,239,457,387
34,461,391,184
70,278,416,234
471,113,127,334
387,23,373,151
269,328,440,268
429,88,211,281
6,156,152,123
359,198,333,6
374,246,138,302
34,179,480,156
210,211,389,152
374,463,324,126
480,269,65,383
371,231,148,213
67,440,152,281
232,286,218,38
359,137,371,502
3,314,328,331
426,216,152,325
375,414,218,3
276,6,484,417
62,273,359,349
309,392,210,111
370,151,210,467
335,445,480,199
81,96,152,151
389,223,273,63
89,10,349,47
193,37,189,126
152,415,463,373
186,452,216,1
210,66,111,168
276,67,193,14
169,426,351,173
347,413,203,60
231,85,356,457
395,341,254,16
187,395,372,69
129,210,434,211
73,60,151,378
391,166,499,348
302,506,430,144
166,194,67,399
55,39,124,66
381,152,278,269
214,152,457,417
232,171,495,92
13,436,367,449
503,344,6,417
104,42,10,6
324,41,232,297
138,298,478,449
159,508,26,288
151,39,210,207
395,221,215,168
54,288,238,357
12,108,337,508
391,246,508,276
423,457,69,415
92,170,260,287
499,469,152,132
188,281,373,210
97,425,376,395
476,211,95,26
395,98,336,323
60,451,55,325
294,230,302,81
302,142,381,209
59,508,479,109
102,11,381,256
476,156,226,210
47,306,480,365
124,60,508,136
100,193,210,88
139,151,41,97
35,67,372,494
169,214,440,356
137,152,246,502
189,151,28,112
401,312,210,434
311,171,246,316
377,508,379,357
3,302,346,426
69,171,302,444
92,444,210,89
207,398,276,60
360,446,480,265
440,60,424,104
199,245,273,211
371,463,272,326
480,199,175,306
246,431,152,288
439,209,11,251
422,391,225,417
290,369,343,211
151,311,411,269
152,426,199,341
254,471,156,439
292,391,312,25
210,169,450,101
429,105,508,408
344,226,217,434
284,332,128,31
66,466,188,505
302,312,68,479
440,152,314,42
199,155,452,12
286,180,508,71
257,197,194,359
476,158,508,417
127,199,437,292
50,112,61,399
387,422,152,214
196,144,348,227
36,477,391,447
69,232,508,399
236,156,103,126
83,263,383,127
