502,152,480,58,391
316,169,417,366,418
342,323,395,124,202
69,169,369,84,309
210,207,395,418,200
238,210,305,367,144
209,89,468,152,403
204,97,40,417,414
101,294,62,133,21
333,109,26,140,414
502,109,342,210,213
472,12,194,29,210
336,344,379,448,192
333,113,101,490,461
169,97,84,508,98
56,392,21,508,217
295,388,152,60,469
372,373,171,12,293
192,317,489,463,111
384,381,152,211,35
174,259,179,23,508
457,404,245,173,493
246,120,432,222,175
40,335,238,236,313
26,283,187,152,210
422,69,508,501,106
381,152,60,508,137
69,463,508,146,367
398,477,69,311,505
383,339,256,127,151
459,381,494,408,74
378,213,60,152,73
114,108,105,374,26
152,211,210,478,508
37,400,228,272,374
124,303,287,489,175
423,434,300,478,414
429,182,508,23,33
305,318,508,171,463
351,96,164,266,102
288,224,233,424,276
159,332,395,494,454
245,405,462,147,508
155,70,508,480,26
161,347,381,196,155
152,156,377,26,437
152,254,266,130,462
267,506,235,490,273
37,302,470,392,125
333,55,151,399,188
265,312,377,146,504
19,452,199,47,335
508,89,175,148,240
209,342,132,395,210
67,450,251,14,228
508,292,214,151,326
374,109,123,195,493
441,33,416,129,211
508,460,506,152,380
395,303,89,18,276
254,14,111,281,448
55,245,110,302,491
395,487,11,246,99
3,212,127,89,478
113,133,508,42,152
3,312,95,156,337
262,275,299,316,369
420,491,69,133,398
169,373,246,106,207
78,152,204,504,174
463,144,329,127,171
395,500,185,501,459
236,491,35,67,113
3,118,506,111,169
97,8,508,457,26
370,104,218,41,251
417,202,151,379,18
408,457,318,383,238
506,245,425,140,152
46,152,395,374,247
425,281,429,234,109
210,60,120,391,225
188,302,67,37,374
454,311,170,67,246
443,60,213,508,240
402,238,479,98,325
130,453,140,250,506
333,67,480,188,152
354,211,246,264,506
156,302,188,508,103
322,455,62,14,192
374,130,152,387,311
480,251,426,236,318
368,457,324,98,342
22,460,268,329,246
192,173,308,98,238
127,192,156,316,464
395,357,109,210,426
377,125,208,359,508
379,357,98,81,284
450,312,314,1,508
460,333,381,40,427
115,504,357,341,151
14,433,357,316,219
466,395,126,398,449
436,245,429,154,508
436,458,468,325,210
469,371,395,152,286
395,219,506,130,210
246,491,96,481,508
50,269,326,360,246
109,236,199,302,202
370,127,98,42,276
152,144,266,264,402
171,25,47,70,423
109,361,483,269,151
251,98,471,198,36
56,463,139,323,269
62,470,90,77,386
313,246,268,210,380
152,226,426,411,268
437,444,144,498,475
455,466,96,228,60
216,211,439,113,480
216,88,111,246,346
374,156,38,281,47
23,426,209,508,416
371,435,188,334,41
180,14,206,437,508
246,496,151,366,371
410,314,11,381,508
326,60,398,229,480
362,210,312,464,188
317,398,508,148,66
508,30,368,210,420
112,83,302,53,281
445,239,449,28,157
325,156,385,381,73
426,480,29,60,152
303,254,480,116,209
450,42,466,454,311
189,49,156,405,198
315,405,162,423,95
210,8,94,83,480
378,194,392,121,210
