213,69,87,292,304,53
248,256,69,118,201,93
184,75,217,209,2,356
171,51,297,212,312,362
323,110,82,171,332,101
279,222,153,13,81,326
312,296,208,157,180,192
249,248,90,231,42,259
81,344,144,70,351,160
57,23,289,265,321,142
243,246,99,42,247,224
68,51,359,206,76,303
344,363,279,216,133,23
169,19,158,65,294,193
356,255,244,203,139,238
314,156,95,19,330,133
360,189,81,357,159,245
14,222,146,53,234,349
97,302,311,190,154,348
197,175,265,82,202,48
197,307,76,311,37,330
245,164,226,215,108,218
150,259,247,320,244,340
205,51,95,245,91,132
156,41,47,94,83,166
150,256,143,236,13,197
161,18,61,57,89,69
69,231,281,95,355,296
128,231,23,206,118,68
315,137,203,309,90,267
137,289,234,51,265,281
202,53,203,214,13,18
311,150,354,358,139,318
46,280,42,265,15,89
274,89,51,350,353,286
195,144,87,58,274,278
207,349,359,284,260,154
89,37,335,51,346,324
256,16,30,51,160,67
83,249,278,238,156,349
267,76,156,104,137,14
273,134,123,197,266,286
156,145,170,157,136,12
329,92,247,280,37,122
75,139,234,211,304,51
319,161,69,179,277,188
24,354,226,245,215,352
109,294,320,287,142,139
22,354,211,212,250,349
128,44,126,356,265,345
95,68,115,59,179,48
126,132,8,276,89,342
90,330,108,125,131,137
156,358,139,342,203,263
95,124,304,127,357,139
51,281,318,137,248,68
91,231,342,194,177,192
68,283,269,139,115,175
225,291,71,84,259,192
247,68,40,245,119,76
153,15,294,215,362,180
164,7,156,151,217,68
13,298,46,51,114,258
355,345,226,231,65,216
139,292,231,293,45,107
287,215,68,318,202,308
175,356,0,225,51,137
256,118,128,337,266,357
194,182,339,273,21,137
265,118,51,264,68,189
73,320,51,183,8,364
159,51,299,8,154,297
137,366,364,63,68,356
258,24,196,156,335,222
267,5,337,68,146,328
203,107,281,308,158,187
117,43,156,27,25,274
204,363,26,348,15,245
277,348,199,68,192,13
326,106,217,21,222,245
156,51,101,76,245,68
329,295,135,225,185,299
68,168,54,65,240,4
89,68,87,194,65,43
123,12,175,345,95,239
267,59,51,356,124,137
60,169,51,265,53,237
68,157,174,309,244,137
111,318,15,311,104,187
30,28,259,55,184,13
95,159,156,53,360,256
328,32,127,336,142,231
263,330,179,277,347,126
355,290,92,294,137,68
265,34,51,178,20,110
347,109,12,295,250,84
285,276,51,165,234,224
364,202,349,278,261,354
231,146,247,183,212,1
82,111,329,16,97,85
337,16,190,191,289,269
133,36,51,105,286,90
218,68,165,301,5,72
261,93,223,357,170,180
139,177,105,202,148,212
203,77,301,192,355,74
51,316,74,291,185,11
234,248,231,133,161,53
231,268,352,163,251,105
222,285,276,68,153,38
109,209,285,68,301,52
311,15,68,220,306,231
236,49,312,194,287,265
328,41,68,92,22,60
349,120,366,318,63,158
327,357,113,54,323,301
132,100,142,160,209,137
272,53,121,276,68,343
225,51,117,149,254,329
224,206,311,265,287,321
199,24,160,116,283,208
201,86,37,149,68,299
68,356,111,90,148,82
316,74,84,174,261,188
47,7,295,68,161,263
68,265,355,242,51,15
364,130,287,256,51,167
75,24,157,112,156,342
68,337,54,276,282,359
221,81,40,65,233,68
304,88,268,207,95,114
258,65,278,76,122,215
150,167,51,133,253,325
68,172,139,312,56,217
67,139,302,289,159,265
246,189,146,156,109,126
51,260,44,191,365,347
58,74,223,276,191,209
250,43,205,299,332,137
15,234,160,265,211,64
7,60,51,119,269,305
157,210,193,150,137,38
123,363,207,355,56,55
353,320,127,264,175,268
139,199,128,174,214,137
325,131,140,172,330,285
25,13,2,262,31,139
42,137,202,291,154,37
84,139,75,322,236,41
292,62,86,90,75,294
156,197,318,312,76,358
127,236,268,265,6,365
254,206,156,88,283,170
123,180,322,65,26,265
102,335,137,2,36,82
265,51,74,278,283,357
187,57,308,30,139,292
274,332,47,340,51,176
242,51,217,12,351,339
57,297,82,285,156,103
338,68,231,356,284,281
56,212,193,51,147,68
