TCGA-IA-A83V	MYH7,PRKDC,VCAN,CENPF,OBSCN,NIPBL
TCGA-5P-A9K6	LRP2,SMCHD1,C2CD5,SYNE1,PRAG1
TCGA-P4-A5E7	PTEN,KMT2C,AHNAK,UNC13A,TNS1,KIF1B,TET1,THSD7A,AUTS2,GOLGB1,CUX1
TCGA-BQ-5891	SETD2,LRP1B,MUC16
TCGA-AL-3473	LRP2,MUC2,WNK1,KIF1B,BAP1
TCGA-A4-A772	TTN,ABCA13,CEP250
TCGA-KV-A6GE	PARP4,TP53BP1,TTN,SIPA1L2,VPS13C,HMCN1,MUC16,MYH4
TCGA-HE-A5NI	ACACA,ITGAX,SF3B1,SRCAP,SPEN,RERE,DST
TCGA-BQ-7048	LRP6,ANK3,SMARCB1,KMT2D,ABCA4,MTUS1,AUTS2
TCGA-2Z-A9JK	CREBBP,DOCK2,XRN1,CEP250,HELZ2,CNTNAP5,BAP1,RNF213,MYO18A
TCGA-J7-A8I2	EP300,FGFR3,NFE2L2,KDM6A,HERC1,CEP250,HECTD4,USF3
TCGA-4A-A93X	NFE2L2,VWF,LRP6,ACACA,KMT2A,STAG2,PBRM1,SETD2,TTN,ATXN2,MGAM,ERCC6,COL18A1,ARFGEF2,ASAP2,DMXL1,SRRM2,EML5,SCRN2,FRYL,MYOM2,FAT1
TCGA-Y8-A895	CACNA1A,LRP1,UNC13A,DNAH8,HERC2,HERC1,DSP,SYNE1,CSMD3,EML5
TCGA-BQ-5885	PRKDC,SAV1,SMG1,LRP2,CUL3,JMJD1C,GBF1,FAT1,DST,USP34,CELSR1,LRP1B,LRBA
TCGA-UZ-A9PX	DDX5,APOB,RYR3,DCC,KLB,HERC2,UNC13A,KIAA1109,TMF1,GOLGA4,WDFY3,ZMYM6,TNRC18,SVEP1,RBM15B
TCGA-2Z-A9JG	VWF,TLN1,PARD6B,CTNNA1,KMT2A,SAV1,TP53BP1,FAT4,DNAH1,POLR1A,AHCTF1,GTF3C1,SYNE1
TCGA-B3-8121	HUWE1,VCAN,PKHD1
TCGA-2Z-A9JS	PCK1,ARID1A,ANK3,DOT1L,RANBP2,RYR1,LRP2,BIRC6,UNC13A,FAT1,TNRC6A,MYO9A,DIP2C,WDFY3,CMYA5,MACF1,SVEP1,ACSF2,HECTD4,MYT1
TCGA-DZ-6133	TSC2,THBS1,NCOR1,UBR4,TTN,EPHA8,PLEKHA6,SYNE1,ZAN,PTPRD,OBSCN,SPATA31D1
TCGA-2Z-A9J7	RYR2,BRCA2,CLTC,DNAH11,CUBN,KIF1B,PTPRD,CMYA5
TCGA-2Z-A9J5	RYR2,ARID1A,PLXNB1,BIRC6,JMJD1C,HUWE1,HERC2,SYNE2,OBSCN,KIF1B,MYO18A,CPLANE1
TCGA-A4-A57E	TP53,RYR1,MUC2,CUL3,SSH2,SIPA1L2,DMXL1,EXPH5,WDR81,TEP1,GTF3C1,MUC17
TCGA-SX-A71U	GLS,KMT2C,TTN,PCF11,PLXNB1,KIAA1109,DIP2C,PRRC2C,HMCN1,NIPBL
TCGA-IA-A83T	STAG2,CENPF,CASP8AP2,MUC16,TNRC18,CPLANE1
TCGA-G7-A8LB	SMARCA4,TTN,SHANK3,ARFGEF2,UNC13A,MYOM2,EPG5,DIP2C,WDR19,HECTD4,MUC16
TCGA-HE-7128	KMT2D,ARHGEF17,EPG5
TCGA-UZ-A9PU	POLR1A,PCLO,SPEN,SYNE2,HMCN1,PTPRD,XIRP2,PRR12,NBEA
TCGA-KV-A6GD	FGFR3,DOT1L,ITGAX,RYR1,SLC4A4,MON2,ARHGAP32,ANKRD35
TCGA-GL-7966	NF2,USH2A,XIRP2
TCGA-A4-8517	CHD8,RANBP2,AFDN,SLC4A4,SMG1,THOC2,ARFGEF2,VCAN,ASAP2,GBF1,SYNE2,CELSR1,SHROOM3,KIF13B
TCGA-A4-7583	PBRM1,TTN,SMG1,COL18A1
TCGA-2Z-A9JD	TLN1,PRKDC,TTN,DOCK2,ZFHX3,SHROOM3,KNL1,MTUS1,SEC16A,RERE,BAP1,ZMYM6,WDR81,PKHD1,GREB1,SZT2
TCGA-B9-A5W8	KMT2C,FRYL,ACSF2,GIGYF2
TCGA-G7-7502	KMT2D,DNAH8,AHNAK,STAB1,KNL1,SLC5A12
TCGA-GL-A59R	MET,EP300,LRP6,ANK1,ASH1L,TTN,ATXN2,PLXNB1,RYR3,DNAH5,COL18A1,JMJD1C,SF3B1,MDN1,EXPH5,NAV3,NEB,EML5,VPS13A
TCGA-BQ-5893	KMT2C,MYOM2,PRRC2C,CSMD3,SVEP1,SPATA31D1
TCGA-SX-A7SN	KMT2D,TP53BP1,THOC2,SLC5A12,SMC6,WDFY3,PKHD1
TCGA-A4-7286	PARD6B,TEP1,SCAF11
TCGA-F9-A97G	THBS1,LRP2,SHANK3,CENPE,LRP1B
TCGA-DZ-6135	ACTB,MET,LRP2
TCGA-B3-3925	MYH7,MGAM,SMG1,ZZEF1,SRCAP,VPS13C,ARHGAP32,MYO9A,ZAN,MUC17,GIGYF2,SPATA31D1
TCGA-5P-A9KF	MUC5B,DOCK2,CUBN,GLG1,SYNE2,CSMD2,ITPRID2,SHROOM3,ZMYM6
TCGA-4A-A93W	MET,RYR2,TTN,KMT2C,HUWE1,NAV3,TNRC6A,MYCBP2,ZAN,ADGRV1
TCGA-B9-A8YI	PCK1,PARD6B,KMT2C,CUL3,IGF2R,HERC1,FREM2,ABCA13,SCRN2,SCAF11,SYNE1,WDFY3
TCGA-A4-A4ZT	ACTB,ANK2,ANK3,UBR4,SSH2,SMG1,MACF1,CSMD2,SCAF11,SCRN2
TCGA-UZ-A9PJ	MET,PCK1,DNMT3A,AFDN,PBRM1,TTN,IGF2R,SON,RBM15B
TCGA-P4-A5EB	CREBBP,TLN1,NSD1,DYNC1H1,SHANK3,DNAH8,DNAH1,TNXB,XIRP2,MACF1,SPEG,CSMD2,PKHD1,CSMD3,MAP3K19,HELZ
TCGA-WN-A9G9	RYR1,ERCC6,AHCTF1,GRAMD1A,LYST,CENPE,MUC17,USP34,HELZ
TCGA-MH-A855	KIF1B,SH3TC1,HELZ2
TCGA-2Z-A9J1	DNMT3A,DNAH2,IGF2R,PHLDB1,NBEA,C2CD5
TCGA-HE-A5NJ	CREBBP,ARID1A,IGF2R,ARHGAP32,MYH4,PRAG1
TCGA-B1-A657	PTEN,LRP6,TTN,DNAH8,ZFHX3,DLEC1,THSD7A,NBEA
TCGA-2Z-A9JR	UBR4,IGF2R,TG,PHLDB1,CENPF,SRCAP,CPLANE1,VPS13A
TCGA-SX-A71V	CACNA1A,TTN,SHANK3,DNAH1,PCLO,SIPA1L2,OBSCN,CASP8AP2,DST
TCGA-P4-A5E6	UBR4,PATJ,CUL3,ERCC6,RFX6,CASP8AP2,GRAMD1A,CENPF
TCGA-SX-A7SS	TLN1,RYR1,ANK2,DCC,KDM6A,TTN,PCLO,ZAN,ZMYM6,WDFY3,TET1,MYH4
TCGA-A4-8310	ATP7B,ARFGEF2,CUBN,CLUH,GOLGB1,NEB,CPLANE1
TCGA-HE-A5NH	NUP214,SSH2,JMJD1C,CUBN,SPEG,MTUS1,WDR20,CELSR1,HMCN1
TCGA-AL-7173	MET,CUL3,PCLO,RERE,CPLANE1,CUX1
TCGA-SX-A71R	SMARCA4,CHD8,ARHGEF17,SON,TENM3
TCGA-B9-4115	EPHA8,ARHGEF28,MAST4,MACF1
TCGA-B9-A5W9	KMT2D,DCC,HERC2,ZFHX3
