method	cancer	prop_broad_c	prop_approved_c	prop_anticancer_c	prop_broad_p	prop_approved_p	prop_anticancer_p	prop_broad_p_5union	prop_approved_p_5union	prop_anticancer_p_5union	hit_broad_samples	hit_approved_samples	hit_anticancer_samples	hit_broad_samples_5union	hit_approved_samples_5union	hit_anticancer_samples_5union	hit_broad_mean	hit_approved_mean	hit_anticancer_mean
HyperNetWalk	BRCA	0.76	0.62	0.64	0.460569913850232	0.341948310139165	0.260106030483764	0.566096423017107	0.433903576982893	0.361586314152411	949	946	941	947	937	934	6.02938090241343	4.78698845750262	4.30115424973767
HyperNetWalk	COAD	0.72	0.59	0.6	0.504504504504504	0.385698198198198	0.305743243243243	0.63323782234957	0.512893982808023	0.449856733524355	423	423	420	422	421	416	11.6264775413712	9.52482269503546	8.42080378250591
HyperNetWalk	HNSC	0.76	0.63	0.65	0.490375360923965	0.373435996150144	0.296920115495669	0.636182902584493	0.510934393638171	0.459244532803181	493	493	493	493	491	489	9.83198380566802	7.83198380566802	7.01214574898785
HyperNetWalk	KIRC	0.79	0.65	0.67	0.505402160864346	0.387154861944778	0.310924369747899	0.590488771466314	0.480845442536328	0.412153236459709	369	367	367	367	362	358	6.14092140921409	4.85636856368564	4.28455284552845
HyperNetWalk	KIRP	0.72	0.6	0.57	0.481217616580311	0.376943005181347	0.295984455958549	0.573091849935317	0.465717981888745	0.390685640362225	276	275	266	274	269	262	5.30434782608696	4.1304347826087	3.54347826086957
HyperNetWalk	LIHC	0.78	0.66	0.66	0.535318155283129	0.418563922942207	0.338587273788675	0.664050235478807	0.544740973312402	0.492935635792779	361	361	360	360	358	355	7.64819944598338	6.06371191135734	5.50138504155125
HyperNetWalk	LUAD	0.75	0.62	0.6	0.451048951048951	0.332167832167832	0.25	0.610993657505285	0.496828752642706	0.439746300211416	500	500	496	500	498	496	14.298	11.652	9.37
HyperNetWalk	LUSC	0.71	0.58	0.59	0.529519172245892	0.413877054169203	0.331710286062082	0.683794466403162	0.545454545454545	0.513833992094862	476	476	474	476	473	472	15.2704402515723	12.3731656184486	10.4758909853249
HyperNetWalk	PRAD	0.73	0.58	0.56	0.450856627592426	0.334084761045987	0.247971145175834	0.50897343862168	0.396267049533381	0.307250538406317	459	450	428	452	441	412	3.88912579957356	2.89339019189765	2.30703624733475
HyperNetWalk	STAD	0.78	0.6	0.58	0.477206595538312	0.363239573229874	0.289524733268671	0.628683693516699	0.506876227897839	0.457760314341847	396	396	396	396	396	395	10.9395465994962	8.5264483627204	7.53652392947103
HyperNetWalk	THCA	0.76	0.63	0.62	0.361986118526428	0.274959957287774	0.192738921516284	0.387847446670976	0.296056884292178	0.21590174531351	456	447	429	456	447	428	2.66090712742981	2.207343412527	1.82937365010799
HyperNetWalk	UCEC	0.71	0.52	0.5	0.460574201374848	0.349373230893651	0.271330367974121	0.617250673854447	0.479784366576819	0.428571428571429	504	504	504	504	504	503	11.0972222222222	9.1765873015873	8.46825396825397
DriverRWH	BRCA	0.69	0.58	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	COAD	0.76	0.71	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	HNSC	0.68	0.61	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	KIRC	0.65	0.54	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	KIRP	0.7	0.57	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	LIHC	0.74	0.62	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	LUAD	0.73	0.65	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	LUSC	0.69	0.61	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	PRAD	0.72	0.61	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	STAD	0.77	0.7	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	THCA	0.6	0.51	0.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverRWH	UCEC	0.8	0.71	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	BRCA	0.8	0.67	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	COAD	0.81	0.68	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	HNSC	0.78	0.7	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	KIRC	0.64	0.51	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	KIRP	0.73	0.58	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	LIHC	0.83	0.71	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	LUAD	0.78	0.69	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	LUSC	0.78	0.69	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	PRAD	0.76	0.66	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	STAD	0.8	0.68	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	THCA	0.81	0.72	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DriverMP	UCEC	0.8	0.7	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DawnRank	BRCA	0.74	0.61	0.57	0.473192771084337	0.36355421686747	0.25421686746988	0.56547619047619	0.450396825396825	0.348544973544974	950	946	941	946	940	933	6.24029380902413	5.10283315844701	4.29380902413431
DawnRank	COAD	0.76	0.66	0.52	0.507488232777065	0.40650406504065	0.299101412066752	0.65993265993266	0.548821548821549	0.442760942760943	423	423	420	423	422	418	12.2671394799054	10.4373522458629	8.52482269503546
DawnRank	HNSC	0.74	0.67	0.56	0.510015408320493	0.400231124807396	0.290446841294299	0.629680998613038	0.515950069348128	0.41747572815534	494	494	494	494	494	488	10.412955465587	8.46558704453441	7.12348178137652
DawnRank	KIRC	0.72	0.63	0.56	0.516694963214488	0.411997736276174	0.294284097340125	0.600891861761427	0.482720178372352	0.366778149386845	369	367	366	368	363	350	6.14092140921409	4.85094850948509	3.89159891598916
DawnRank	KIRP	0.72	0.57	0.49	0.509481668773704	0.40834386852086	0.293931731984829	0.593052109181141	0.482630272952854	0.362282878411911	276	274	271	275	269	257	5.77536231884058	4.48913043478261	3.53260869565217
DawnRank	LIHC	0.82	0.69	0.55	0.577914798206278	0.47085201793722	0.343609865470852	0.664420485175202	0.547169811320755	0.439353099730458	361	361	360	361	357	356	8.19113573407202	6.68698060941828	5.47368421052632
