cancer	method	num_level1_c	num_level2_c	num_level3_c	num_level4_c	num_level1_p	num_level2_p	num_level3_p	num_level4_p	hit_level1_samples	hit_level2_samples	hit_level3_samples	hit_level4_samples
BRCA	DawnRank	4	0	3	4	10	0	4	13	420	0	353	126
COAD	DawnRank	2	0	1	6	7	2	2	14	258	7	240	200
HNSC	DawnRank	0	0	2	5	4	0	3	16	22	0	370	232
KIRC	DawnRank	0	0	3	4	3	0	4	12	5	0	43	50
KIRP	DawnRank	1	0	3	5	4	0	3	11	11	0	17	59
LIHC	DawnRank	1	0	1	6	4	2	3	14	17	9	109	80
LUAD	DawnRank	4	0	2	5	11	2	3	13	287	9	270	203
LUSC	DawnRank	0	0	1	7	10	2	4	12	101	17	406	253
PRAD	DawnRank	5	0	2	5	15	0	3	12	50	0	58	47
STAD	DawnRank	1	0	3	7	6	0	4	15	52	0	218	160
THCA	DawnRank	2	0	2	4	2	0	3	10	278	0	42	18
UCEC	DawnRank	0	0	3	8	5	1	7	13	21	27	240	423
BRCA	DriverMP	6	0	3	6	NA	NA	NA	NA	NA	NA	NA	NA
COAD	DriverMP	5	0	1	7	NA	NA	NA	NA	NA	NA	NA	NA
HNSC	DriverMP	1	0	3	6	NA	NA	NA	NA	NA	NA	NA	NA
KIRC	DriverMP	0	0	3	5	NA	NA	NA	NA	NA	NA	NA	NA
KIRP	DriverMP	1	0	3	6	NA	NA	NA	NA	NA	NA	NA	NA
LIHC	DriverMP	0	1	1	5	NA	NA	NA	NA	NA	NA	NA	NA
LUAD	DriverMP	6	0	2	7	NA	NA	NA	NA	NA	NA	NA	NA
LUSC	DriverMP	5	0	2	7	NA	NA	NA	NA	NA	NA	NA	NA
PRAD	DriverMP	5	0	2	5	NA	NA	NA	NA	NA	NA	NA	NA
STAD	DriverMP	2	0	3	7	NA	NA	NA	NA	NA	NA	NA	NA
THCA	DriverMP	2	0	2	6	NA	NA	NA	NA	NA	NA	NA	NA
UCEC	DriverMP	1	1	4	7	NA	NA	NA	NA	NA	NA	NA	NA
BRCA	DriverRWH	5	0	3	4	NA	NA	NA	NA	NA	NA	NA	NA
COAD	DriverRWH	2	0	1	6	NA	NA	NA	NA	NA	NA	NA	NA
HNSC	DriverRWH	0	0	3	5	NA	NA	NA	NA	NA	NA	NA	NA
KIRC	DriverRWH	0	0	3	3	NA	NA	NA	NA	NA	NA	NA	NA
KIRP	DriverRWH	1	0	3	5	NA	NA	NA	NA	NA	NA	NA	NA
LIHC	DriverRWH	1	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA
LUAD	DriverRWH	3	0	2	6	NA	NA	NA	NA	NA	NA	NA	NA
LUSC	DriverRWH	1	0	1	7	NA	NA	NA	NA	NA	NA	NA	NA
PRAD	DriverRWH	4	0	2	3	NA	NA	NA	NA	NA	NA	NA	NA
STAD	DriverRWH	2	0	3	7	NA	NA	NA	NA	NA	NA	NA	NA
THCA	DriverRWH	2	0	2	4	NA	NA	NA	NA	NA	NA	NA	NA
UCEC	DriverRWH	0	1	4	7	NA	NA	NA	NA	NA	NA	NA	NA
BRCA	HyperNetWalk	5	0	3	4	10	0	4	12	418	0	354	142
COAD	HyperNetWalk	2	0	1	6	8	2	2	13	262	7	240	222
HNSC	HyperNetWalk	0	0	2	7	2	0	3	15	12	0	370	231
KIRC	HyperNetWalk	0	0	3	4	3	0	3	12	4	0	42	55
KIRP	HyperNetWalk	1	0	3	6	3	0	3	11	7	0	17	60
LIHC	HyperNetWalk	0	1	1	6	2	2	3	13	3	8	109	85
LUAD	HyperNetWalk	3	0	2	6	12	1	3	13	286	5	270	213
LUSC	HyperNetWalk	1	0	2	7	12	2	4	13	87	16	406	265
PRAD	HyperNetWalk	5	0	1	4	15	0	3	10	50	0	58	45
STAD	HyperNetWalk	1	0	3	6	5	0	4	13	29	0	209	181
THCA	HyperNetWalk	2	0	2	4	3	0	3	10	279	0	42	18
UCEC	HyperNetWalk	0	0	2	5	5	1	5	13	8	5	235	427
BRCA	PDRWH	5	0	3	3	10	0	3	13	417	0	353	131
COAD	PDRWH	1	0	1	5	6	2	2	12	218	6	237	202
HNSC	PDRWH	0	0	2	4	1	0	4	14	9	0	370	148
KIRC	PDRWH	0	0	3	4	2	0	3	11	2	0	42	46
KIRP	PDRWH	1	0	3	6	3	0	3	11	7	0	17	57
LIHC	PDRWH	0	0	1	6	1	2	2	11	1	9	110	72
LUAD	PDRWH	2	0	1	5	10	2	3	11	264	9	254	188
LUSC	PDRWH	1	0	1	4	7	2	2	10	72	22	404	194
PRAD	PDRWH	5	0	1	6	15	0	3	10	54	0	58	44
STAD	PDRWH	1	0	3	5	3	0	4	12	22	0	220	153
THCA	PDRWH	2	0	2	4	2	0	3	9	278	0	42	17
UCEC	PDRWH	0	1	4	8	4	1	6	11	11	13	229	429
