142,57,426,246,364,8,87,139,168,162,377,244,405,343,243,33,264,253,297,118,374,346,104,62,64
104,66,309,133,368,246,313,196,226,236,228,108,219,225,109,161,78,162,358,94,56,43,151,284,278
111,216,244,237,55,227,56,40,229,104,272,416,204,57,8,113,346,417,228,94,3,396,332,255,364
196,298,39,11,60,9,62,169,264,226,237,224,229,437,202,345,121,8,86,43,1,107,227,343,4
309,66,57,60,227,229,135,264,266,109,340,424,237,43,323,226,368,308,8,16,17,343,108,139,169
213,319,227,56,136,343,196,133,1,308,282,407,283,272,33,229,180,94,313,336,335,373,162,228,8
109,150,1,229,202,236,94,138,368,16,84,264,9,72,147,308,333,162,237,240,309,43,39,238,133
303,407,437,108,226,228,8,133,64,62,97,411,289,266,368,94,162,314,377,56,1,264,284,204,431
224,16,228,9,94,251,368,105,229,237,204,144,325,244,167,272,62,11,265,260,264,109,398,8,266
309,229,243,246,431,168,264,237,118,319,109,226,282,437,238,117,236,242,3,111,283,316,213,66,196
224,120,264,407,213,94,8,115,404,437,237,284,405,62,246,153,304,40,43,236,332,167,229,179,204
264,66,62,151,237,56,95,187,431,343,224,8,228,398,94,246,147,1,426,244,327,346,109,79,433
297,111,365,335,437,431,377,237,227,276,378,1,282,213,244,229,311,196,212,334,151,238,69,90,161
20,246,284,228,356,149,9,94,168,236,56,8,111,263,86,107,109,255,40,196,11,332,308,354,343
56,238,111,431,151,246,377,264,343,94,88,196,4,228,384,162,43,8,202,120,301,55,145,272,259
375,57,391,167,111,11,204,308,120,343,229,360,316,358,162,224,282,237,181,144,246,17,272,437,7
169,11,346,144,272,147,141,151,433,15,163,237,244,161,246,94,8,266,243,289,40,4,358,253,332
272,202,90,203,120,8,437,297,285,323,368,213,94,381,411,238,108,113,308,162,227,11,358,16,414
8,9,377,66,370,162,35,224,75,111,390,299,347,437,57,94,151,116,1,213,56,237,228,219,109
405,46,375,377,226,398,264,228,299,394,304,224,227,346,229,343,437,86,202,313,368,196,94,265,169
34,282,335,264,120,343,415,169,15,226,229,405,272,377,423,404,437,104,204,284,9,94,275,196,86
364,213,336,51,169,162,228,237,66,94,313,346,236,437,88,202,198,130,229,104,111,224,265,43,360
84,108,343,381,111,133,404,405,406,238,162,12,316,66,264,154,81,56,104,17,224,8,358,113,265
