239,266,252
46,193,431
59,159,63
142,256,316
121,463,467
130,95,202
396,369,417
394,386,260
334,410,286
436,49,142
9,386,142
421,412,131
459,293,489
102,210,274
480,333,324
406,157,461
29,377,374
301,485,320
246,480,102
297,272,397
475,83,455
364,265,459
333,366,280
162,474,70
367,190,334
438,112,203
266,455,181
105,369,396
465,144,76
431,211,395
383,253,61
402,207,252
158,468,463
334,274,47
190,124,166
245,274,242
308,231,253
392,2,22
49,382,20
132,20,400
375,124,408
26,225,181
250,368,399
376,483,366
376,390,327
238,165,119
434,226,429
332,303,278
366,299,149
128,132,50
145,440,266
322,190,373
472,178,38
413,120,6
239,315,169
373,409,403
482,458,70
314,246,315
14,473,190
413,130,422
470,187,169
187,471,31
467,353,49
472,266,209
477,16,159
394,8,245
472,176,169
175,162,211
20,199,234
58,190,300
198,300,43
463,293,201
139,398,386
110,272,76
244,111,83
204,244,69
465,453,373
472,465,331
428,483,256
31,393,291
188,211,6
39,429,66
403,159,373
474,455,263
247,438,245
369,348,463
97,282,193
89,124,393
231,366,413
212,114,198
156,266,198
137,209,117
42,105,438
482,162,204
46,373,352
261,300,366
373,483,148
123,145,374
140,483,382
307,235,363
85,344,311
260,170,242
442,89,171
180,447,246
386,67,440
211,455,483
221,354,394
299,188,213
34,42,187
77,412,327
218,276,387
275,341,374
371,452,286
339,223,412
362,363,273
296,79,271
169,372,138
120,259,140
187,298,267
420,376,442
178,338,352
456,39,459
116,144,354
168,170,70
69,89,167
77,412,267
319,250,15
301,138,124
294,336,449
300,342,147
244,425,409
188,285,94
366,129,440
436,286,366
295,190,192
190,373,291
137,336,400
139,450,172
201,354,323
114,167,354
246,318,24
120,436,150
372,377,168
319,342,9
169,370,255
215,169,2
469,266,5
171,103,273
155,51,64
224,31,230
453,203,373
184,486,295
321,113,287
366,331,136
34,366,6
332,353,454
421,338,161
412,56,360
161,115,266
235,18,373
350,266,138
105,129,228
252,303,366
178,119,228
440,454,61
485,403,8
121,394,175
31,431,180
214,297,428
186,32,294
476,81,466
374,366,488
438,431,217
211,302,445
149,69,402
112,431,41
291,334,366
242,368,317
32,211,277
352,327,387
5,424,336
137,390,231
299,143,394
198,118,219
246,66,188
299,75,368
214,350,366
249,105,36
63,342,121
457,224,469
452,139,271
455,426,37
439,114,210
116,329,316
467,319,315
340,346,447
112,68,344
1,181,430
367,442,64
184,409,280
4,119,368
81,366,301
204,135,62
43,216,476
276,436,169
315,102,196
366,178,444
211,230,195
61,386,84
356,307,479
336,244,254
449,137,340
298,198,231
394,121,368
472,69,325
87,474,479
166,244,65
402,425,125
476,264,422
398,67,270
9,119,164
28,32,375
33,490,171
155,446,373
374,337,265
27,333,251
464,294,296
463,300,121
299,448,147
352,360,350
71,218,422
78,408,114
254,65,439
12,56,286
390,24,126
359,186,357
273,17,463
14,319,29
202,370,101
394,202,214
215,68,70
369,390,21
61,480,29
335,23,315
393,41,409
