8776,5266,6022,481,3062,5203,5242,8795,5518,1574,2051,1877,6383,4998,5239,6256,4060,6217,1157,3865,5753,6334,478,1308,6230,475,9056,3838,2334,4159,3496,5613,2059,3235,6641,3965,2644,3184,2845,5293,3030,5323,1419,5232,4413,953,5177,2894,5236,4226,7344,8199,5566,5614,3967,2755,85,5782,1271,3882,3025,1374,2338,26,3114,1020,6499,1515
3864,31,306,1222,1067,6809,1186,939,5734,280,4631,5556,5976,1926,5804,7297,2371,3289,2047,5418,3904,5569,6008,2173,8487,4157,4257,4529,2363,1779,4799,3025,4349,990,867,2064,7714,3433,5785,2151,4025,1769,8541,8755,5229,4388,7324,3883,5174,1006,5210,5727,1395,5559,3757,881,5112,3171,860,3762,3184,2172,5772,1982,862,6651,3083,5390
8881,1972,4962,6294,2338,1245,5625,8432,5073,1932,3094,4172,674,1746,26,2052,3010,2062,1878,4109,874,7440,114,1876,5559,3471,6658,5736,8683,3024,660,3352,3843,1283,6312,5568,2056,2371,6336,4388,7382,861,1499,3282,1355,6054,7748,733,4201,2939,8080,4526,8394,3038,5179,5976,582,5772,830,3545,4150,6206,4155,6503,3449,6026,1386,2047
6657,578,6461,950,267,5785,3073,2175,2172,1291,1456,4081,2057,4528,5976,3237,2063,1414,1053,14,8136,6043,7398,6334,2414,6725,5745,8228,5852,6428,8941,1407,4177,5556,6049,6651,507,134,606,4595,4516,1880,7122,2193,611,2061,3887,6060,8420,4340,2562,596,5566,2939,1606,7673,2369,6188,893,13,1879,2755,6909,5799,7268,4962,971,5734
4017,5810,2541,6605,5130,4006,2173,2205,5764,1212,5229,1271,1241,1508,3922,6091,860,2923,5590,6195,2975,1061,7551,3878,6144,2371,1390,5069,3324,2334,7332,8546,2901,3083,2487,641,7466,984,4049,644,1977,7061,2894,1033,5569,1093,1886,5066,2001,2889,7666,2924,1171,2911,1785,2971,2369,3456,219,2056,5582,6492,2750,962,8639,6378,2048,779
8985,2466,3692,6546,3343,3749,1425,5976,5566,5242,1599,5559,1801,4548,1787,6036,29,5190,6813,3026,1377,1623,984,5876,226,6441,7321,6070,5162,4060,7714,3718,4542,4903,1517,3845,585,6944,5229,7024,6483,6379,2056,7182,1164,2541,2356,2216,43,1063,5754,2151,271,8201,7161,6939,868,2755,1276,1877,8993,2369,8230,532,5556,6633,5391,8567
1126,1932,1852,6186,4002,1779,3025,2901,1478,2295,4290,2924,9062,3998,1778,22,2159,1977,2755,5178,5573,5229,6605,4351,5836,335,2762,734,4631,2369,5560,2338,6008,251,7819,2341,2481,5253,5185,1917,977,2172,1806,1486,3244,4385,5168,2636,1930,5221,1800,2292,4792,4279,5559,1214,5466,5598,6355,6725,4542,3735,3014,8103,1105,839,8755,1264
645,4413,1977,8489,3574,5556,6725,2177,2051,6650,2636,3878,1866,4545,3526,2217,1275,6091,5206,3988,3664,7714,1018,1390,772,6083,2627,4171,3675,1513,4288,5202,306,333,3963,2173,7438,2981,1007,1579,2562,295,5617,8757,1595,1878,5712,6649,4313,4006,1612,3413,3889,4961,3283,2897,2334,2256,5976,1524,1926,1015,1564,8822,4250,7383,8657,6395
5976,3294,4034,2576,5067,733,1611,6948,2056,1977,4129,5751,7898,4155,7466,1206,3904,8796,7857,8981,5560,5804,46,4331,7905,3906,1924,6649,1055,7400,2878,1486,3884,5603,5569,5228,6827,4796,5202,4301,3607,266,2366,5556,4937,773,4389,1787,2543,2172,7263,5179,227,4413,3247,4521,9051,1609,5046,1528,8542,3954,3865,6988,3838,1465,3218,4962
3556,7431,7454,5097,1079,1020,2901,2922,5160,6223,654,2343,3417,273,5266,3913,5265,8129,7703,1822,2048,7487,7236,2406,3878,5559,1995,1058,7897,24,3226,2965,1000,2558,5897,2921,1578,4660,1030,1976,5973,2981,6395,826,4820,1878,1192,8540,8127,1588,3037,1092,5569,2246,3954,4321,6894,3310,8170,1517,5140,3863,5371,965,1108,6091,3185,8177
8670,2939,733,13,1038,7469,37,795,6091,3664,5560,2452,7184,1062,4257,5238,5242,307,1410,5233,4304,1879,4119,1576,6741,4178,1543,6202,6499,1924,1853,7372,2002,1258,7556,4388,4990,5976,1584,1402,5189,1226,1930,2280,134,8542,5987,7871,8639,6294,7135,8460,5728,5105,4346,3820,5116,8875,3520,5022,6520,5102,4105,1528,839,1824,5190,3029
1157,2334,3721,5247,2338,1934,266,251,7709,5586,2371,3832,4959,3288,871,2159,5253,7234,7362,4044,1242,7484,6619,1878,563,5774,5234,6345,8886,2047,4030,5569,1809,729,6681,5090,8037,5860,8663,5266,8757,6091,380,8881,3670,7343,6018,811,773,7523,5229,7330,8657,7697,3014,5556,3892,2981,5976,7664,8409,780,2198,1071,2955,2051,2244,2205
