134,3956,1108,440,3878,8417,3777,6022,5586,4551,5185,1092,4962,1218,6084,7845,5974,3184,5230,8253,824,2338,5991,3208,5266,3565,3967,8141,1053,533,2175,5769,2173,8168,2341,2547,7061,5173,8395,5229,917,21,3876,5880,6974,5522,783,1972,760,8859,2277,3522,5976,6081,5165,596,3749,6070,3828,5585,1517,8436,1367,7748,3866,1528,8391,2151,5736,4385,1199,1880,9062,2576,7321,1769,8180,6395,2885,1881,1300,1788,1576,5804,1977,1265
7164,154,598,4153,8228,7438,2844,5772,2047,5585,5560,1947,2462,2364,2338,1018,3029,1053,3863,8546,821,5607,1886,1634,788,783,3956,7324,6140,5556,8750,8231,2172,6338,5595,1045,3648,669,5174,4962,8940,6417,7753,596,8880,1835,6535,3319,6056,4294,1588,2930,3441,3589,8877,3999,1253,3653,2575,5981,3561,5728,4562,6660,874,8884,5557,6293,1212,2636,7161,1932,6725,5233,1866,2056,4888,2917,654,3865,3022,3139,2008,3777,5753,7842
8447,2537,1582,866,3704,1524,6182,3963,8395,1063,2369,7742,8413,3230,1448,7666,1990,831,3856,1112,3655,5804,777,2147,1421,2051,1779,874,733,1675,7729,2575,4520,1470,3865,1769,6548,8681,1876,5175,3422,5096,7369,2305,3359,4516,3938,8127,937,864,22,8941,1101,1064,6294,5253,615,6842,6055,8796,5745,8408,4949,2878,5603,6744,7061,7577,972,4631,6382,1878,6749,149,5980,5973,6660,6755,6058,4388,2755,188,646,5250,3132,4059
2971,3407,5795,2208,5174,1270,8408,5757,6549,3909,2886,3766,4962,3892,6018,2897,661,1963,3010,6202,3920,5712,1976,7362,1430,4976,3959,1588,860,3876,2048,8774,8796,5140,1779,3742,4545,7484,7698,5202,6649,7747,2223,2171,3749,3750,2205,848,5608,2173,3958,6956,6768,2346,3867,8546,3679,3185,5483,4984,5569,7901,2359,6276,7237,5172,3083,3315,965,2175,1488,1612,1235,4072,3713,6054,4827,2233,1285,4177,3184,1514,7160,5383,6947,1537
8759,1976,4962,1498,2063,3847,8491,4548,1873,3387,7842,1879,4545,6020,655,2924,291,227,251,5140,6725,6906,3841,8449,1284,645,2897,4284,5567,5234,2893,3184,7374,6039,550,2755,1782,5243,6939,993,2173,7380,5166,6468,6151,5556,8940,1477,6197,2082,4605,808,2182,1208,4539,6070,820,8543,3029,1362,8087,1769,1045,5237,3416,2369,2175,3235,5566,4236,5215,6013,6842,2636,2952,8096,4324,7184,6334,785,1315,578,2931,7135,3244,2172
973,701,6284,3778,3799,4388,5160,5194,1822,7067,507,3878,7454,5233,2901,1015,1453,710,1747,2826,4164,7997,2369,1779,2172,9036,1061,2052,5890,1308,8941,4631,3723,4961,2198,4172,1800,2466,8630,8518,1873,4413,3537,1876,6974,4970,5712,1785,7058,2576,6402,2973,5154,3941,2214,2984,7091,2364,5215,5161,2062,2422,6445,996,4051,7879,7487,5094,2981,134,3193,5557,1112,6180,193,2159,3991,4017,6018,5559,3152,251,3542,5203,6725,3490
2205,3998,1824,1059,563,1398,811,1777,3445,3355,8414,6651,2159,1039,2172,831,3014,6725,3926,5977,2912,7842,4558,2338,5734,7037,333,3841,2346,1930,3630,3505,379,8762,7290,5566,8546,2051,6188,8493,1028,507,3917,5210,3913,5091,1942,1825,9059,3838,2369,4155,6370,1779,6769,4165,7121,2177,1041,2054,8766,7021,5559,8736,4265,1976,1221,3029,8412,4388,2334,553,5569,971,5214,4177,3920,251,2901,3804,4542,608,1921,5178,2047,537
4964,3953,2334,234,3714,4284,3433,5976,669,2858,1514,1417,4053,1509,1822,1769,5559,8332,2950,5223,2894,5766,3975,22,2016,6290,3289,6212,1469,6510,134,1359,2173,1059,3135,7889,8796,4328,3819,3101,1082,5560,3958,6494,5804,6179,962,3495,4694,3486,1286,4631,5098,2969,2755,5293,2576,2051,5229,1784,5604,3945,4388,6195,8262,2488,4166,5166,5102,3731,7482,7841,4413,827,6649,1825,3878,3406,773,8412,2056,5730,5569,2364,4155,5720
2843,1066,5087,5184,5852,1787,819,5764,4388,5728,8372,5976,4056,7761,1395,4177,3047,8994,7483,5556,3029,5559,1370,659,3509,2369,1238,7438,6075,1644,6651,3701,5558,8638,7430,3954,962,8117,871,4551,134,563,1882,2159,2063,2047,6725,4155,3991,4775,3838,3556,2029,3598,1784,867,5920,4545,3867,5168,1559,3315,6691,5880,8630,2172,5177,6141,1971,5173,1389,6777,5162,6521,6974,8259,1764,2973,7338,3123,5573,5567,5973,3851,1878,968
1498,4962,985,3315,6017,1769,2957,3155,8881,5161,8796,5810,8250,5712,1232,871,2182,2054,5174,7697,6465,1527,3945,5735,8941,2469,2364,3433,7742,1298,2369,3308,1880,7094,3645,2576,7397,6985,4153,4799,1985,2177,10,2886,2205,3258,8395,3950,2159,8757,5266,5206,7156,3295,2056,5033,5160,1673,1622,8108,2536,6519,3838,4388,1614,5734,5114,6186,6803,7753,5296,3865,7685,5197,6081,3732,1968,1108,1430,1802,3220,2047,1041,2895,7714,8543
