4520,7143,5898,647,2371,1375,6022,1187,7874,4053,134,5183,5232,8403,2543,5247,3061,1883,2206,3405,507,7662,871,3029,1569,1399,5250,5818,8048,5569,1873,4961,9019,3268,4143,2051,5928,6167,8222,2359,7680,2171,2546,4341,6785,387,1049,8226,7610,1488,1038,1851,4868,1243,2056,8125,1976,2126,1054,5822,6278,255,5389,3362,993,1963,1256,4539,4748,6337,5573,6641,3525,6347,8543,3947,476,5244,3413,3014,4144,3283,385,2346,5069,3185,1465,2369,1877,2297,1141,2951,8705,6018,6725,7664
1710,134,3083,5202,3030,5716,7847,5989,1769,3838,4978,3762,3778,2369,2182,5569,4692,4612,2051,1507,292,2572,1027,4961,4042,4169,2371,1482,4165,5691,1535,2018,181,5556,2981,6649,8552,5198,5973,2466,950,4076,2364,2541,5560,2197,4363,2508,7697,6491,7168,4297,1526,3768,1622,1041,2065,1429,1824,2578,1866,5786,955,2971,8817,3413,922,8395,1614,286,1281,8219,3953,3116,8763,5559,4855,1877,5088,276,1375,2332,3567,1812,1305,6024,2576,3389,233,5160,831,648,271,3873,753,3221
2897,3116,8881,4551,5173,2369,4152,5202,6725,7443,6024,7454,4535,6676,1108,3495,2922,4753,1976,1289,2338,778,3922,841,5214,4963,1508,4887,7146,4388,3878,3814,1015,7757,6186,8429,3449,8796,8220,3029,4631,7577,6645,8880,5804,953,809,2151,2711,3842,4906,2500,1514,1787,4006,3490,5581,5560,579,621,2334,5161,3475,258,781,5221,2062,5067,3698,3412,1882,2047,4169,1883,1712,134,6241,7122,712,4545,3318,2156,2159,2172,3478,5976,1244,6633,1499,2160,2971,8541,6018,3308,9082,1086
6091,134,3009,359,5736,1007,1930,5229,2159,80,950,2054,2901,8766,1977,5804,5160,6148,5173,1041,3456,6154,5556,5982,2688,6018,1910,1264,3184,8881,8489,3229,1358,2341,6070,2375,8991,2056,1254,4091,1079,6143,3097,2173,4861,6054,7090,6831,7750,1779,621,8447,3813,1985,3681,1499,6492,3040,3285,7480,1787,8546,6023,337,6891,3847,1448,3824,9060,4157,6342,8387,7842,3538,3945,4807,3061,1976,2657,5769,7466,1879,3925,2911,3029,5712,3808,2234,3887,5172,1474,3217,4575,6276,6914,796
2369,1976,1218,507,1972,2975,8796,6652,4962,2986,6188,2159,3294,5597,3103,3097,6015,1015,5315,7094,2293,2919,1769,2151,3562,6091,5976,4177,8490,1280,2214,4146,5769,2371,8409,270,6362,1061,3433,4964,6286,5166,2883,1785,4604,7685,3794,1800,45,5772,2063,2572,644,1880,8220,5556,3974,1796,5194,6018,5973,8734,1521,3841,6457,952,4530,4040,4097,5558,1609,2548,6206,798,4155,3867,5199,2895,1492,3757,8230,7154,5567,794,1587,8881,6208,7309,2172,5132,2053,1924,3563,3812,7689,7904
5683,1811,8431,5370,6281,5556,3838,3477,1676,1822,1015,8859,2971,7714,6510,1321,7094,1019,5804,2051,1232,3960,2755,3461,2047,9010,1609,2286,8756,4565,9012,2342,6034,1787,8395,1210,7606,5973,2576,6474,5209,266,4590,1407,5880,953,3406,2063,1103,2652,2151,5559,5224,7270,7375,8219,5225,2981,2062,2064,228,950,3963,3892,4162,2371,8414,8796,1507,8543,5560,3308,5011,1881,5569,15,5778,7521,8541,4413,2359,2334,1607,134,5095,2375,7090,3870,3952,7334,1967,776,219,5745,6379,8546
4599,2690,5100,6191,4442,8555,2565,35,1478,8176,1429,5749,1624,2613,6914,7251,1126,2371,8420,4239,5560,2217,1876,4388,6047,6029,4631,3850,1976,8097,2172,1020,1594,5603,2882,3838,2051,7219,5569,3185,8532,869,3250,8157,507,2359,5162,140,3569,2981,6022,5183,6036,1787,3308,5177,2356,1333,3686,2466,3169,8623,1252,5228,3025,8412,1954,1380,1398,178,3221,1566,6817,3944,6001,6334,3932,7114,233,2159,4514,1573,1437,8783,3766,5680,8637,2975,7194,8666,1228,5206,5559,8409,2226,8941
6049,6633,4062,2172,8000,2056,3865,1984,8986,2235,942,6650,1055,251,1407,2971,6335,1506,6044,4605,4388,4236,5573,7372,5625,3738,35,8078,5772,4804,872,6989,7301,3869,19,1429,5973,6725,2047,1219,5814,4229,5204,1862,3413,5559,7325,8952,4584,3051,2911,6827,938,507,5324,3664,7136,820,3991,8886,7126,5101,7669,5126,5237,2180,8880,945,4791,4771,4608,2147,3853,7161,6455,7135,5190,7603,1971,9042,7976,166,7714,1880,9058,773,1020,5179,3502,6621,3925,644,1417,190,5569,8759
5073,6091,4413,6043,1800,7289,5765,8797,578,3691,534,2975,1769,2576,507,4962,5204,2151,8881,4317,2173,1872,3002,3114,1879,7164,1454,949,5989,2901,4148,1788,2187,817,9026,8852,3029,7760,2128,1579,1286,7262,4539,3318,3878,3953,3315,6362,2371,1417,2205,1069,7242,7640,5127,1223,2131,1107,2159,7776,5232,142,1270,1812,1612,6818,5785,2172,4563,2477,2063,5369,515,6024,1194,7434,6725,3838,1027,3294,3034,5097,310,3000,5560,4155,5559,2971,134,7061,1123,7428,4301,6394,781,5601
503,2937,3598,3212,2336,7523,5573,4147,8880,1417,864,2893,8395,8191,4925,8541,3687,6018,7833,1882,6983,6054,233,3748,4792,8490,5194,8796,6047,287,3985,3161,4964,8591,3422,7899,4837,2878,1208,2929,4172,1254,1041,3298,5804,4412,6091,1932,3902,5095,5136,9079,8412,2172,8233,184,5753,6031,4230,4072,1262,3027,2644,2359,5712,1880,1879,6770,5559,5173,5764,2159,4413,5569,4,6034,5618,3492,2344,762,3406,3050,8097,7473,808,596,3517,5769,5116,826,4105,1779,8998,1252,6341,2334
