3016,5865,3203,134,1477,4234,4521,4051,554,6047,5014,8567,3865,2936,3878,7236,8051,4631,8409,3863,2701,3376,6989,6725,3184,2173,7454,2564,5185,975,2981,8877,1507,6145,609,2334,2445,1569,6089,2973,3206,1769,1866,4787,8921,1038,3901,3838,7267,4921,2552,1291,4546,2873,6846,251,5560,2644,1886,3828,1524,201,2364,639,2951,1588,8545,1862,2878,304,6061,3465,1787,9008,4217,5131,2343,2369,6337,773,5722,6024,4177,4349,5829,7694,5892,3208,6197,2546,6365,2159,7184,2016,4962,9048,4163
2159,5159,8438,3883,6091,1983,5734,6144,2173,1976,7556,1298,7219,5798,4596,1877,869,1722,7270,6191,4548,1174,6777,5688,8095,636,3406,4412,5230,3739,1070,5223,1362,6311,7671,1247,3595,1878,3412,1863,4631,4962,1030,1977,8550,7200,1285,25,5234,4072,5242,1866,5591,2473,3221,7708,2369,5137,3184,4974,1066,1524,6785,395,1472,8546,1042,4925,6380,6968,1207,2576,8189,3828,8776,8395,4385,7697,6201,3014,7603,6207,1797,8881,6024,1407,4984,2415,7709,4316,7135,7186,5566,5712,3025,3867,794
5976,2182,1138,3244,5214,2172,6091,8546,3204,7267,4799,7481,6656,1079,848,5228,3648,5221,1337,219,3878,1932,3000,3971,4413,3871,3766,3952,2051,2262,3308,2346,3010,7556,5973,1658,3575,3185,1567,8774,1883,3941,6022,6141,1253,1056,919,8476,3845,15,8080,4288,8681,2411,5753,3184,6054,2173,478,1083,3029,2492,2410,5015,2981,3479,5556,6785,8482,1862,4631,2159,251,2208,5623,1620,7400,5156,5569,3945,2666,1677,2315,5168,915,4684,2324,1878,1603,2894,2196,1126,8409,9007,3397,1884,1161
8880,1769,7323,1399,3741,2172,3963,2951,7423,4961,1324,8189,1195,1126,5924,3478,7454,3559,5764,6648,6023,3244,5753,2051,5262,2113,7270,5228,2902,8461,3757,5728,2550,3463,1381,1417,3114,2894,2364,3243,1856,8395,507,1091,939,1770,1202,2159,5712,5691,3517,1480,3905,2063,2582,4962,5095,1873,1111,5772,1440,3248,2175,3999,1021,8048,2480,3771,2556,1344,1701,8490,3315,3947,1880,6054,6633,3172,4006,2945,1592,8774,3185,2082,3171,6334,1564,4561,5334,6891,4388,5973,7714,5597,3772,2899,4679
7606,2217,1038,5559,2575,5560,1024,3308,4895,5976,1063,6921,5238,5920,977,596,2200,1126,1290,3016,5567,4279,8997,5121,8641,2373,1924,3118,1880,5556,2369,1589,7585,1886,4537,7147,2334,7472,15,3025,3480,6699,963,1407,2971,7156,8540,4385,6276,6206,8625,1883,7753,2926,5558,6294,7164,3022,35,1794,862,1866,2159,3184,3868,2941,3924,2194,7618,917,2408,1042,3865,4758,5727,5973,6190,1779,2172,6677,7720,7186,3543,1123,3738,1793,2350,2901,1264,2885,134,2205,2755,8048,3244,2214,2047
4306,4155,5198,3838,3073,1123,8048,5103,3611,2115,1779,1056,7184,2051,8637,7991,6479,8796,3308,3238,4542,1502,2345,3184,637,1212,5898,3882,6000,8631,6785,3619,2172,4389,8877,2151,6395,6725,3963,8881,6367,5179,7711,5174,4385,2913,2346,1461,283,6145,2893,4163,5640,4428,2369,4962,954,4738,1011,266,5556,8950,2056,6094,6373,3026,7987,1777,1862,7404,3029,2063,4452,5559,28,6188,2981,5097,226,6381,5584,5712,3673,5734,2882,1286,22,4744,7055,6257,7299,942,6454,3395,3208,6024,8993
2981,238,5573,3282,3247,3452,1587,3729,3865,839,3027,4966,6037,1498,1692,1164,5560,6633,4613,5822,8228,4058,5183,3019,43,675,7443,4155,8886,1786,1301,7973,4413,5194,608,5728,6008,219,6347,8482,2563,2359,3920,4641,3313,3007,3406,4908,6054,1878,8496,7313,3778,733,6982,1021,6725,5387,8857,8239,4281,3122,6057,1769,1470,1932,5228,3777,3029,1421,6503,3296,2364,6146,1441,5238,8515,6647,5130,3878,3780,6018,1673,5275,8546,5204,8397,2051,5126,3006,8625,1883,3032,3047,5556,1485,3010
4677,3456,5334,2179,4962,4578,3501,6047,5188,3029,8881,1130,2181,2217,5558,8642,3866,1530,5976,2878,219,5876,4365,607,288,6014,6640,5822,1983,1976,4234,1977,3447,2893,5151,3838,601,134,1455,6798,6725,1065,5178,7910,4053,3025,8766,4545,7090,8748,88,1043,5804,3970,5573,5076,1184,983,8101,6527,4177,1787,1251,8190,3605,3958,7820,1520,1234,5236,2205,15,6909,3244,3268,4631,6015,8548,9080,6938,873,2548,5117,2943,4854,2159,1001,8412,1486,3291,1167,860,1508,1177,5177,5878,5560
2308,1824,8432,2784,134,1079,5229,5183,1406,3847,7386,6928,7372,5728,1788,5753,5795,8547,6641,2334,2172,5752,2062,2064,4884,5785,974,7190,1081,1710,18,1825,1407,6849,781,2207,2366,5116,7503,3212,2159,1972,4799,1800,6293,1976,2179,1042,1224,2051,1425,1880,6643,8542,4526,2343,2016,2901,507,6792,1591,5170,6018,5190,6816,36,3010,6395,1618,5569,6151,2882,2652,3747,3164,6725,598,3206,8936,6847,5559,8664,1095,794,3455,805,8103,1489,221,3318,5871,2889,6604,3475,5745,6581,2892
5162,8943,4631,6191,134,3863,3478,1466,7870,8941,182,5239,8129,2359,2891,5178,6373,1423,4964,2302,2217,2950,8418,7270,5252,1326,2173,3282,6647,1272,5204,2507,6758,1600,6359,7135,8877,5140,3013,3501,528,5784,4984,8395,4155,6099,640,2894,1880,3423,7692,5559,5079,7150,5794,6202,2890,3769,5753,3289,5804,3308,299,7770,2338,1276,3986,2629,3926,4031,3296,2941,2051,1302,7430,3029,1499,5580,1861,5073,7129,2546,296,2755,3025,1103,5566,611,2889,1529,5192,3847,7290,3165,2878,3945,6336
