1870,4229,3538,6692,6640,6294,2051,621,1989,1862,5862,5046,2338,1787,6339,6343,5167,8219,1924,1976,1984,4389,1822,1932,4177,3920
2371,5556,4080,538,7186,2755,1081,1006,5262,3878,4153,8637,5559,1428,2338,3244,1448,1398,8395,1290,2936,927,6640,3238,5160,5252
3967,6725,5569,3999,159,2338,5138,1208,6091,6503,2047,6145,8219,5179,3406,1290,2494,3716,1036,8880,1824,3909,4787,5359,4413,7443
2192,2408,5804,2365,1880,5556,6061,1888,5905,7022,4631,5973,7188,1111,4084,5569,1567,5215,788,4076,3917,3912,5764,2063,2057,8317
1357,975,2965,1252,3054,3606,3289,2568,1806,5559,6504,5390,6725,3025,2882,8546,5876,2172,1787,7942,5804,4055,2334,5245,6070,1158
6645,587,8584,6069,2359,3310,6206,8986,1317,8843,3456,547,3013,1926,6091,4280,5559,7464,3034,8395,4539,3981,8757,7155,1565,4021
796,8885,4009,2346,4572,6091,3308,183,2048,8318,1275,8626,2151,1471,8637,6641,1383,4319,4631,6649,7226,8545,3420,6088,8796,1171
1472,2572,3406,2981,3019,2051,2886,4537,7389,3882,6350,2599,5031,3310,3286,2205,2214,5130,2369,1486,3421,8685,2371,8058,6331,2162
4286,3838,2897,3841,584,8997,8961,581,6785,779,1524,1041,946,5097,2541,5976,3965,3185,1610,7330,3966,1,4163,1801,2063,4164
7374,6062,2062,3056,9007,3004,4253,5227,2159,584,1787,1989,6018,4882,6974,2338,5247,5973,7164,8315,1238,1028,2051,6633,7899,2889
2369,5162,3217,2151,6059,3406,7466,841,2778,2371,6372,2338,9006,91,7618,979,6024,2652,2214,7185,2182,1043,1873,1779,8941,7697
5569,7982,2338,1924,9019,4962,8447,2512,3639,4551,7167,8395,4964,3501,1033,4385,4155,2027,2332,6279,3926,5732,5728,784,2062,2151
5556,8442,298,2808,130,8420,1805,2576,8886,6058,2961,8540,2147,4293,7956,8942,1924,3184,5712,2371,8998,4297,5804,2375,2159,3878
4586,8097,4842,8855,8408,809,316,3202,2921,2063,3331,4988,2334,1480,1976,5084,3308,3203,3845,8637,4413,5259,1800,7466,4073,7157
5976,6725,1877,7129,2080,7842,794,2338,4934,3878,5162,2462,5205,1963,3184,8546,4385,8637,6091,2750,1948,1778,4001,2644,4018,7061
1624,2172,5567,7429,564,454,6949,1312,6334,1685,273,2371,5174,818,6353,3010,8940,5087,787,1610,8523,4960,830,2063,2925,4385
5578,212,4528,2952,8541,2409,589,5257,1809,3947,869,6385,3963,3244,5871,1886,834,5586,1507,2151,7677,2334,2369,2885,6651,6342
2820,2367,6817,6091,283,1609,7663,2181,3673,3878,6385,6283,110,7805,5173,3164,1804,2151,2363,1779,228,4799,2364,5625,1623,5598
