7199,219,3313,1109,6238,5605
6181,7475,5770,3109,5266,2890
3409,2371,874,1164,3971,4157
215,2221,2334,3966,3945,8129
8997,3918,8941,5559,2472,4345
2831,4543,3025,5969,6395,996
1886,5591,5214,1236,5176,3999
3925,5734,3407,3340,2875,5094
3406,1878,6334,5157,1785,8242
2981,5745,35,3543,8007,5206
7488,6207,6238,2205,2886,637
5757,5246,530,107,3038,6347
4142,7164,6015,3878,398,3184
1084,2205,5174,3890,1880,2939
2652,1883,7335,5977,3029,2589
4984,655,1317,5728,6660,2359
1968,5172,4205,2151,6605,6287
6018,3838,7709,3669,1045,3845
2356,4198,2063,871,4966,7714
3447,860,8761,325,4413,7842
8544,6091,6651,4385,2056,5976
922,2338,4300,4143,5262,362
5049,6725,6014,2334,8408,928
8880,3926,5370,5557,2576,3040
3268,2212,1797,8881,4169,1372
5728,3968,3117,2981,5210,8800
7330,3932,4125,7435,134,5712
1769,4535,251,2179,5556,219
2082,2171,2051,3838,2208,6145
820,5955,5741,8395,0,2760
5180,143,8337,7770,1666,2047
6018,1976,7508,5556,2961,2181
2338,3516,2047,2878,4890,7945
1878,3822,3591,1184,1504,847
8994,8395,3865,6909,778,3716
251,5243,2576,2056,4631,7299
2991,7235,5162,14,4107,1924
2348,2172,6191,1061,5567,8546
1267,1880,134,7168,3199,7956
3701,1980,2063,4385,2359,4101
3704,1018,2062,2324,830,5881
5348,8546,1494,9007,251,5566
507,9008,1126,3909,6725,6079
3999,971,8432,2147,2161,8881
8546,6651,1541,2408,5822,2356
5734,1822,2981,3246,3689,8739
2056,6647,3447,4148,1884,1591
3724,643,507,2563,2963,1459
2893,6641,1989,1769,6201,1924
5712,1530,15,5804,5119,7770
1021,2505,4515,1623,6445,1324
2063,32,5222,3025,5266,6093
6640,5247,6197,1930,7178,1520
3213,2171,7351,5566,7708,2902
2136,2369,1887,3825,5266,7956
6689,5882,1897,7714,5161,3185
5229,3304,1167,6651,126,2172
4385,818,223,2205,5185,3576
3615,4962,2364,3211,5135,4031
7242,563,6018,1564,5585,2346
5559,6633,2893,8766,2051,5732
1886,1202,6803,4533,3282,8949
6024,1788,975,8483,6341,1208
1862,4385,8178,8492,6851,5975
2062,6819,8474,1059,4605,1001
6785,6070,4177,6932,2208,2052
7065,5753,2667,1873,5804,8121
2153,5566,3766,1877,2062,1273
7714,3832,4783,8420,2062,5193
8231,1020,5558,4385,577,4940
7230,2047,2980,1769,2835,5734
27,2350,3729,3569,1223,3608
8626,8389,1785,4134,8239,8642
3296,1022,3056,8741,6641,6905
5174,8672,2159,8879,7438,1859
1175,3479,1225,963,3409,1264
1020,6974,5877,3433,1340,5753
1114,5214,7226,6201,227,1825
8622,4520,5167,7842,4570,5560
4631,3406,5232,305,5231,2172
1873,2911,4633,2051,5753,3667
3865,3409,1600,611,2261,2051
600,4565,3716,1977,1826,1069
4144,1881,1246,6145,2173,5174
306,2930,4962,1989,1555,1285
1878,8881,1989,2823,4722,1977
1063,1388,4388,5796,7732,872
6327,4785,4177,7899,6913,2062
4132,6008,3409,2364,7130,2172
6020,3535,2062,5985,7184,2369
5556,2371,1813,7755,3501,2051
8493,8637,7668,5569,4165,2901
5076,8477,3312,4604,4605,4837
295,3606,1837,1777,6091,2644
1769,7120,4631,5204,2878,2062
7758,6334,6868,5976,5573,4606
1880,1076,2364,5490,7068,2466
4288,3029,4752,7706,1600,2359
1413,3838,507,3841,5204,2661
3283,6909,6085,507,3666,7428
8625,1273,6833,8734,5976,2371
3026,1880,7369,5973,1779,4962
6018,3966,4289,4817,6006,5585
2504,1517,678,3029,648,594
5558,8544,6356,1878,507,4150
