2942,6190,507,5226,2966,2364,2953,6195,5221,277,4413,5734,7372,2338,3029,6500,8995,8502,5073,2750,6335,2176,6593,5560,8680,6024,4807,5367,8635,2334,1787,4739,8544,60,4347,1171,4389,8048,3446,8103,5566,43,8991,5600,654,5368,1077,3926,1989,1185,1824,6501,5559,5199,7844,222,1039,3878,4631,9001,3675,4386,3575,1588,3291,3644,6093,5721,6857,2260,3308,1383,5556,7324,7270,4964,5795,2173,3025,5210,8409,3864,231,1580,4169,4436,7263,4031,2410,7454,4385,3525,1302,2159,4563,4578,6660,8746,3310,2547,2319,7753,3410,680,651,1300,2217,978,1253,2157,4292,5067,8749,2026,1457,1254,5270,8408,1208,5763,5266,6018,5567,1015,2369,1033,5976,7767,7877,7401,3951
2151,5238,1883,4251,4542,7053,7114,7135,8766,1375,7466,6234,6279,3026,7223,4009,7692,6334,5753,3758,1453,3184,3547,2574,4804,5976,5569,4349,3729,6014,644,1769,770,6652,8168,2051,5120,775,870,1567,5166,1886,1003,8796,3412,1971,1627,4516,5257,2172,3998,200,2062,5218,1457,1461,3240,3029,306,5764,36,3499,8404,6725,8546,1921,5204,3102,6873,8638,6650,3879,1471,3403,2280,1170,4838,4155,5973,2182,3054,8322,1959,2049,5053,134,3501,1875,5193,4986,3283,6142,6660,4947,1284,4061,6647,4158,3370,2835,2537,6024,2973,7437,960,329,4236,5177,8493,4962,4545,6202,25,1479,6186,8761,1291,5383,858,3246,2208,1362,781,4619,1089,2453,4537,259,2159,3369,8544
3929,5754,6294,2918,3447,3029,1937,5767,2893,6677,3053,3231,2981,6206,1592,676,5194,7226,3547,8625,2590,7430,2750,2338,974,2051,833,789,3866,7950,6974,1015,1886,4739,8496,971,8877,5880,2974,5556,6091,8487,598,1825,4388,5764,5210,3749,2182,3878,1380,2159,1879,5279,8395,6018,5182,5139,3612,6350,1107,3963,3595,6291,251,1977,6338,3554,7577,1972,1063,1197,6334,6867,9016,6399,5728,3136,6108,601,4548,5712,1971,1020,8930,7897,3999,1316,4284,1769,1208,3184,1745,2957,3444,1880,639,2172,7241,134,873,8393,1564,7337,3238,1080,6008,7416,3310,2057,6188,6367,3607,8991,8231,4080,6339,7711,7180,4389,3107,5090,4563,7536,6833,5215,3069,7720,4170,3110,1106
3308,6179,2062,3315,8420,2047,3559,7683,2359,1880,3029,8949,2878,2056,5976,828,2886,4814,3006,6372,5559,5688,2991,8276,1908,7185,2221,5560,2820,3025,7720,4001,5786,1366,2086,9005,794,5861,6191,1976,2755,6725,8870,7753,1841,4165,8395,4604,5229,8761,3412,1779,1406,7237,1588,2338,4631,1769,7331,6018,1586,8547,3999,297,932,5712,5234,5096,5569,1787,5266,5253,4042,6942,8544,7309,6490,2536,3804,5125,6091,873,4388,928,3592,781,7428,8885,134,6652,812,2570,6651,3864,4276,3718,2906,212,2173,820,5973,7479,3078,1090,3749,3847,6346,8427,639,1008,5198,2975,5753,6339,2919,6092,3927,6633,2961,1392,2375,2151,5192,2371,7671,7556,7643,1980,3413,644,3007
1769,1014,5976,3244,5149,1800,6939,4962,5221,3029,3192,3139,2952,1167,5822,2222,4388,7117,4413,3692,1880,2408,2230,3384,1779,6147,6356,2173,4201,1490,8625,5242,654,50,822,6294,5173,6007,2364,3308,6018,4422,3406,6334,7323,3196,6503,7839,2172,3959,6020,4091,7088,1029,1825,8796,4053,1182,2369,2564,32,6283,219,5741,1930,5317,933,4544,3313,2051,7145,3949,4631,1787,5560,3749,3966,5193,1808,8748,2556,5090,3579,6191,4178,6070,5573,4155,975,6054,5591,1866,4515,7416,5766,2198,4143,8418,696,5160,3954,5383,7692,2520,2878,2371,6093,6342,5206,9061,4267,4174,3315,2334,293,2062,6851,507,3841,8048,6063,4968,7263,6359,1412,2882,1972,3783,2056,2527,3933
2576,5221,5559,2867,4515,5266,1041,5290,8395,5560,6091,1509,4982,7453,3412,2411,3790,8542,2901,3882,4078,1197,8633,818,85,2950,134,5795,8269,9052,1177,5862,5162,1395,5625,5741,7870,2951,4053,1234,1779,2159,4154,8501,6291,968,765,6335,2897,5208,3865,2056,2550,2151,2205,3382,6203,1472,7747,2488,1020,809,9079,2526,5569,1285,1769,1800,5219,7214,1425,8260,3422,4739,45,2359,3767,4976,1781,8877,2965,6832,1077,2172,6144,5556,5730,1880,1466,1591,4002,3025,3591,1645,4601,8941,5557,5976,5566,6018,7674,226,8626,4906,3871,7809,3954,4392,2177,9005,2341,7750,7293,6945,4516,1407,5178,5766,1588,7460,6055,2582,6807,3892,6849,3029,251,5893,1555,2153,8239
7898,2636,4539,1318,6273,5098,2047,6655,2899,4959,664,2965,2016,2172,554,42,7599,6048,2340,8629,2632,4978,3950,5560,1976,8399,4962,5247,578,4891,1522,6339,2062,286,8639,134,5734,507,4553,1977,251,1886,5092,4631,1093,8635,3878,1407,2334,4134,5976,1945,3967,3029,2338,835,2807,6647,7848,5557,9082,3940,983,668,1324,2058,6452,1354,1461,2856,8637,3433,3308,3932,7302,3532,1024,8474,4169,5785,1147,7648,3914,1779,7957,581,7128,4776,6460,4155,6334,1010,2937,3206,3043,5262,6501,4177,1322,5569,3847,4352,1541,915,844,6717,6,8487,7443,832,604,7094,2548,3196,1170,3116,4394,4109,2576,735,3867,9077,8316,8412,1926,3447,3933,267,6925,6074,2957
1873,5209,1517,2051,3853,8355,1576,6563,2062,563,3406,8044,8617,3549,2181,2359,618,5238,2644,3294,501,3177,4661,310,2047,8225,2338,1367,1486,4962,3765,6777,1861,4257,4717,2961,3878,3026,460,1559,1400,507,5132,1063,1787,2576,3415,5982,5770,1015,591,3902,4537,8477,1081,4209,5573,6054,2052,3019,3460,2532,1948,3892,1645,8880,1789,134,3029,5712,7626,1170,2159,2894,844,4349,5177,5878,6167,8763,827,2755,8712,2160,7443,3838,7227,4973,5730,9064,1560,1452,1466,6755,4346,6652,3341,6091,1768,942,801,3612,4055,4284,4169,3981,5821,3110,5073,661,2890,8129,2205,1930,5076,4385,6708,4172,1971,8392,1419,3613,4297,3015,3119,3190,8048,8941,8991,6823,1468
820,6034,3412,1509,6725,4172,5215,2047,2371,8414,6057,1012,1558,8540,1801,5712,1549,3700,3203,4105,3221,5096,7435,2205,5556,6987,1862,664,5973,2921,1285,4786,892,651,7094,134,2334,580,922,7360,5753,7130,1533,457,8219,3406,1242,1924,1439,1105,7684,5599,4520,9000,2951,7466,5822,507,893,5039,5982,8378,2369,4783,5208,2340,7185,1618,3313,2550,3941,6656,6091,3247,1926,6549,3308,5126,3863,793,6016,3025,1021,5905,3283,4037,5586,826,8148,6347,2181,7472,4109,7436,4134,9059,5741,7230,4577,2198,385,5174,8494,1024,3430,2151,3774,5012,2159,278,7487,7697,6649,8796,642,1293,3029,2053,5210,6909,2056,6070,5976,3607,6633,1977,6166,2880,863,4169,1419
1947,8395,3749,7678,3872,2359,7469,2469,4412,4134,2173,1246,5785,5573,8570,2207,5976,6577,898,4413,1878,828,1267,4235,841,3933,6940,1096,3406,3716,1076,6062,5359,6091,5560,6167,4775,5924,8883,4992,2991,3010,5624,1509,2051,8245,134,3841,6061,6070,775,5597,3547,6924,2343,6503,5194,6008,1123,1107,8423,5242,6601,2548,6778,8167,3938,5772,927,4226,3930,4631,5712,3296,2061,7094,8856,2955,757,8240,4650,3184,1024,3123,5095,637,80,2755,3589,5804,8626,2369,4150,5569,7771,3991,1326,5105,3597,2217,7532,2901,5218,8622,2056,6076,35,2981,6400,7061,1787,1045,5753,5975,1558,733,2201,230,276,5710,1866,3886,3073,2647,6031,5817,823,5566,5162,1478,3282
