7180,3021,6830,5123,6851,2467,1880,2853,2936,7390,5728,5556,1286,2644,299,5097,5415,3316,819
7490,507,1365,199,3577,639,5559,8487,3890,3481,1863,7304,1361,4289,5791,2252,3219,1093,4879
1237,4388,949,6816,7059,6206,1876,5878,5247,4966,6645,6339,2533,6651,9059,2152,8485,1588,4539
8389,4226,8245,3963,8432,4545,1178,3413,1041,2919,3310,1432,2911,5245,1421,2952,3967,4565,4979
4271,7889,8409,3967,8634,6725,4528,2673,1170,776,8395,1879,2229,921,1962,8515,3879,2359,639
7709,3692,5160,5140,636,4037,5074,1566,3769,617,3967,4550,5141,2188,6806,8080,6284,868,6376
1104,473,2459,2063,3611,27,4631,5203,228,6403,2344,7440,3025,3240,3818,2923,2051,4001,6052
1284,2961,8750,7454,2343,2152,3692,5162,3406,2364,134,4109,1298,5123,578,3313,5560,2683,1299
2952,1232,1194,4150,3034,7562,6202,2599,5558,5217,5982,2145,2256,839,915,147,6803,2173,5560
5221,2943,623,3047,5976,3029,2550,1000,7861,7313,674,5160,3515,8945,6008,6020,2371,5215,8232
4002,1252,7202,2371,7093,2062,5734,4656,5559,8991,1425,5211,2334,3945,2566,7770,639,8386,1208
8777,8231,14,7213,7662,1085,591,4385,1328,4664,7323,5390,2922,606,6660,3285,5058,733,1827
2375,2177,1457,662,3560,3318,3447,1606,4155,694,1779,5104,2051,7462,4962,303,6725,5976,2173
6750,6891,7435,3841,1366,5754,2949,3025,7094,2173,8420,1977,1397,2504,788,5556,3283,9008,2047
1203,4051,1202,809,3478,2062,5976,8877,5160,5228,1123,1808,939,8402,2831,226,2893,2981,3214
7556,7324,6824,5625,1283,1042,4155,4385,2159,5566,5569,32,2576,1984,2047,2886,2338,2062,1451
4723,3103,6833,5238,5174,2217,2587,8752,2364,2047,5556,2182,3866,8248,7125,3573,2062,2878,1281
2941,2063,1076,6949,5822,251,3025,1787,523,8941,4966,1440,1879,3792,6136,5567,1972,1880,5976
3217,2971,1729,1809,2151,3025,2205,2056,4160,1878,1157,2173,2897,7123,5566,5878,2334,4578,7095
2971,5753,2062,4573,8881,6206,5878,5569,13,3447,1409,8736,3960,7711,2984,6812,1924,8427,5187
7445,2936,1535,4631,4385,8541,2305,1824,2955,8766,5822,2051,2812,9082,8637,8796,1610,2477,4544
1878,7384,6725,8485,8393,4962,4388,2159,5559,5918,2051,6201,1871,844,8796,6207,7577,1173,869
5860,834,3285,2575,5196,3912,2911,3878,2576,5096,1073,1158,3016,8750,493,204,7714,95,2639
579,2575,475,4160,9078,3966,1881,5138,6349,2055,3878,5987,4302,5896,8968,5557,8194,9000,507
5178,5107,7235,2919,3037,7714,8152,2151,2531,977,8168,2356,6828,1204,2049,5171,3308,4061,2338
3237,9088,2062,2389,1866,1692,2182,6278,6914,5764,5973,7296,2051,8129,2882,2147,3953,5194,831
3749,2056,6286,7136,2334,3051,2322,7184,6008,4698,1971,5764,7708,3536,1667,3404,6909,2495,507
37,796,8475,2062,2371,3963,1883,7556,4389,8921,4611,6584,2047,1769,1276,5194,1244,6505,788
3029,4631,3246,134,5556,8545,1977,1692,6018,3818,2548,4124,8336,5597,2981,1477,7133,8877,6183
3380,6015,563,2576,4903,4631,3863,5210,1877,1807,5198,1930,2369,6372,3026,1883,1787,537,5973
2061,1524,1528,5380,983,5228,6018,2981,7199,4352,4177,6355,5599,6022,5712,7911,2159,6980,2842
