7443,1294,8628,1612,3011,5560,3308,251,8101,4356,5130,2427,4172,6091,6662,2338,3963,1779,789,8091,1528,5894,2936,2896,7193,5734,7090,5728,2886,2897,2047,134,5598,1286,3487,4962,57,4124,1928,3351,3581,8887,3262,6014,2276,5266,4081,6725,2173,6168,2829,2534,274,5930,3605,1514,3708,1774,923,1245,1866,950,3009,3922,2601,2341,3887,3433,3244,4365,3296,8881,6453,8993,4105,668,3967,2924,3982,1436,1273,3838,3878,1020,3318,4060,5219,8396,3804,4539,4561,507,219,1763,8048,5803,3185,6517,7345,1989,6647,1150,1503,975,2205,3029,1423,2159,5741,602
6790,5156,563,3803,2908,3655,1976,8447,1276,2173,1830,7267,15,4115,3758,6377,5556,2172,4160,2408,260,6831,9026,1880,8758,1992,1977,7888,3988,5567,8880,1085,1275,6405,4545,5373,3613,2334,1876,6024,5757,6689,14,2332,2056,4461,2371,6647,2205,295,5769,3878,3025,5734,5161,8985,6276,5569,1157,1877,6036,1569,5804,2359,2574,5834,3749,5123,8395,5246,5069,6874,1824,1458,5559,3693,5976,5241,8544,8657,6179,1785,19,2182,7480,3447,2098,1882,574,4163,7815,2177,3864,1787,7842,858,5082,7556,2062,7433,1940,8430,4294,1401,3184,1620,7298,1499,1108,3847
6530,1878,6499,2597,1787,825,1042,5262,2359,2062,1604,8881,2996,1249,1528,5569,3847,3878,8796,3164,6347,507,3461,6651,6649,4172,8047,5976,871,7716,972,6092,1976,8240,5126,5556,4750,2257,4589,3468,2170,6008,8466,1350,309,574,2369,134,2172,7648,6768,1407,6652,646,1588,3616,8220,5198,3117,3134,5573,6629,3294,8229,2971,8777,5804,1443,5228,1989,3188,2063,1905,4966,1255,4169,4516,2371,1371,710,3039,944,6326,4060,1560,6059,1509,291,1886,5160,827,5770,2156,2878,6093,4006,4984,5560,8567,6337,933,2177,3516,1516,8885,3753,1963,8425,7473,884
3207,6725,5569,8780,4545,2088,1926,951,7605,1380,2369,3019,8398,1752,1795,1023,1587,4385,1415,5095,2894,4154,3406,8219,3025,3200,2334,5556,8155,1383,2051,4896,1989,780,5221,1779,1878,2558,6037,1361,3547,6206,5053,3456,7714,1933,8232,2205,2642,4047,2123,2172,868,4242,5559,1041,2181,3132,2147,1429,2371,1208,1876,3202,6091,5178,2587,2047,1033,3843,4389,1027,1058,2755,2056,3268,1145,5822,949,1015,5920,4393,2151,5198,6649,251,8420,974,5821,1375,4631,2237,1227,5863,2505,5106,3289,1039,1972,1102,984,3308,2156,3864,5073,6939,1177,3569,3904,1787
6161,4394,5822,2159,2931,1971,5556,7338,5559,5804,2217,7992,1048,5973,5963,592,6384,6500,181,3131,2338,1922,1326,2606,2893,4146,3841,2516,1787,6337,5161,2901,8519,5095,4962,528,5266,6769,3545,8493,831,6091,3953,5140,4545,538,6801,2561,2047,7487,4748,2780,134,5567,299,5712,7899,6803,1532,3025,3876,5769,1879,3034,584,2480,6334,1254,15,962,2051,6633,639,3123,2200,7771,1406,6640,2199,7747,1612,2408,2453,2468,6634,8102,763,622,7692,1485,1390,6787,4631,2173,3971,5189,1977,5976,7585,3136,507,2549,6484,2153,2755,2062,3878,5553,1711,2483
834,5741,3185,1924,743,2578,8736,3993,3389,6202,5223,3777,3782,6091,1930,1886,1234,796,7142,3963,7213,6318,2055,1564,6141,1506,2177,5201,2062,2371,8442,5230,5973,5734,5126,3029,5559,1214,3184,5383,4586,1632,3056,7747,1707,3736,2409,8176,8056,4545,5194,3987,2936,2123,4415,590,5556,3289,3838,6339,507,26,4105,6656,8490,2018,5982,1977,2576,2878,6797,5764,6055,7720,871,5253,4286,4225,2056,5877,6651,8508,7055,1517,2334,4176,733,1451,7323,2151,5976,6197,7953,4520,5199,4962,6660,6633,4987,6725,1126,548,1928,6050,1959,3874,7272,1610,253,3081
1757,8432,969,1463,3887,3025,3118,7659,321,8627,2990,3999,5894,5556,6070,3422,3029,5228,5785,5560,3406,5568,924,8546,8880,6652,4177,5162,2179,1417,794,4765,1208,5745,2971,2062,3838,8320,4669,4413,1168,6725,5154,6093,7198,809,1886,8943,2051,5976,7238,1930,5753,5279,8951,5166,5102,3618,251,5199,5174,3030,4328,3892,5140,8886,8776,1076,3238,2338,4631,2520,2334,1787,2173,2122,7471,8412,2369,2455,2063,4244,3310,5963,6074,7267,7114,8796,5730,2475,3061,5734,2030,1460,2145,7439,1458,3549,7323,1857,4109,3289,4053,3519,2975,5247,6651,8657,6006,3561
2182,4413,1567,2151,1545,2032,1107,5596,5215,5266,7354,2056,3752,4385,5973,4105,8546,5140,931,8759,6206,5055,2924,6036,7709,8567,3475,5228,2922,1825,968,8051,7337,2919,515,2155,2063,1878,5204,8628,5556,2208,1877,644,4545,7432,26,952,1631,1736,8681,2177,4631,6375,2216,4003,1408,1886,1989,824,8409,6051,3245,4153,1971,3963,5230,2371,5174,2574,6089,3878,5178,3738,4138,5743,6848,4198,2172,1874,1524,7714,134,1941,1591,245,796,4580,7522,3779,507,3747,1976,1574,6091,4536,1453,999,3883,8320,8230,5109,8408,5912,4984,2336,5894,3936,1427,1766
8567,8877,1445,4637,1972,5067,4390,669,4048,2334,2363,4280,2584,3296,2369,1769,3238,2576,2173,2893,5173,6483,3595,5569,7770,8172,7443,2062,3972,1479,5753,307,6197,2425,7157,4001,6334,2755,4053,4058,4321,373,1983,5930,1395,385,514,9053,8447,7161,4134,2314,2547,8503,5174,8796,1506,3910,134,5812,3133,2973,3886,8220,8412,3308,5772,7454,5266,650,3938,2159,5096,8737,2047,1937,849,2182,1787,3313,3712,4109,3198,3970,869,4379,4080,7364,4523,5831,2252,6170,1037,1620,1977,5567,3516,3231,1922,1614,1407,3666,8168,4239,3920,5198,7732,2208,1777,8403
3832,2930,4124,6660,1615,3932,4060,8393,4164,5182,7671,5742,7092,3029,4520,7145,4545,134,6287,5386,3444,5734,2369,1983,6641,5236,4053,8420,7888,844,6092,1987,3540,3289,1969,5229,4527,648,1580,8446,4984,6354,4239,161,2172,5927,3228,2584,4413,8395,3184,3413,1276,7465,6202,5764,5973,386,3678,2159,2173,860,2502,7191,3618,4551,772,608,5215,8874,8078,3310,1876,3865,2475,953,9000,8652,3037,4192,8880,1564,8374,6652,6353,8796,494,8490,2488,1207,6038,1769,861,5148,246,2479,3917,5976,5556,7244,3878,4155,1856,542,1976,3556,6347,5078,7431,1880
