5805,1049,507,8006,1951,5712,37,5573,1299,6632,5753,5804,4388,3456,1769,6510,3244,5763,5973,1787,4257,8395,6279,5982,2364,8543,764,5556,2474,2336,673,8413,3042,2864,6202,5103,3025,1101,8432,5560,4964,2172,5625,5743,1976,6725,2205,2047,3185,7229,2951,8993,8849,6660,2901,3014,2051,3985,2975,3963,3318
6904,7898,5771,3934,5559,6512,6331,7590,5976,1564,5202,1559,4388,2359,5228,4962,1596,2951,4569,1769,6031,3538,7142,2901,7184,1276,972,3778,5178,5753,6206,3227,2981,1921,4631,7454,8950,2192,5250,7819,7462,7609,3865,6978,3924,3029,6091,3505,1456,885,3878,6022,464,1759,1357,563,3947,2016,5182,5560,189
5157,1438,3114,2971,4633,3025,5573,2338,5253,1030,4165,2890,1880,8421,1286,2068,1568,4596,5559,2452,2056,802,1305,6928,4770,6306,388,5267,6339,284,2047,3406,3412,738,1604,6725,1417,7697,2173,3642,4962,8194,594,642,1376,5829,5160,4388,4964,102,5872,5567,5973,3777,8100,2092,6373,1531,507,29,6024
2177,6752,5076,4793,1330,8479,335,6280,8232,2151,7840,507,1972,2755,5241,5560,874,6768,26,9008,2552,1963,3589,6100,2548,6016,3980,4147,1930,2062,3038,5556,6804,2153,2171,5383,4575,2315,5160,2173,3204,5239,4218,710,2056,4154,8485,6008,2371,2499,3025,5973,4672,7732,4171,6383,8420,5168,839,6020,2172
5126,2051,6141,921,5566,5712,5753,2932,870,1458,2192,4058,267,2549,8952,8454,2049,2576,85,5206,5556,604,5559,2895,7372,839,2016,8675,8796,2931,580,3991,1438,155,971,3659,4172,8427,7443,8513,4006,6725,8654,8625,2056,1916,219,2172,2334,2989,1610,8998,2369,1058,2217,825,1252,990,2205,1439,4036
1164,5177,6334,8737,2016,5535,9050,2248,854,1925,1208,6543,6018,3094,4323,4614,983,6034,1781,1787,195,2173,8409,5788,1954,5559,1880,5569,134,2056,5734,507,6176,3025,5560,3778,4143,2558,2576,5173,2562,3308,1924,2159,985,8395,2334,3773,8867,2931,4357,3658,7708,2371,5973,8941,2603,1308,1858,5585,5732
1529,1044,6196,6394,3088,2793,5266,1308,2973,4295,5573,1603,2145,2364,5556,5610,8220,3951,5567,2259,6288,779,1392,6199,6091,526,2310,3289,4413,5625,7854,2901,3807,8877,6517,864,3184,6725,240,6641,6186,5973,1224,7840,1554,5569,677,5734,1496,1225,4520,4134,4284,6280,6817,3967,5753,2169,413,6291,476
2578,5770,5753,4239,2539,6725,1984,5174,1319,6372,8540,6185,5567,4588,2657,7257,5586,4676,893,8091,2096,2172,3433,1252,5539,2548,1787,251,8395,6324,7709,1801,2403,4141,832,2375,2979,5095,6772,7551,1564,256,1581,2082,1879,4385,2910,8760,5242,7185,3922,1491,5976,6486,1071,4353,3749,117,8177,6767,971
1024,4962,939,2334,4551,2677,6641,4588,5223,2205,2369,1979,1397,539,1567,6018,1087,1767,3504,2587,5596,1517,6346,1000,6002,2755,6725,8498,1524,3717,159,4137,6057,1977,1194,8768,1028,5584,8480,1064,2576,1009,8631,1559,5131,893,1769,1793,4395,2051,4764,5204,824,1481,6155,8485,8715,6206,6846,8567,604
7473,1879,6649,6564,3413,3229,8228,3247,3734,5865,7603,1998,2901,4964,8633,7714,4930,5194,1930,3825,8796,2159,4221,2604,8504,2334,3745,7711,7164,6095,5970,6331,5098,5139,1873,1283,2359,5040,7935,5228,6035,8439,4558,6499,1523,5569,1488,4294,1787,1812,3297,2989,6394,3949,3185,1564,820,2408,5566,8736,6355
