2644,2939,225,5807,2199,3973,4242,6018,4152,4388,6036,1377,4129,3838,2356,8757,1800,1502,4962,8999,3967,1562,2878,1048,7714,4134,872,1886,8342,2334,4562,1027,3826,2172,2951,1355,2410,6758
2159,8097,3315,7434,1936,3926,3646,3589,2051,5902,6824,3714,3972,5753,4605,5203,3841,2182,1810,5228,3910,6640,2549,6039,3845,6660,3847,2177,1779,8654,4962,4550,8683,5922,3136,3366,1371,5105
276,3618,9018,8409,2893,4069,1642,2159,1993,1291,4960,3886,23,4568,3300,3266,3310,1196,2338,2462,5224,2952,2886,1535,2547,2062,6018,5597,7454,5160,2576,794,2346,6725,2047,4550,2369,5569
5182,6318,1159,2878,8941,3013,3945,4346,8755,5266,4394,3838,6387,5559,1734,2058,3878,1024,8083,1787,6501,5876,6705,5979,2950,4515,6018,1230,3111,6956,8399,3409,5804,7289,1021,4962,2056,5728
6359,1880,8460,1977,2172,583,4984,1522,7219,6339,5130,5177,4802,3828,6909,7017,5556,4134,1825,3273,1769,6798,6018,2177,5734,2180,3954,1058,2145,1415,3029,5712,999,1468,1812,4966,7482,8389
3727,8225,2102,2338,5266,2644,1876,3315,1977,8637,1015,5556,4414,3698,4109,5228,4134,6197,2062,3308,8961,2950,3447,3864,9009,2371,6483,1800,1779,4413,8222,1495,921,5997,1623,5822,6909,291
3954,4367,2941,6641,2755,1977,2901,2533,3489,3878,5215,3310,644,6024,940,3749,1064,1866,3718,4124,1063,1252,1446,4962,1779,8759,6347,7091,4389,6202,3404,2644,625,251,7443,2341,3485,1134
6650,4344,3056,3152,1477,385,7664,6091,3863,5559,3947,3595,6020,8546,5182,1879,6758,2576,6094,5560,3532,7915,251,2933,2764,3289,3188,3161,8774,3838,1621,7480,1866,1927,48,2604,6521,1906
4939,1787,6283,2535,4276,4631,5976,1015,7770,1971,7697,5220,8097,2981,1252,4556,3444,1341,5586,1045,3025,3706,6091,3999,1825,6656,5560,5233,3960,5569,5780,2564,2205,6649,5556,22,8881,1234
5569,3082,1877,148,639,5315,5178,3229,5614,1879,8734,2151,7202,5384,1764,5813,1880,2858,219,9008,4581,2971,7409,5757,5590,8796,267,1559,6349,4505,4520,2961,3238,5567,4632,4587,6339,2171
3459,1932,1878,2981,4520,1561,6640,2278,8880,8399,636,6725,5712,2336,2182,3966,1853,2051,788,6918,8766,5087,2845,1940,7505,4683,3878,2062,2521,7364,2911,5625,4200,3384,3029,4962,3971,8634
