6366,2897,3412,5601,6514,3769,1779,934,7603,2878,349,134,1254,7716,7708,7144,7487,2336,7140,3262,6282,3841,2885,4051,8796,824,2205,5560,6725,1621,6202,6658,2121,6043,2371,4588,6283,5871,4230,6008,4388,8110,1972,1565,1488,2842,4078,7194,6610,5581,1111,5178,7297,4155,2172,5362,5610
4301,3872,8762,3492,5204,2340,4331,3288,7114,2369,4962,1208,8886,97,219,1976,2341,2933,1284,1197,5749,6725,2051,1050,2975,1314,3175,6140,2332,3379,1620,5565,563,4876,2337,36,4566,957,5712,2152,1862,3010,4545,7148,2578,1600,3064,3999,5804,3308,1877,4964,1561,827,1772,3449,5569
9059,1111,3971,507,5242,32,2328,1293,6484,2700,5238,2051,7372,2364,2889,927,1878,1300,2632,2151,8134,5716,1317,8395,3313,4240,8487,7565,1284,2981,1051,4685,1324,5872,8546,5171,3115,1930,5161,7771,4413,5728,4966,7443,6790,2965,3828,81,8957,1607,5245,6047,6652,2334,2882,3695,7842
6300,1614,3412,4550,2371,5559,1302,2875,4232,5069,5804,6143,1989,5139,7443,1485,5569,2152,1085,3517,7636,3752,2173,6656,8225,6649,4962,1883,8170,5753,871,3838,8940,1390,8766,4545,5183,2364,1801,2895,4388,3294,8546,6766,6517,1878,3185,6055,2652,1184,6054,1824,1535,660,3420,2878,6660
5573,8961,7889,5757,2063,936,1686,4388,1155,6288,5976,8408,3951,5559,6003,1921,5585,1804,1414,6081,667,342,1879,5173,3019,3022,3342,5973,2172,3305,4783,5226,2755,4161,1779,6024,923,8711,4973,3965,358,6091,6651,6018,7060,8231,1873,5238,2371,654,7156,4655,4725,4631,3265,866,1860
498,3029,3308,6652,2286,3838,4962,2359,8630,2922,4558,5568,8179,6634,5173,611,7442,3986,3014,1107,8972,3757,3413,5101,5260,1003,1103,2205,1930,7907,609,6343,7137,3721,8796,7614,3963,1176,4701,1020,7239,4255,6018,1824,1880,3836,1058,2939,5386,6359,4545,6934,1015,6091,1425,5556,5559
8626,6453,5567,5982,5566,7372,1139,2755,6008,4631,5090,2177,6024,5114,5804,1618,2180,7487,2971,1973,5204,2173,3893,3966,189,5109,2893,3010,5712,2151,7431,5215,5228,4385,1873,974,4388,6091,2336,7341,2359,5745,982,3094,1800,7273,8657,9047,669,7160,3083,5569,1107,6018,1370,5559,5976
3522,5202,2950,5590,648,863,1282,2882,8191,1621,983,2056,3838,3767,6054,3892,6202,7135,288,7032,6926,1137,1405,5250,3356,620,3025,6729,4563,507,5060,6016,7956,7838,6342,1085,646,2048,1785,8881,2369,8685,1091,3517,4286,1274,1071,1167,1939,2359,2172,8626,3052,8420,3967,5206,3203
8886,2972,507,2159,1517,4775,3652,788,1862,1977,1126,646,2545,5862,5182,6725,2981,3310,7607,7099,480,7678,2051,7115,2375,849,5757,3636,4831,2173,950,1022,1227,6943,6022,639,4631,3677,6645,3238,6499,3034,8432,8395,1103,4581,915,2062,1879,3915,3294,5559,3412,3994,3863,8743,7552
6055,3972,8885,5174,8540,8419,6812,1932,492,2546,1451,2500,5241,3762,134,2051,3734,2214,3289,3433,6207,6018,594,8498,3838,1991,5073,2371,8393,788,2326,1993,1086,3029,5902,2929,3863,3481,4385,2642,2172,7223,5754,5558,3397,8989,1880,2173,2338,523,1568,4405,3645,2579,7443,2369,589
805,1828,2462,4388,8742,5198,2047,2878,5238,2364,873,3863,371,7857,860,2961,5785,5585,2836,7471,24,5618,7473,1769,778,8456,1878,4967,4861,1989,1058,7770,5568,3044,3841,3184,4133,6201,3963,3449,5973,5976,6031,3938,3245,1302,1513,5804,6070,1100,3920,3692,6923,8420,5193,2549,6061
1746,2986,6070,8570,1769,5975,5250,2297,7341,4631,5734,1984,5586,6387,1800,1471,6896,8993,5795,1574,134,8420,20,81,5131,6833,3187,5585,3110,8395,4975,4311,4542,7770,7678,1779,8103,4394,2172,4157,7164,2901,4052,4612,6026,483,4413,7522,3449,5172,1366,2950,7289,954,1425,5569,35
