2576,8779,134,8550,924,3585,3606,807,2177,3116,6641,2047,276,3490,3729,8626,219,804,7437,1764,5976,6716,4060,5556,2250,8385,6334,3014,631,6016,7877,1452,3922,5559,1976,7328,5247,3225,6091,7372,1564,3461,1779,1953,4556,986,1208,2812,3447,4175,4170,5748,33,831,2151,7443,3247,8657,2058,6295,2371,2992,8999,3775,6029,4575,9007,1787,7990,2173,7480,1749,5179,2951,2536,7839,5193,2364,2435,7404,6714,8418,5757,4558,2159,3677,7267,3315,5199,2873,2865,3053,5569,8759,1185,3449,1878,7671,4857,9086,5557
6387,2173,5136,5247,6185,8779,4536,5556,2508,3963,1886,7014,1488,7144,1289,5976,5560,5568,1880,4987,1006,6499,7283,4043,6402,8316,5973,3052,6294,6282,6619,3878,8567,6345,1822,3919,6099,2919,6202,280,5253,5734,2356,4605,1878,4545,1051,9014,2973,1403,2981,134,2750,5160,6848,2896,5242,7337,4413,6641,4134,3738,1391,6612,4577,6634,5173,7522,1258,6909,5240,5251,970,1463,5586,2378,6633,4385,7957,4332,4651,1787,1383,2371,1274,8742,2156,1926,1827,5243,5754,6339,1507,1328,3542,2885,4563,2546,6968,5262,1272
3941,6202,1308,2334,2881,1993,6197,1771,5055,3406,1383,3920,8419,2182,3910,1429,2198,1921,5125,584,7129,1880,2203,5220,5712,710,5199,5215,1883,3029,7466,1769,2332,5559,5763,1777,3838,2878,5728,40,3778,7714,1517,5204,228,6522,219,2551,5154,6026,8766,8409,6049,2846,4597,4876,5226,8168,6334,2051,3967,7061,5606,5230,583,1179,3175,2898,4413,8242,8961,7136,2371,4832,1525,2056,8796,2192,6170,2451,3094,1977,5873,4631,5862,35,2359,8395,7454,3433,351,7185,7897,4325,5573,1582,6660,3184,1924,5557,4962
2369,787,8485,1879,2173,6951,2047,3029,503,6334,3023,8220,4631,7129,5730,8487,8756,842,5822,7865,4607,7454,2862,3838,1886,8542,5221,1793,178,4731,5073,1989,5728,1977,2755,3294,5194,4173,3213,5757,6725,219,4964,6054,2364,6091,794,6773,3878,1096,4966,1382,1950,2587,5033,4160,1286,3951,6945,6026,7510,2334,5987,6018,8484,4353,4155,3841,1261,300,3980,4061,7487,4608,1449,1205,840,2338,6057,944,292,3592,2656,3026,3475,1370,5567,8633,4961,898,6813,2151,1024,2363,251,6162,1609,1769,7304,7090,1317
785,2363,2151,6018,5567,1787,1077,3878,2901,2941,5804,1214,2073,6052,4385,5176,6186,3720,5097,1007,227,4167,6594,5573,1637,6725,2951,5234,3159,6650,2334,1472,134,348,5822,1879,2061,6812,9011,7464,3845,2047,5565,4042,1778,7186,5566,4040,5556,3313,2369,1283,304,2524,2371,3790,1246,276,8991,2927,3161,1378,6327,3422,8395,2950,607,1010,6034,1769,5973,2952,1259,7128,8232,958,6,1073,6070,4940,5743,584,5569,4667,511,645,283,5923,3959,8750,6652,5073,6008,4280,1535,5976,7289,5785,4535,2541,1315
2056,6044,8796,4277,3517,3271,233,2369,7135,6336,2181,6656,7184,5617,3420,1517,2816,8660,1523,3310,8496,1063,1976,2924,1769,5229,6091,1530,8949,6043,2386,8745,5556,6785,1831,607,8230,2941,4962,3246,3185,1608,4796,2173,551,3838,7300,6725,3010,4323,6334,5156,1878,767,8505,5898,2364,7434,8637,3404,4322,3940,1574,1865,8408,5187,8881,3244,5236,3496,940,2981,5929,1369,1807,3243,4198,7767,2175,870,3832,4292,3538,4246,932,5228,1787,134,3678,1926,3462,7430,3766,3878,2939,5804,1228,1362,339,5095,473
7766,5219,293,3025,3495,5573,5560,3447,6943,3246,2159,7306,6974,7711,7634,4389,6139,6761,4001,5559,3913,6054,5194,8637,22,1486,1253,8741,1877,1079,1827,2971,7678,5025,6135,2088,728,2927,6188,1934,4239,7897,5976,1458,771,4962,251,3682,7250,1407,6149,7406,795,8203,825,3268,4471,9059,4807,809,1866,2709,3485,3184,5177,1989,1788,6022,2408,3313,4514,618,1301,1785,3980,2364,1123,8546,7677,5421,2056,5185,1055,2061,4413,7443,866,1137,6989,5096,6092,2242,1109,4949,3071,830,8219,6952,847,2949,170
5804,7878,5973,4599,67,6725,4962,1787,5753,6043,1944,2359,3999,3598,2885,8881,26,1873,2985,6938,645,2062,165,7707,7487,2056,4225,8776,2928,8495,1158,5109,7324,3282,4199,1455,4468,1552,6633,1603,1951,5559,2755,4528,4352,6334,5586,8490,25,3072,4533,4561,7611,4514,3963,3186,1095,1217,5238,2152,272,2001,5222,8418,5217,7061,2172,2063,6339,3406,5762,893,1983,3296,2967,7013,8987,6682,2332,5894,3849,2151,1085,836,1361,4388,5569,1240,1879,7026,8419,507,8168,2881,5229,8884,4596,869,8657,7771,7146
1621,4724,7128,1269,8171,1619,5214,1193,1812,767,8750,1737,1111,691,1880,1787,6339,8809,2371,2532,4060,260,1370,8556,6197,5567,4159,2408,6635,6182,1407,2036,2755,2907,233,5569,2151,2172,1769,8389,2369,5230,1041,3284,8418,1020,1123,6276,7024,5215,5976,1535,6923,1126,2897,4006,1976,1448,7248,2051,3246,34,3699,4536,668,3878,2334,6013,710,4134,6178,1932,7674,3430,2898,5804,1380,8364,7480,4542,251,3575,134,2572,4331,3734,7297,860,3119,1541,2461,1093,2217,7523,8759,1968,5166,507,1779,5712,8617
8229,2179,6334,4228,134,6297,8885,26,1924,1308,5745,7094,1976,3863,7458,1814,1977,6785,5177,3237,2449,2367,4982,3963,2369,5753,3970,581,1883,8496,3954,1240,5822,216,1879,5772,2062,8200,7093,5173,2901,1866,4396,4631,2252,5712,2892,4126,566,3659,1873,2555,2497,4539,2973,2183,3184,5190,3714,6284,1254,1862,3071,6832,2359,5221,8540,1504,305,2173,7702,5556,3290,4514,3757,6505,14,3268,3595,3432,7760,1450,2334,2172,2056,4876,1005,5569,2156,8235,7372,2214,2798,2354,6833,3747,3204,8999,3575,2047,5766
