3108,1634,2951,5763,2538,521,6091,6973,1405,3029,849,1976,2156,1379,1210,1924,7177,5973,4044,7332,1118,915,3549,1294,5224,4143,2172,1977,1251,4637,1490,8263,295,5565,1155,2973,134,5812,3734,2147,816,4457,2051,2541,1769,1238,3760,983,5559,8211,3841,3751,6447,4052,1361,2173,6334,578,1801,805,2346,2334,2219,933,3999,1879,1614,825,7698,7482,4076,9058,801,3963,2950,2371,4879,4631,3050,4961,3198,2035,576,1395,6395,1126,3289,7443,2546,6023,4404,3913,1454,2878,1429,7008,5822,1880,3956,4979,32,3714,4878
1145,2574,1504,3308,2152,1972,1286,5566,639,1006,2334,220,8627,5804,4060,7918,4520,4578,5254,4031,3263,6833,2069,3303,6645,2340,7372,2957,5559,134,7947,1779,7369,6319,8219,3406,388,1290,5556,1587,2051,5173,1020,584,3296,942,1326,3294,1809,3863,8546,2202,3838,4159,7751,4370,5887,194,1097,1387,3998,1623,2550,8856,2364,2558,5734,7378,5597,3091,6373,4388,5976,3444,5210,1403,1580,269,791,3292,8097,1732,3072,507,670,1015,1579,5560,2062,3958,7046,6070,6914,2159,8134,4581,6652,1507,5238,2151,1123,1976,3381
7122,4350,6330,3026,219,259,5174,8744,2543,2045,357,7709,3029,2913,4001,3533,1199,6087,1213,2951,0,1609,3299,5560,1516,2185,3687,6633,1878,1547,7364,6238,371,2127,7431,6647,3018,7289,179,5096,3519,8097,5610,7697,3308,5266,608,7440,3853,8545,8116,1218,6650,7368,7443,1930,1580,6660,6521,7711,8168,2151,2193,2462,6070,3940,6656,3757,2885,5743,2062,3289,7720,950,4155,3766,1769,4026,2575,4285,356,2082,3310,3885,563,2942,599,3413,5556,5206,8796,4962,8230,5215,2584,6396,1614,8680,6191,7897,8881,7123,8415
7480,6291,4213,927,2159,786,1882,7692,4545,4962,1932,4388,6400,971,5692,2056,2338,4631,134,1516,7708,1878,3190,3294,7135,5220,6660,6475,1886,29,3691,3722,1543,8386,8351,6246,1369,472,2175,3743,8194,8880,8190,7860,3987,1404,6008,7369,7426,833,2063,1968,1532,1866,3950,2901,5569,5558,4539,7868,1787,3592,4551,496,3275,1488,639,1279,1836,893,5822,1582,5789,1865,3025,1103,6091,1984,3511,8345,3289,5238,8763,2173,1360,1112,5266,2840,4558,507,8882,8051,1006,3020,8395,5556,3918,3999,4177,2151,6651,1769,2205
872,3864,5560,5609,4772,2363,2338,7454,212,1477,1098,1608,7433,1977,1573,3244,2965,1535,5928,1208,504,134,1248,1257,732,2173,7711,7374,5623,6634,7684,2063,2047,1880,3029,2346,4962,1976,1565,348,1576,7182,6018,3841,2056,4154,5266,2755,251,2151,2214,2205,2521,4388,6499,1515,2149,3951,8877,3152,7378,5770,5734,8414,2172,223,6221,6339,2957,8409,584,3057,6091,2952,2885,5976,2469,6590,1397,5595,1779,1226,3943,1740,7092,5174,8965,1945,7128,3658,49,3280,5822,2539,5215,6034,6092,7448,8867,6137,3010,805,6874
5753,6894,3425,617,7378,5785,6129,1038,946,6021,3897,6749,4388,6092,820,7819,8048,3244,5264,5210,5238,3669,8687,4308,2576,5586,1879,2371,4557,2340,5870,5228,6016,1779,3228,4803,4551,2159,8409,3841,5734,1514,4413,1921,6510,134,1592,2063,3967,6008,2334,5560,3966,588,1318,2492,3863,1968,3662,1507,1877,5559,287,2364,14,2851,3025,8796,580,2056,1208,4642,2591,3034,1880,1930,2408,933,6803,5217,1812,4961,1403,8447,4188,978,1430,7098,8881,7443,7472,3016,7289,2488,6358,2894,5786,7400,3421,8631,6647,8941,6499
2338,6362,621,1488,8224,5745,8168,6294,3999,8450,5730,5237,1324,1458,5785,1132,8884,1529,5241,7753,2755,5599,5973,4198,3878,2906,5567,8451,6288,1779,3618,4631,2971,8941,831,3073,5804,247,3444,3913,7671,6640,2047,8409,4170,3433,4966,2346,8752,1197,1813,6293,1921,8209,6206,3496,4219,8476,3832,1472,1383,8051,932,4389,6503,1126,3941,8726,7247,1031,8796,685,4539,2466,6339,6725,2536,1041,7516,5245,6755,3950,49,6066,6201,2410,3308,4819,5224,2054,4964,2334,2901,7749,2890,1462,1478,5878,3493,4962,369,1880,4412
8941,8776,5795,2901,1769,8657,5868,2159,1242,219,3954,4072,4105,265,8084,4265,2214,3308,950,4388,2952,3702,1985,7061,954,1206,2051,5161,7458,866,3782,3172,3197,3288,3160,6914,5573,5221,4631,971,3043,5567,5104,2317,4119,1197,3052,3699,4819,5556,4134,6651,3653,5204,1778,4331,4719,4920,5569,1304,2063,2810,5162,6652,1873,2054,1862,1033,2127,4401,5804,5931,3139,5712,5132,593,8993,7238,4239,8409,3971,6725,5140,1041,8449,3184,1081,1614,2179,7842,288,6362,7714,690,1886,7480,1163,4084,6018,6091,8098,3958,2340
5127,1185,1093,3257,5214,3478,3749,5566,2056,7556,7697,134,2554,7184,3014,873,6091,2173,6022,5976,1091,5579,1972,8868,1866,3213,3029,5753,5021,5734,5544,1123,5185,507,1834,1227,928,1509,785,1015,3656,2172,5560,1976,4413,5101,19,8487,3444,5130,6009,1991,6503,7714,5221,1021,1862,5159,1082,3866,3289,1977,1880,1024,3783,3959,2369,4964,2635,2550,4006,3878,3760,578,2364,3838,1407,37,7145,2047,2359,1234,3333,1184,1668,2151,933,1612,29,1089,5096,2522,3707,3970,5569,81,2214,8941,1334,1968,1812,4320,876
654,4964,2016,3539,2369,2056,7346,3037,230,2262,3989,977,2878,6570,5990,2899,7569,2980,3968,1877,7409,8818,4388,943,2947,5242,3136,3315,6725,5576,2198,8191,5766,5606,1475,6008,5821,7091,238,8489,2364,4006,7454,5567,6943,608,3218,1779,1179,6445,2547,1769,2173,2961,8384,3244,860,8395,8230,1809,7842,1059,8543,2346,1407,8750,2534,1359,1056,1438,1174,2151,6330,4004,3447,5976,6144,3430,7443,1972,5073,4962,5384,5973,4966,2172,2758,3545,2062,7464,2469,5566,1976,6914,6605,5573,4594,3749,7369,7372,5062,1879,4555
