1214,5091,1924,8407,5976,4966,4520,6181,8545,1001,5232,1423,1021,829,645,5238,4037,1886,3238,5898,107,6282,694,4960,6622,4940,322,2016,616,2890,4692,795,6336,1366,5556,3413,1472,134,267,5178,5187,2334,6725,2476,4413,6640,6519,752,6188,5983,8657,1866,8350,3184,549,6518,3511,6021,5217,493,3562,1968,2462,1400,7061,6503,6341,3283,6291,2062,4289,2749,3231,4158,8757,1286,949,298,1324,7772,1801,641,7310,6302
6939,5126,6206,1520,1226,2767,6355,1824,4413,1882,7367,2889,2755,2363,4048,5785,1567,2899,5804,1167,1932,8544,5560,2998,4388,8155,5728,2917,2331,6165,5057,8761,2070,4962,6397,2965,5621,936,1972,2521,2057,5556,4182,371,5391,7517,4520,5547,1198,771,1779,5573,6725,637,3310,1881,3420,8766,1015,2341,3025,4565,5097,2056,1458,7736,1989,4119,1834,7171,5604,6091,3644,1059,3938,3026,998,5976,1877,1502,30,3030,7428,5898
1779,1569,600,4535,5770,8554,6091,3406,8051,3942,4077,3247,3577,5560,8542,2172,1212,6294,50,4559,3838,1866,2198,3459,6769,8502,2359,1281,3878,1110,1576,6191,710,1878,591,800,4389,1231,3195,3599,5362,1787,2159,2152,5204,5566,6725,4978,2051,7678,2151,4388,2028,4631,7125,1436,8045,2576,5712,958,5266,2897,5249,5569,2062,2936,8961,7161,734,2927,1560,6510,3226,1252,5228,842,648,3716,2266,2909,5976,5391,2056,7556
2974,1788,3864,6201,772,5973,3554,2901,595,1924,6725,1777,3892,7711,1036,5090,8796,3014,6649,7323,3878,2143,5228,2063,5804,3422,3025,2885,8103,2153,3211,6768,4321,1878,171,1879,5220,3296,2356,5622,4109,6220,962,4830,4989,4157,6018,7435,7474,1963,1517,3618,4263,2214,7489,4385,1739,3289,2297,4124,2172,1184,8221,8156,5142,9084,134,1769,2047,2576,4965,5573,4388,2024,5753,2338,7291,5180,5976,1488,1881,3933,3999,507
3931,2064,5173,7888,3045,1963,8941,8880,4233,6093,7061,4095,1041,1800,4055,8406,1233,2016,6342,1866,4674,1600,1822,519,8102,5247,5728,1083,2172,2047,1977,5976,2430,5266,4413,639,7293,3821,6091,3282,805,1574,44,7135,3201,5323,4631,7895,1114,2971,8755,5566,6785,1879,6194,8895,2338,8634,3724,1787,507,6787,1038,1623,134,6394,8393,5241,5095,2205,5360,3847,1812,4297,3413,2062,6938,1385,3941,7425,4536,1438,2056,3618
1993,1921,6047,2840,8129,8493,2172,3010,5156,5728,1775,7462,4528,1541,1123,3606,3655,1361,4807,645,2878,8081,2030,4962,2587,1215,1953,1066,7577,4545,8762,7771,2371,7168,4566,8460,558,2369,530,3025,2193,3406,734,6024,3887,8546,2990,8476,5228,5584,507,5595,1882,1276,5185,6286,5973,2545,1880,1015,1779,3838,2562,6834,8786,6819,6043,8396,2981,941,5223,2056,1642,1922,3544,7182,1972,1086,2338,8355,390,2923,7180,4146
1285,2558,3883,3184,1882,2975,5559,6037,6942,4962,2051,4631,3059,621,8464,6039,1991,643,1779,2971,7671,8174,1382,7467,3102,3029,2755,807,795,4565,2048,1421,6943,2983,1917,4058,1017,2924,2159,1186,5982,2172,2901,5389,3504,3882,6091,3450,4284,4153,3300,6223,915,5278,593,6939,8637,8387,8493,6909,1419,1440,6827,5239,4134,7751,2648,291,5734,2575,2996,3886,1624,3598,2946,2930,1785,6044,2873,478,4362,1559,6633,1787
2334,8745,6849,3991,7500,8796,2051,3109,5868,2505,2371,6725,7466,1845,2012,7400,5190,828,1676,466,4388,9072,6647,1779,1968,2159,1167,2410,1021,444,1989,268,3040,2175,6091,4566,1260,4845,733,5804,1024,2592,8242,6043,3019,15,2214,2048,1673,5569,1800,5712,1609,4884,6186,844,3959,5137,6648,2981,5215,7443,7678,2172,8493,7272,26,4962,3497,5786,1176,2924,3983,3024,3007,2062,7297,7186,2549,1242,309,2238,2056,2911
5567,4497,6699,5565,3102,6784,1880,7252,5753,6974,5205,478,1750,5559,6831,671,3116,4388,390,6499,6773,5319,5127,2024,1482,1020,6928,2893,5585,1769,2965,3161,7309,1541,1430,8471,3289,7240,1438,3749,1508,6044,3664,2205,32,3963,8546,1779,1234,850,2917,664,569,5173,3434,3037,6205,3684,4077,8499,3226,2581,2575,5976,8908,2051,5097,6091,2173,1574,3691,3019,3878,3984,832,8287,3902,1445,2062,1588,6344,2894,8260,6453
2151,6197,4799,1359,1932,5712,8413,5100,2541,2173,5266,3022,134,5169,5973,4385,1407,2482,3083,7343,7842,6647,4876,1813,2574,2408,5166,8820,6660,820,3433,4578,1886,2971,1906,2338,4275,7957,3155,1011,6011,8420,8961,223,3145,6334,1977,3811,1499,5977,4631,6649,790,2051,4562,3058,5569,2755,1280,6517,5185,5976,8191,1123,3029,1880,3950,3958,6144,1883,2423,1196,7623,6810,5242,5734,4296,5198,3121,5794,6173,773,3420,5613
