1472,844,647,668,6091,2480,3841,5567,5067,3866,1342,8097,7475,6008,134,1926,1817,3864,2755,5873,5753,245,2885,3244
3762,5753,2464,5266,304,3406,210,6928,6651,2939,4970,25,251,1472,939,5390,710,4165,6937,8261,134,3420,2172,2371
2159,3310,4157,2576,6483,7532,6725,5247,4362,385,3966,3296,941,7771,1286,2898,3420,268,5556,1803,4676,4042,4547,8879
5893,933,2774,8409,4526,474,7609,7699,2563,2214,6201,134,7711,1984,2156,1084,6043,47,2499,316,4146,8614,1928,3447
3654,5198,3029,1878,7325,4170,2981,6318,6466,2550,507,1977,5567,218,1612,4606,5599,5556,6773,1827,1429,7431,2159,3643
5973,3901,5219,2353,3184,3294,6022,3878,2375,3830,4081,8880,5976,2413,3713,3490,2448,7556,7169,1371,6091,4039,6178,6145
6785,7636,4413,2371,6649,1349,6797,968,2483,5556,6091,3007,7250,134,7454,578,8395,2587,5102,1298,8745,5174,2172,3963
1095,5728,18,2172,6136,6725,1259,2051,8504,1490,9001,2957,5237,2159,2371,5178,3609,3614,6225,4134,6563,8783,4915,6510
1393,7454,3959,1945,4548,2113,5569,5466,5556,2933,1769,2364,1355,3876,5804,507,8546,8654,3100,4962,3348,1779,2063,1168
8881,367,2062,2051,1058,1877,3065,5031,3308,4178,5583,2369,8820,2907,5081,6294,9008,1516,5921,4658,1977,5898,2338,4611
294,5159,2338,8757,1621,3863,8043,8447,4520,1222,4088,1963,5251,1712,1904,866,2334,3413,1322,1216,1815,1787,7184,3967
8986,2274,5597,3029,4284,5260,4738,1058,2951,2056,8654,1060,940,4528,5804,1545,2159,4556,6640,5114,5253,7272,5221,3052
1779,7907,4844,6165,863,5605,2016,939,2532,6370,6347,6739,831,1191,6057,7289,3897,2159,1878,3026,3938,6843,271,4134
654,8546,1612,2153,5262,2359,5769,1886,3840,8218,8227,2497,790,4807,5556,7132,3433,1906,5203,1374,779,1880,5573,29
7724,2371,978,2334,1407,826,2411,5203,1880,2047,5586,3404,2167,5160,1532,3049,5559,7323,2062,971,2293,8421,6725,1779
4002,7709,3029,6057,3247,6091,1203,4389,7556,6974,2155,6294,7430,8993,1197,5136,3025,7851,2944,3952,74,5566,3966,202
5221,1977,7454,4315,1769,1731,4369,1787,270,7297,4610,507,8552,2541,2217,4487,8412,6206,6238,8885,5139,3945,3315,4008
3118,4385,1779,2409,2051,8757,971,3799,7094,8884,2621,1880,1787,3579,4388,1343,1420,5991,5250,8657,5573,8471,6057,2205
