2364,3963,1436,1361,7369,6339,134,871,3412,2409,1972,1978,1932,1895,4091,8751,2151,4687,7709,1061,2371,3903,6833,5559,5102,1769,7028,8739,6026,30,1300,5149,5557,930,6140,2889,1977,3037,6058,4176,4063,2359,3522,2878,8766,960,2173,1301,6251,6130,5162,3993,219,1302,1906,7164,6483,4236,3999,5195,1886,6827,3878,6151,2338,700,1101,5790,1464,954,5898,4118,6640,3562,1094,4631,2356,939,8822,5585,2369,1971,6274,6334,520
1375,4385,2558,3886,3616,3492,2048,7708,3283,3873,1290,6015,5556,839,7171,5749,3591,5559,6366,3381,2636,2346,6206,1879,3963,5761,3413,6629,6833,6555,1968,8243,591,1963,5557,7125,4962,733,6649,3454,7200,8778,1873,4550,4342,1558,1300,84,5566,1921,5206,8390,1058,1513,1366,4209,1862,1039,1984,5560,3010,1657,3596,8775,4681,5596,6273,7172,5734,1010,6647,8844,409,4306,639,7202,5977,6309,3998,6640,7480,810,8546,785,4134
6013,5178,3246,5559,4390,3296,251,5160,27,4175,4159,4388,787,4124,7752,1244,1954,1076,7461,1007,3867,5201,1020,2214,4979,7430,2338,2767,1976,5185,5753,1438,5556,6725,2063,5901,3560,7184,8419,8870,6018,2027,5590,3731,134,5266,1973,8392,5067,3569,2061,2897,5569,3440,3963,6225,6149,1612,3843,2156,6057,1787,6656,507,1710,1095,2924,2172,3025,1879,4962,1058,2371,2896,1256,1471,3950,5194,9007,4308,6001,5712,2755,4151,6288
2882,1499,2662,4060,2921,6660,6909,1328,4545,2159,266,1878,1242,2334,1033,8393,1809,5683,7372,8746,8232,5238,5556,5374,1803,5973,2156,1085,8625,1264,2338,2173,2878,8463,8540,6201,825,1374,3029,5283,870,3878,7323,2901,3778,5804,2047,3749,8399,6211,6339,6652,1483,2541,1126,4550,7605,5041,5305,2032,2859,7433,5976,6606,6024,8774,5266,6073,507,5119,822,1256,1886,6807,7400,616,2508,5792,5989,984,1429,8941,1769,5763,6001
3539,3268,5990,3963,6036,1402,1341,6334,5862,6492,1041,3053,3310,1860,6342,7093,7411,6043,2338,1060,5125,4968,3938,2159,1024,7708,5235,2882,3316,952,7443,1576,578,5568,7344,2016,3920,4086,5989,6061,1788,3552,177,7899,2047,4698,32,1353,7328,2919,2956,3244,5559,3025,8191,3037,7164,4385,1787,1415,2086,6278,563,1386,1886,3706,8865,1056,270,7306,2056,4520,5597,8395,6373,247,8111,5173,8546,1173,2346,7793,2930,6375,5748
2363,4962,7480,219,316,6758,5116,6339,1077,5238,6365,1075,5728,1429,6942,2051,8735,5224,4126,6018,2205,6372,6725,4658,2893,6015,1825,1257,1989,4631,3820,8477,1304,2756,4526,4413,8602,5249,831,2047,6891,2181,5210,4774,6649,3501,3932,1495,2344,7431,5573,7692,6048,2056,5829,1301,6647,5173,3184,19,2062,5557,5252,5121,1293,6324,7842,8452,4390,4006,1769,7870,6833,8546,1612,3130,4124,1624,2216,7144,8776,704,1217,6930,2152
2214,7437,1507,7523,4109,3892,2364,2464,3922,5556,7443,4542,4105,3307,3409,1224,6649,1100,2232,2843,6206,7334,5258,5559,6725,18,8634,7568,1263,3014,5173,6095,1364,6900,366,8540,1123,1290,3919,3412,2939,5982,3579,5245,6070,1800,2062,8765,6818,3057,1469,3452,5266,4385,1788,5194,5569,5305,1259,2369,5757,170,1064,1186,1094,1921,5174,2063,5242,1399,1976,5712,4895,481,578,3507,783,1989,3852,8766,1198,8777,7428,1407,5072
5785,3009,5713,1921,3517,4143,4105,7740,2159,8547,4394,2056,6341,5859,1379,5230,2364,4233,2062,507,5228,1262,7464,3678,8635,5873,1930,4061,294,134,182,5232,3777,8219,1779,1880,6091,1877,4164,6280,8096,4631,5734,562,7848,2901,8505,1167,4818,4052,4542,8135,7457,5770,917,6657,2438,5902,4553,2375,1600,8857,6725,996,1801,307,6022,7779,1566,221,855,5112,7417,2172,5559,2371,1524,5384,2359,3905,3437,6206,7697,3027,7487
6725,2534,1015,8993,3959,7697,8454,1574,2545,1551,3013,2334,3777,7671,507,1511,5569,6065,5947,1202,1477,6953,6020,5220,3433,8657,5560,3841,8412,6024,4388,227,3406,3010,2051,4044,8463,1111,2332,1926,1285,6206,2512,4325,2359,1752,3226,5229,5712,6091,1058,2156,6499,8433,668,7185,1708,5250,8544,3038,7372,5156,4223,9010,8769,1559,4922,4105,3878,5559,7468,5822,2047,7556,212,2981,1824,1358,2885,5418,3024,8441,295,1769,265
35,1407,5712,5566,733,2613,4708,2890,6633,7135,3940,1615,8809,5739,2520,1436,1365,2027,6659,3294,2950,2533,5753,1607,7522,3025,687,4301,1421,1779,1882,1511,804,4818,5073,6649,4407,1020,3575,5210,6660,5973,1609,4388,2901,3866,5217,1586,3615,7754,5772,1300,5204,258,2647,3119,5228,775,7556,4413,2151,3607,1357,8544,5804,6247,6281,5560,2047,7503,7164,3161,3433,2214,7324,1286,2509,28,8777,5266,3168,262,860,26,3432
