3967,4164,2172,2550,3863,1099,2047,6008,1226,134,2219,3199,8192,2556,5228,5285,4054,226,1824,1866,3884,3029,6725,6288,5556,3025,6909,7466,5263,578,4370,7897,605,2587,1470,3828,3897,2062,6337,285,6034,3184,1350,8980,9059,2214,8774,794,1315,7935,4985,5183
7770,7454,3938,8763,134,7429,4631,507,8175,6024,5804,6155,4303,4266,5194,1531,2359,4157,6091,1737,1499,7487,2171,8048,1688,3686,4810,8391,1720,1429,1787,1873,754,5559,5926,831,2208,8943,5753,6306,3598,2894,5369,600,4044,832,8404,6645,4006,1991,1825,5210
3315,674,1499,5802,5753,5221,5262,2318,5741,9092,1977,1769,8796,2334,1524,3597,3558,3863,3878,5573,2800,1612,3026,2541,5204,5569,5973,3310,8048,605,6803,5085,655,734,507,475,3172,1952,5976,1254,6660,4631,8096,3181,4962,6008,3951,8284,1259,1218,1801,4413
2901,8392,4965,45,3609,3922,7454,8542,6033,3920,228,7443,8633,3950,1514,600,2534,2210,7114,2350,3853,3119,3477,1862,3867,4631,109,9053,3026,7488,1769,7185,3848,1470,1109,8641,5734,819,2346,1520,2911,2419,591,8796,2549,2923,5560,2047,5173,820,5581,3313
3184,8941,7340,3852,212,2173,2051,1184,3965,2755,8532,5166,2495,7901,940,2063,4169,3429,4006,3054,5605,1977,5178,22,3838,7857,1094,1787,7466,6843,2352,6640,2223,3963,2334,5881,4539,1877,1515,5247,3244,1455,3409,7267,6725,1880,2587,6660,1104,1275,2977,2151
5178,6018,1058,3409,6188,292,1086,6197,775,2051,7612,2159,2016,531,2172,5173,5234,1622,3539,2642,932,2364,3595,3184,2755,6484,5835,4799,6725,8455,2047,1882,241,3037,5684,5559,1204,3433,1926,3244,4579,1563,789,7720,1977,5622,4105,3083,8546,1621,1564,8999
3026,5206,4155,2062,4001,3308,401,3246,1041,2750,1878,6058,971,6660,6650,3037,5069,2364,8427,8744,5976,7135,1882,7571,3427,1042,523,8473,8493,6974,5763,3607,8475,8177,2336,1059,6023,1831,4154,3959,5559,4516,1461,2172,3752,3029,1802,7311,1264,7372,1812,8546
5560,700,1779,3967,1429,6503,1800,3029,5220,1878,2981,1126,3185,1862,227,1769,1328,8396,2205,2357,1926,2336,3279,6974,6725,7842,5246,1712,2550,1642,4134,8425,134,282,4124,2543,6751,1556,4631,5177,1777,5920,2155,3886,5102,2644,5976,6031,1390,5194,3014,3966
3238,7842,1862,6091,8425,7454,6808,2659,7184,1364,5207,1094,1824,6946,677,1623,1984,5976,683,2951,5569,5247,2901,4535,583,1785,5242,3853,4962,563,4026,1407,6557,3026,1921,597,2369,8395,5560,7585,6225,2957,7819,3956,1873,5097,3161,2152,4389,5745,2334,7436
7556,2369,573,947,873,6018,1041,7603,3863,2686,3456,2648,6334,8543,3760,6942,3287,3279,2359,6331,1473,3070,2159,1787,1921,2334,22,1585,1397,494,2205,3181,3308,8762,2045,1878,3161,4349,860,5159,5556,2016,1879,6144,6091,1877,1862,3847,4078,5877,1171,4539
2205,3733,4177,5786,5190,2981,5785,2051,771,5596,507,1264,9,648,2550,3449,4528,3865,4044,2371,7895,2425,4385,4234,1273,6020,2334,828,1977,8657,6334,6689,4412,3092,3719,2172,6770,7390,4962,4342,8423,7125,5173,1144,8476,5225,7802,3025,26,1797,965,1880
4536,1882,8546,221,854,1742,4360,1432,507,1873,1149,551,3026,2341,5590,2334,5239,4385,5766,7135,5976,6725,2427,2047,4714,5556,1374,1667,5973,2338,812,4985,502,3892,7267,2062,1673,3967,5568,4413,1185,1378,1010,1400,3025,2359,227,1478,338,1779,5104,1514
258,6640,2408,3817,7556,5741,6202,622,7899,4631,1027,6070,4412,6725,3185,3260,5754,5247,8415,4987,134,3847,3998,7115,2062,2369,1237,2375,5156,5573,2453,1769,7171,8395,6092,5178,4849,1298,8051,4551,199,4962,6827,290,2177,5121,949,7184,3969,125,2924,2173
7186,5790,6605,6656,8993,7899,1496,2172,335,4219,4985,6303,5973,7512,3838,2371,3010,3878,5835,1053,5896,1879,7678,36,3575,2173,5390,1825,8940,7388,3841,2151,7374,4497,5753,1393,2213,589,4962,1880,609,710,7434,8829,1963,5113,4807,5734,8996,7956,8395,7372
2056,1866,2574,965,5166,8412,7500,4165,1824,4388,2468,3886,259,6038,5770,7604,1465,1779,5613,8859,7842,2477,950,778,6725,2973,64,4542,2049,7541,4667,2047,7248,6498,8941,7186,3645,1471,5096,1378,2217,5734,5566,3981,219,4973,1886,1015,281,5090,3999,7128
