5559,3713,1478,5239,118,3026,2885,5692,8991,2587,2552,644,1148,6206,929,3298,2051,617,2981,1515,2052,2173,2512,7977,4133,2152,1769,3052,3423,6492,5973,7692,5785,1020,6061,5238,6283,6373,3947,7443,3273,1274,113,7145,1877,6484,1778,1779,344,2063,6294,4402,6091,2172,3863,3699,2035,3083,4388,5174,3301,507,4051,2502,4385,5895,2159,3029,3462,5795,6339,6024,1000,1378
2364,2069,5556,4554,3560,808,6346,6043,3778,8395,4962,1878,3184,1933,5199,4157,6633,8508,946,8409,5091,7474,5383,2578,3682,611,5688,7135,4060,922,134,6091,6024,1500,1614,1840,2755,1252,3308,3729,1623,5566,3410,2644,6193,1235,2975,2507,251,1041,939,5723,4324,5604,2214,1427,5624,858,1009,4631,8016,1027,773,4605,4134,1049,2151,7678,3892,3883,3787,830,3160,5598
6035,1250,7094,2975,667,2193,7762,5185,4738,5215,5190,2064,4388,591,3958,2058,5734,874,8546,1882,4807,2051,2260,6019,2047,233,3283,8459,7302,2416,1779,3594,309,4830,2950,2882,2941,389,3023,3999,7479,4739,5784,3185,5040,4936,4984,1972,271,1506,1993,3258,8877,2981,1565,4518,7711,4561,1297,3184,1300,3204,4155,4105,828,8759,3302,2919,507,2155,6031,8761,3838,3903
2369,6521,1084,2047,5791,6974,1876,7135,6658,6092,2939,4386,7484,7649,7234,3847,1785,7304,8993,7311,1337,8545,8637,2346,4984,8450,5567,935,2364,6302,2056,6535,251,3955,3757,6191,7599,4105,5565,3644,8678,2951,4060,4388,8223,5246,3766,871,6655,2175,655,2193,8395,5976,8546,6341,1769,1165,6031,4172,1357,2172,4962,8661,5982,1989,1036,9025,2578,6019,5573,2063,1448,5804
3062,6941,1219,853,3037,7443,2895,933,582,3950,2363,600,5153,5753,6891,3184,2056,872,1537,1063,6817,4329,6014,6018,3712,3205,7152,876,7437,2145,4550,8832,3866,3203,1880,1460,3738,2367,1769,5078,3241,6054,1417,2375,3420,1989,1785,3749,4531,3009,2537,6142,5182,1991,5201,1157,2364,8546,1824,7899,3235,2893,3317,4962,3014,1038,8761,1095,1657,2159,1879,4315,3456,3444
5590,767,1800,5087,833,3575,5961,3974,2173,6686,5250,4177,2371,5804,292,7129,1807,4964,5785,1880,7522,5976,8557,2205,4581,2923,7708,4631,853,5073,504,4175,820,4169,4105,5560,8886,3219,7678,7720,2363,1652,5194,3447,2893,7641,8420,2951,5559,3889,2172,6785,4150,5734,3858,2183,2755,8419,3299,5095,4291,5228,6034,3645,3413,5126,134,1110,2056,3878,3828,5221,6372,8943
1611,8320,2921,655,2471,3893,507,5560,872,2965,1045,1748,3244,7523,1467,5770,4414,6785,5804,2341,1087,6503,5573,2773,8877,5209,1886,3025,8429,1108,771,1230,4286,3920,4088,8796,38,5790,621,3921,7847,7342,4565,3699,1173,1769,7649,3247,4055,1517,807,7386,2346,3465,1103,3876,1256,5566,7935,6708,4966,1921,1229,5559,1317,5828,3547,3991,1862,936,8941,3607,3281,885
5556,396,3723,5160,8867,4161,6034,1006,4249,8230,2051,1252,371,5139,3429,3750,3739,7242,1378,8996,4615,19,855,4414,578,4794,5592,812,1866,5266,7692,6535,3014,3352,3947,4297,2151,5871,3185,3950,2901,6206,7094,5900,2913,7324,7341,3184,671,251,1384,659,5233,4279,5785,4024,992,3432,1728,7332,1272,3838,1488,4388,3951,6186,6018,6929,5804,134,2837,1472,5222,6436
6043,5114,5370,2364,1308,7094,5559,1824,4016,1586,134,22,958,2159,4110,5019,35,4163,4297,3126,604,5170,2062,2253,1977,4542,1219,3485,2171,507,2051,6800,7599,2182,4337,4281,3892,1524,4155,6650,2047,2981,4962,874,7577,2929,3878,3184,6902,3016,6775,7465,5206,7111,3967,1976,4285,3313,8490,7273,2408,3525,3905,6186,1417,2329,2755,7343,4069,8219,5730,4134,1024,3984
6070,5579,7225,5719,7714,7129,1466,608,4578,251,5232,2193,2753,8896,8881,5999,5583,2890,4177,2813,1800,3014,1880,6705,5567,1101,593,4053,5566,1886,7185,1081,2901,1459,6757,2334,1878,270,8637,2062,5621,1968,664,729,2930,2182,2338,6717,5565,1016,2473,8418,3847,134,5087,6503,8886,2355,8877,588,8657,833,2981,6891,1024,3406,6428,5160,7662,4823,4060,4528,8755,7400
