6343,3692,5104,286,73,3308,3673,3912,4631,5232,1316,8419,7154,2151,2622,1053,2874,8547,971,1769,2636,259,5691,869,2205,7263,1528,5163,4895,334,8232,5559,3315,8546,2826,1448,2192,5976,7957,2549,8796,8544,1879,1478,1568,5567,1524,4530,7251,5569,2297,3447,5238,2338,6059,8870,8687,3607,1787,1271,42,1642,8395,2963,8409,2364,6191,3591,1393,6612,590,5183,8387,1856,1291
5782,8637,2051,563,6148,1926,2574,3965,5625,6807,3921,1263,507,1564,6725,8641,5299,7879,3257,2521,2286,1878,8191,5804,3447,4695,5560,1516,966,2657,5071,8657,3030,1866,1972,5384,153,8630,4001,1524,134,2364,6197,2217,5753,5822,2971,2205,3926,8796,2537,1879,7168,2505,8127,2338,21,7599,3847,893,6689,6039,6047,1068,2941,2750,3607,1249,7556,3246,2172,2197,4612,373,8219
8080,1559,3897,3184,733,5566,7407,1976,3695,1779,6140,2924,685,2063,4969,251,2364,1793,216,5973,2153,5795,5154,5915,5976,6276,2371,867,2051,6395,861,134,9077,1524,5068,2369,7472,3025,7443,1417,2760,2205,2343,1318,1800,3618,1562,3857,4545,2175,1550,2198,5091,3014,2194,6013,507,6649,772,8503,5186,3318,8168,3847,8991,1459,2159,6334,4566,1231,1558,7678,4837,4124,8412
3976,787,2332,2885,648,1252,3030,1429,5125,3456,1800,2369,5800,4042,3693,1785,6645,2364,6633,6909,2371,5085,6312,134,3685,3951,8637,2644,1551,1020,32,8885,1021,2356,5635,2217,3670,5569,795,5593,846,4602,8993,1194,2056,5179,3922,7874,2331,3025,5772,2159,3215,3915,21,5979,2172,2917,8489,7441,6379,6201,3116,4596,4589,1972,1637,3257,5146,2981,734,7906,5556,266,6725
6827,3951,3642,1878,1077,3575,1385,8882,7545,3026,1943,8750,1094,7443,6647,2213,4539,2062,5230,219,5228,6334,6633,7751,5087,1093,5989,2549,1787,4413,2644,1770,5238,1499,5598,1613,9007,1271,7184,3184,3282,2488,1609,5569,3279,3964,6206,6475,4177,2192,6018,3283,5194,134,7510,8395,5970,6260,4556,1414,6091,3285,6020,1041,8233,2338,8540,5167,3893,3686,4962,1582,5976,2897,8796
8504,1010,4966,5573,8395,5796,1989,6091,5160,8499,2505,8048,2981,2056,2371,3963,1522,3853,4528,251,1866,5041,4157,6193,2897,5557,1801,1769,5569,2152,1452,8546,2092,1123,1637,4631,6638,2907,4962,2027,26,4155,7469,2911,3991,3920,893,2552,2972,2334,5140,9006,553,8749,3103,2930,2750,7135,2549,2172,1008,4389,8742,776,6668,2441,4773,2127,589,190,1041,4566,1826,6202,3006
219,2035,3185,2371,1620,2172,5901,7608,2338,2971,6147,1769,1118,2897,4225,2657,2408,578,6651,877,3912,3244,134,7466,3951,3406,8418,5250,2576,1202,3213,805,4780,1880,939,8420,5753,6510,2353,2899,534,2214,1259,8977,3462,4134,9059,2151,8796,4230,8630,1878,2907,7139,4216,8204,7400,3985,6941,3967,2575,1873,1409,5754,8961,7193,3029,791,7443,5198,3864,8886,4962,4631,5183
9013,1779,6091,8399,1207,5785,5220,6008,3422,3963,1880,5560,3449,2334,3749,2062,2971,2371,5901,8650,2364,6010,2151,7436,6652,6206,5182,30,2951,2055,3282,4155,2944,5591,4164,1879,5521,3847,4332,5228,3188,5566,5076,5766,871,2882,1612,8496,1022,3268,8220,8432,5603,5795,588,1313,8990,4125,700,4966,5734,3373,2063,4900,2051,1777,5140,1882,4146,6339,2059,5556,4417,4573,5198
3539,6212,2356,7270,2584,3190,2151,2892,1218,6145,1118,3083,4631,3086,3026,7709,3932,1041,3294,2760,2338,1463,2652,1712,6366,5804,8657,5215,1879,6201,3025,3740,8993,9039,793,8992,5685,6092,6633,1028,7194,3897,5736,4150,6279,1300,5569,5985,8941,8779,6807,6342,2182,2152,2634,4119,6091,7497,4514,2159,5197,4164,4303,2878,7556,3838,3819,3701,8757,1093,2359,1640,3084,2197,2334
8399,3594,5569,8433,2755,8657,3842,5764,6070,6206,6725,3029,2957,7252,2973,4385,1571,4081,1812,732,5556,5236,7372,3449,8629,8796,8776,2852,278,5266,2338,1972,6076,4279,4631,1886,4987,1977,2171,4323,4016,4260,5559,1300,4105,3313,4961,3867,301,8021,1594,4413,8940,3538,962,1485,6911,2205,8141,2951,7135,8409,5367,2058,5753,6202,2166,4109,5214,2062,4803,2981,9005,2364,2901
8393,5569,1421,8541,212,5115,1039,6287,1284,3819,2408,2205,2576,5753,4807,2964,9008,6091,2334,4608,8712,1010,2364,842,3030,3414,1977,2574,3943,8883,3960,1993,7186,5804,2063,5228,539,2897,8761,4388,1391,6208,4389,6018,5140,2350,6725,4145,1016,1526,2550,6024,6052,6284,265,3029,1787,3971,4385,1003,7161,591,963,974,6294,6093,2952,2652,2232,1031,2917,4598,1028,507,2056
6725,5177,3151,7200,324,7374,939,1429,1126,721,4077,4725,3699,2062,6939,7276,7714,1245,7482,7184,5712,8418,5559,3447,4631,7898,2192,4413,550,1879,2901,2057,3184,2410,5247,2700,1096,1224,4533,933,6293,5264,5198,3406,1198,4605,281,674,1785,2056,5242,3645,962,4514,3029,1861,1972,5102,2900,3047,3304,1620,5786,7443,2172,3073,1421,292,4087,7323,8048,4388,2971,1878,6368
35,2364,5165,8571,4413,4696,7364,8980,5619,4561,5976,4142,1103,3111,6317,3045,5215,3967,1769,3310,273,3244,1173,7454,8941,5610,8100,1008,6719,2939,1111,5069,574,2375,2990,1084,2056,647,3648,644,8686,8427,1126,1339,5625,575,5569,8517,1876,5221,26,796,1277,700,5822,1989,1102,659,1005,2334,6950,5241,3403,134,4178,4841,4015,4134,6790,1918,6186,5989,7184,7725,6069
507,131,1240,2882,1878,5553,1779,2359,1263,1567,1924,6336,5234,8364,1015,6279,3185,1866,4551,4563,8232,1972,9011,1359,2371,5160,6334,1238,7223,2055,9006,3310,1499,5597,1094,4033,7090,3413,5097,5822,8520,4597,5781,3313,4155,2410,6342,8097,5578,3967,820,2056,3841,6375,3077,2955,5976,2051,1612,3459,3734,7804,4144,1332,6650,5567,2657,1438,1777,2256,2153,8657,233,601,3939
664,8219,1884,3283,6643,2223,2175,3449,4178,2512,7677,134,270,4061,1498,1141,1881,2338,8391,2369,8796,6333,507,5194,1825,4143,1521,8418,5950,3847,2371,3303,6294,1561,7138,3548,1879,3777,6091,1779,258,6784,4962,4169,3019,5804,3184,1358,3878,2275,5802,3717,5229,6206,2208,437,1267,1934,4559,251,4155,1928,4944,2214,2173,2882,5560,7427,3413,8540,3841,5567,26,2159,7678
