1800,5817,3951,654,7443,775,5262,5073,1439,5590,514,567,5565,1801,1886,1787,2056,6016,1232,1688,8762,1223,5895,5210,3607,6091,7709,967,7135,6504,3184,5867,3194,3102,8904,5161,5571,8881,6018,156,5753,1993,4233,2338,4445,3963,2890,3296,1265,893,2018,7819,1215,1285,2177,4529,5207,5126,5378,3645,4413,6725,6047,7867,2587,5228,3017,2051,4631,6706,344,134,1264,5732,3959,2469,1812,8442,1921,4903,3920,7605,5269,271,1957,5782,2108,8494,5198,2644,2062,3602,3025,974
2198,764,7709,3841,1680,6011,1972,5097,6741,6294,1091,5569,1250,5567,5160,224,4350,5728,1812,2159,5595,4062,1252,3315,3959,1877,4574,1218,1198,6594,8819,134,4413,7094,5898,2145,6054,943,4602,3204,2252,4134,5973,791,4545,5142,196,3388,2359,1489,8219,6201,1881,6312,5173,785,5600,2172,6833,5010,7481,2058,5624,6024,1498,4631,542,787,7462,155,2051,8519,2487,3029,4388,8545,5229,5560,2632,4129,4175,1408,2558,583,3863,2024,640,1471,7189,5226,3244,5764,438,5040
1058,606,788,7003,5560,771,1971,1606,8399,1779,3970,8546,1377,6742,8097,1472,3073,7372,5199,1926,2110,7524,6046,4743,5202,8412,3029,3289,195,251,828,3294,8542,7061,4811,2878,4265,8152,8880,2159,3831,1005,6831,6020,5753,3999,2346,3982,729,6686,1825,5183,2049,2411,1574,6505,1530,6186,3123,3478,2186,1042,2755,4159,1873,3761,1393,3023,7711,2151,4213,5973,383,1019,2930,3037,1018,1879,8752,2064,4605,6100,2051,3308,6275,8147,2554,8676,985,3058,7820,6061,5569,8998
4055,3545,2051,2359,3963,2464,5183,4962,5182,7694,2281,2760,1441,669,134,3989,976,1054,2089,7803,382,6898,7086,3967,5202,755,76,8558,3747,5744,7605,1769,1226,507,4027,3905,8546,2941,7556,2274,7902,8128,1363,8657,5795,2939,5785,7434,6826,6944,6819,4155,731,3307,1291,3025,307,2878,6421,3864,6364,871,690,288,5982,6785,5585,6091,5833,6070,5161,5229,3047,5210,3870,4403,7756,3766,219,1389,2171,7439,251,5976,2549,276,28,6018,4832,2334,16,1825,7883,6649
1095,643,8416,3472,7435,8418,3838,1274,3618,2173,6018,4001,1050,1053,659,2147,5736,1411,2051,1976,3406,2359,1603,5123,2159,1991,5734,7324,5877,3926,1769,5817,2939,507,2179,3923,4766,1886,3963,251,274,2151,1051,3678,3901,5363,3180,1730,5558,5730,872,21,2409,1526,3026,3587,6054,5976,7193,2981,4631,5161,2047,2901,6969,4078,4578,4388,1245,3106,2975,3351,1882,3609,2968,1787,8168,3951,2667,7819,5560,795,134,8427,6891,8907,1056,4962,1267,2893,1223,3244,4845,6725
6499,8827,5139,5772,1535,6151,639,8941,850,1991,3838,12,35,3966,7324,4104,6785,225,5578,4006,803,2159,5815,4037,7180,1613,1297,1977,6294,3963,1328,1126,5266,3904,5140,5795,2371,8796,8180,4350,9006,3164,2151,2334,669,7522,4984,6186,1207,1077,4021,2063,5556,1353,8420,3960,3297,2546,4514,8419,4969,3836,3238,5804,101,7263,2901,6046,5309,7753,1932,1769,1196,3025,7369,3406,849,6633,7517,4188,5096,2217,5173,6375,2878,1011,1216,1779,1017,5010,2359,2082,6291,5557
1565,6188,5559,7708,1886,2359,4973,4612,2898,15,8883,1882,3185,8796,4385,7770,1407,6725,2579,1504,6944,3318,8395,2375,3871,1496,3058,6054,5140,3184,2334,893,3912,1208,2364,1880,2930,8546,1446,6977,5732,849,8382,4962,507,7466,1976,8653,6327,1234,1633,1093,1787,7716,220,2063,6641,305,2159,3092,1073,1486,1301,8016,6033,8354,5822,516,4412,957,8520,1424,5390,3836,6001,6091,8657,4961,5055,2981,2047,2182,6145,7310,6492,1509,2252,5712,3247,4060,6192,1783,2051,2179
4809,1500,3575,1938,5239,2899,8836,3866,2890,435,1182,3178,4388,1880,22,5569,2047,2845,8871,2930,1557,1108,3679,1775,3506,780,6231,4821,3863,2151,2371,8203,3485,8462,7454,2755,5895,872,5228,4578,5728,507,1878,5168,2692,5558,8322,8089,588,3184,2332,3094,1225,4310,4026,3732,9008,4858,2062,25,1986,7683,109,1524,6973,5253,5606,2927,8129,6656,8242,6008,4006,3920,3933,3607,4962,1989,2644,134,5390,26,4937,4685,4060,6091,4683,5156,6381,3843,5244,5850,6208,1217
7842,844,414,8637,2364,5253,2214,8395,3838,6640,949,1779,1882,3420,734,4155,3498,2971,649,3863,5876,3941,3601,4156,1427,3037,3720,1493,1946,1878,3878,5976,2375,5174,4547,3616,2951,4550,4239,1825,8576,5590,2356,3320,841,9010,5728,2371,6091,6645,3071,4631,7999,4984,2922,3025,2893,2047,15,1056,5559,134,6022,4385,8941,8399,6356,2217,6499,6943,153,7880,4962,9079,6018,978,1515,589,8432,1530,3424,8762,8683,507,4388,1873,2499,5769,4966,1801,7252,6395,1824,1392
6036,471,2217,1533,2205,4159,668,6725,1719,3485,2062,251,2915,3308,8420,4927,5976,5604,7413,2901,2545,1042,2334,2064,1879,8949,3184,2369,2051,943,4970,7747,952,5381,8485,2570,7222,3963,7061,2534,8541,1219,5556,1206,1450,5174,134,5195,4155,4105,4962,3510,2374,1470,5573,3185,4526,2882,5220,2359,1787,8782,1337,4556,3971,5199,1070,4346,2683,2950,3757,2893,1779,3127,6186,3363,5096,1461,5804,6772,2587,4964,612,5793,7711,3135,2056,864,1851,7324,301,2172,3574,893
