2371,5976,8248,1779,1791,3692,6157,1636,7369,6941,7451,3533,52,6332,2338,3510,134,3010,4951,1787,4631,5560,8881,1688,8987,3867,5173,5174,2172,2947,5185,8773,4388,2205,6651,3083,5195,3114,3025,1873,5166,3029,6503,844,2369,1925,5556,2056,1440,1586,5712,7524,7569,8227,4349,6946,5203,3551,6225,7691,8861,6337,5242,5691,563,1429,1930,5215,3607,7184,4176,2901,6914,4160,4155,648,4964,6725
1459,1968,4859,582,3878,2172,2145,2056,2064,1976,5678,4239,5790,2369,2964,7832,1779,6641,1480,1286,7161,3294,3171,1971,860,1472,8627,6631,5615,2159,7454,8395,8412,3185,5560,3025,5102,5077,3969,4413,4763,1529,8399,3027,7125,1866,2062,3029,7650,6785,1211,1423,284,4563,6649,301,1513,8961,7325,5231,2894,5266,5712,3967,5215,230,3779,8048,2911,7560,1252,251,8485,2536,653,3991,865,2047
1880,2936,8902,3498,251,589,870,4146,3370,7599,3282,9074,859,3923,7480,5745,1826,2971,597,6785,8950,2171,3696,816,877,7193,35,1453,950,5730,8657,4010,1087,277,7215,5766,7499,1977,309,3053,3422,1239,6011,4134,80,2232,6334,1074,4921,8877,1472,3777,563,5241,3229,47,2214,6641,5210,2898,5871,3025,219,7441,5821,2878,2755,4385,1781,7271,601,488,1213,969,3796,8624,2024,968
2408,3860,958,5205,7845,8545,5204,6892,4099,13,4060,3412,266,4964,7516,7556,1886,2051,1567,6034,3094,5586,7767,5210,2644,4305,6347,3101,8292,4343,2369,3847,3355,668,6725,251,1612,1569,1787,3029,3878,2549,5854,817,5770,4124,8546,3014,3221,4006,1880,2476,2950,1326,5190,3963,6091,5755,3729,2062,871,8395,5804,585,5266,3433,4631,5590,5976,8701,6019,382,1952,2550,5566,5247,2338,1031
6347,4134,3025,4567,1836,820,6914,7253,1378,8625,7686,2173,8861,1285,4555,551,1983,832,7714,892,5753,5976,6202,1971,5785,3963,6280,1559,949,1827,6725,507,7820,4587,6272,4270,2056,3354,5229,6645,7863,1822,2578,4571,3202,2214,5174,643,3648,5203,6268,2575,8168,1113,3913,3184,2151,8248,125,4725,4413,1807,296,775,4367,4578,4581,21,7185,2194,2971,580,6846,2677,8445,1924,3674,1787
2172,4346,5049,4797,1109,6597,1001,8395,4158,833,7164,2971,5859,2047,6293,580,8231,323,812,4962,5204,1219,5566,5976,4117,1328,4656,4388,2975,2886,7708,7696,1012,3923,877,6202,6036,219,3397,1879,7184,5238,2371,6181,3910,3847,1448,2901,2878,1622,1884,3025,283,8761,1779,809,3967,5903,6593,4545,280,1785,8432,5558,8479,1588,1453,8051,7483,824,32,7304,5596,8657,7135,8080,3304,1976
2172,2417,2062,1425,3525,2051,4388,6909,9007,6939,8553,6091,4545,6022,4799,2791,4385,975,2844,2280,8412,6197,1878,1419,471,5976,5182,7968,5769,4496,134,7454,388,1064,6188,5816,5712,5253,6383,5250,4055,3892,1873,1924,2338,251,2652,1787,8941,669,1330,2082,2788,858,6510,1812,1517,1880,519,219,2364,6093,6278,2151,1286,2402,1507,8451,6365,6337,5894,1805,7164,6066,4105,5217,2231,3673
6383,771,5976,6334,2530,4019,4984,5065,1989,8545,2346,3406,5822,5198,1235,5126,5245,2907,6725,9008,5352,5734,1851,4609,2217,2334,2901,4970,3920,3310,671,2064,5166,5566,1413,4988,5381,8168,1302,871,2371,3066,5379,3287,2349,4304,2893,6831,4357,4545,4388,5262,3966,1609,6444,4229,1613,5559,3244,809,4631,1543,1326,6024,2193,1196,1886,2027,6543,5156,4789,3757,2701,5211,6206,1299,7370,3478
3882,5560,5378,5569,1574,1779,3778,238,3186,968,1286,2051,4388,2056,7027,5224,2063,3552,3511,5804,2359,2924,2369,2234,6775,940,3307,5520,6657,1522,5166,3185,5861,2878,2159,5753,5728,979,5236,3950,6525,1886,2205,5573,1879,3146,7664,2057,5097,554,521,2356,2981,6827,733,4317,5748,3863,6165,3981,3406,5754,1182,6304,2893,3247,5105,2334,579,5556,8395,4001,2755,2547,8098,5822,871,1769
228,3510,32,3220,1226,8546,3999,8545,4984,479,5569,7323,212,5236,2062,3777,963,823,3318,1826,8473,1976,4799,4155,1880,134,7902,3500,3981,8739,4249,3876,1878,4150,3081,3712,4413,5266,7164,6633,2893,1218,5743,6201,5096,1305,3853,6139,3963,3863,7252,4053,5031,7714,600,1499,4519,4060,247,3760,642,786,3924,17,7135,5378,2579,5131,5097,2541,8513,1977,2469,1856,2975,7248,581,5478
