5556,8952,1254,1694,3107,4535,251,1909,6022,3631,3595,5127,5239
979,9021,3294,3282,998,3920,18,2172,4613,5830,3029,7678,8998
832,1404,1384,5960,2177,1177,5753,2334,1989,5763,1457,3025,1042
2364,7096,1360,2425,2334,5560,996,3062,705,7664,918,1880,8229
6647,2063,4284,7468,2172,2159,4385,3014,3470,3828,2369,5556,6648
664,1517,4528,3929,5435,1812,3799,51,2371,5622,4631,4060,2173
7415,1158,3184,1000,3878,8635,7709,8395,1042,8886,1918,7323,6944
6909,3619,8420,8317,2063,1237,134,7290,1977,639,3114,2151,5160
728,7090,2971,5559,7745,3308,1880,3018,7714,5598,7446,3981,935
1883,6094,2193,1873,2252,5177,3029,605,3871,2890,6608,1049,7459
5757,4962,8409,3050,7061,1361,1039,6061,3628,5204,3310,1721,176
2063,8540,539,4834,6079,2159,4413,4143,1499,2579,5556,3712,5173
6018,7164,7720,7188,7197,1880,3206,2364,563,2421,2981,4984,4385
1264,4962,2469,8048,3029,4577,1925,2957,2346,6186,3967,5573,4169
3655,3999,2936,4236,2454,251,3029,8567,1972,1192,8447,1787,614
4262,6650,507,5386,5060,2604,706,5211,301,7480,2370,610,2359
874,1528,2239,6687,2890,5786,8619,7419,6660,3618,3302,3604,7978
2899,3863,5567,1862,2821,8393,5566,6339,2950,2833,2658,1044,3208
1977,5734,3963,5859,1969,3971,5139,3890,792,3838,7556,3014,3318
1925,1059,8230,3951,3447,6651,3029,3954,1033,4306,605,6342,3308
2173,1337,1777,3433,3757,4385,2062,1517,8796,5739,5569,2145,3075
1516,292,8399,4638,2993,4159,6014,1458,6026,5221,2477,5804,1559
6527,437,5560,1777,2047,1425,8085,3692,6725,1380,6909,4545,5712
1993,1561,5316,3025,7478,4296,2576,5174,4605,7040,7851,7436,1308
2364,5229,8408,5734,2016,8626,3406,1779,2175,1517,3392,4134,8158
1425,5567,3750,4385,6091,2159,251,1968,8761,3050,6061,5887,1018
8547,1880,8323,6230,4964,6755,1398,27,644,7711,6070,845,1879
299,2965,212,7138,3838,3475,2899,3040,3892,2082,6144,1477,2894
6511,5042,1504,6008,1276,4318,4528,3077,6193,5804,306,4663,7443
4850,2694,5317,3952,4055,3185,3459,8128,5556,4560,5705,5728,8796
5861,4929,1400,8868,1478,1779,2051,3025,8737,2359,7342,3029,1930
6785,2898,1108,3963,6188,2062,2950,3905,5202,8544,6070,264,3333
5610,5250,6725,7332,8796,5242,5266,1877,7720,2505,1058,2375,7711
4962,1208,6650,635,6979,1263,3113,4109,7341,1769,2405,5728,4172
7324,6008,1809,1028,765,3709,7899,834,5597,2164,3268,2027,4053
1993,1879,2958,2930,2981,3308,5728,3749,5559,6064,5769,3954,1921
7711,2338,4939,7466,4154,3313,871,1157,1769,6647,1246,2576,2750
7178,2047,3086,3991,1866,5804,2159,2026,2798,6201,4134,2338,794
668,4388,2338,314,1862,1506,7820,1051,8514,8383,3010,3890,805
1095,6869,5597,5097,6606,3070,6974,6752,3863,3938,6280,8880,7289
771,6326,4520,829,8475,4099,8476,7720,9081,1516,2359,388,7517
507,1134,6091,7502,2056,596,6046,526,449,6850,1972,915,233
2901,3445,2185,5573,3959,5976,909,4962,792,3968,1286,5799,2218
2338,7820,8395,2159,2051,1207,8000,6061,3940,5753,134,5898,6785
2369,3677,4257,6091,1218,5795,7436,2062,1024,4631,7438,4152,7898
293,6034,245,2159,7195,3971,5489,266,1787,3308,1977,3413,5402
3836,3951,1769,7332,6429,2062,2047,2913,6785,712,5168,8459,4042
