5242,2012,2891,4984,3310,4962,4631,8657,3025,504,1880,5206,979,6135,7956,2957,1182,5815,6334,1525,5162,607,4077,8877,635,6329,8796,2048,5556,2369
6280,3963,507,5556,5900,1645,8002,2151,1824,2063,1926,5066,3864,6058,3451,4303,2364,4878,7323,45,5069,1932,7264,134,3955,8129,4539,8508,1877,5567
2059,3981,1565,8232,2901,8168,7861,3214,6481,6018,7282,305,8504,507,134,5556,2338,2644,2371,6164,5205,5237,4394,1390,844,2755,2528,3878,5976,8447
6057,2517,5223,6334,3940,927,6336,3963,1877,5976,940,3593,5804,30,9009,550,3983,5604,5560,6797,251,1141,6339,4547,1787,3010,803,7164,6024,1323
7751,7328,4413,258,71,8395,6018,7366,5560,2047,2159,974,5597,1507,3422,979,8634,2151,3208,6395,4821,3025,5266,707,5982,2604,7660,2644,3095,640
3883,1883,5069,1417,1935,7454,1084,8657,4962,2916,7169,585,2474,2359,2338,5618,7179,6337,3231,4578,5605,8769,1972,5241,5769,7714,1020,5573,5247,4160
364,6024,612,6043,7129,4965,1097,4167,8388,1095,1866,134,1769,2342,5734,6074,4631,4134,710,5247,4153,8560,937,1369,1977,507,6650,1167,5976,776
4388,4679,1920,3111,3941,2047,8574,1209,5976,3204,4985,8913,4033,8432,951,1930,7711,3944,3694,8634,8735,4177,6755,3037,3749,5556,5560,5204,4526,3517
4962,18,787,3885,1506,868,1126,7156,6660,3762,3887,1779,3878,7679,5976,2691,3756,8395,3838,1299,251,6367,8020,1787,3746,4544,3731,6833,1408,4631
5130,4962,8418,3214,3668,3028,2375,3863,3749,3595,3184,2922,7450,7161,3722,3907,5973,4545,1565,5745,1064,1084,5224,6946,5207,4105,4717,3031,4160,5174
6339,1574,6091,636,4255,337,274,8395,5177,794,3674,2127,5042,1058,3243,5266,8001,3013,1787,1015,1769,870,6819,4631,4153,7369,6338,2961,6649,266
5559,1731,3448,8475,1525,1567,8829,1423,4830,3539,9015,6361,8540,3029,2217,5573,1866,1873,5902,506,781,2981,644,126,1112,7750,4388,2159,3184,7384
5813,5283,1777,2369,1149,6069,3975,3221,3828,585,6353,5980,1801,8736,2293,7114,5560,4367,6349,8548,7873,851,4413,1708,7168,2890,5712,5753,8185,2151
4001,5754,134,2205,6070,2973,588,6043,1561,4631,2541,6833,8624,6294,3838,7877,8941,1972,5868,2897,809,3364,1041,3884,3232,7454,1499,2371,6001,6725
5210,975,1299,2063,6184,826,2047,2890,5556,7527,3313,6015,3026,1058,1401,4058,1078,3493,5795,6662,2974,8542,5560,2359,2576,3963,8657,5905,4060,6091
7907,3217,5176,5206,223,3847,1554,1880,59,3381,5253,6836,6918,8657,1453,1976,583,3184,6091,155,5698,5867,2338,2159,4985,2175,2151,3669,5238,6002
2177,3470,3433,5573,6280,4940,6934,7819,4001,1184,1878,5734,3536,5127,1525,4535,6354,2371,2369,1977,507,1957,6050,2359,2197,5233,4564,8796,693,1825
8750,4518,4542,867,5976,1462,4001,3998,6747,5372,2897,2159,2205,3433,2587,1873,6321,6031,3856,3406,5233,5973,6457,2750,5178,7333,8418,1862,4962,1787
5556,1623,7842,2056,4105,1010,946,7481,6081,1077,7790,591,3029,3838,6725,5976,1324,5567,1123,2644,7078,654,864,6359,6020,1535,1769,3364,5705,5862
5190,4152,3294,251,8491,4413,3026,2334,2988,4117,1867,3310,1467,3029,2525,1989,2153,2172,5598,6503,8796,3027,6169,7429,7363,4076,507,5214,3607,921
