1528,1041,1321,5213,1877,2051,8395,3966,1222,4566,596,3473,7132,2063,8092,3879,3308,4452,1276,2035,2212,1579,4006,7678,5215,6831,5842,787,7262,1824,7517,2173,7819
2369,5177,7755,5560,2346,3413,1063,2173,2741,5178,1098,214,8886,8796,2180,4545,1212,4051,1727,1087,2371,5160,4710,7842,7666,5976,4155,2484,1878,5194,3184,6633,1785
4561,474,4228,5619,2552,2047,4166,8432,2061,2252,1989,3640,8630,6725,2536,6096,7868,6088,575,8881,4155,1787,1550,5822,2755,6091,6494,8408,2652,5556,8625,2205,7733
6018,863,4392,5234,5800,7184,1769,5585,2338,5567,5566,5162,2841,1910,3847,5235,977,2307,42,5102,2979,5976,1041,5615,1566,134,5572,8546,3014,1924,7478,839,1285
7881,2016,2172,7820,4109,3491,1632,5559,6310,5273,7125,4385,3029,3583,8541,8176,1779,2051,1822,8657,4150,9042,8097,4105,6725,4528,2063,7184,600,5976,4631,3838,1935
4882,2334,36,2364,6213,1686,3449,1516,9058,7321,3062,3999,3892,4314,3025,4159,7678,578,1218,2063,7153,6334,1101,6366,4835,7714,1184,3394,2890,3595,6922,8476,8637
8357,6191,2924,2901,6140,5168,4542,3945,6076,7678,7443,1058,6008,6070,3315,2537,251,5963,5559,5119,4146,3258,2890,8943,1830,1112,3966,8477,6144,1886,507,5557,6145
4962,322,3298,3566,134,3659,3594,2172,3847,645,5211,823,266,5228,927,3289,3050,1564,5559,4555,6370,5183,9007,5752,5236,2546,6630,6652,1882,2425,1977,7281,2901
13,668,677,4631,5245,2755,6293,4228,3898,8145,5073,3052,1432,5890,294,1216,37,7697,1284,6409,5247,2364,2547,6365,4965,4240,6091,5559,6785,1442,4385,5973,5183
3184,2886,6645,4413,8418,9008,2166,3712,1030,8541,1873,871,2159,4388,2205,7036,1212,8461,2656,4333,8399,6716,1860,1287,5556,2062,5567,4828,7325,4294,5236,219,6291
251,2438,6210,1787,3300,5556,3184,702,4413,2063,5976,226,3444,4974,2539,5560,3283,1587,6366,1880,7439,1524,2543,2142,3951,7400,2901,831,7480,5559,2761,8418,7144
2644,940,616,1621,4025,1588,4119,7616,8763,5822,758,1522,100,6801,4536,1989,5114,1880,4962,4022,6185,6641,1418,4389,3026,1777,3697,4519,5174,1607,5569,2425,3027
1408,1442,1045,7771,1567,5559,5210,1991,933,4413,2981,5585,2340,8397,1028,1880,1527,2371,4535,1921,3420,2939,4631,5766,1951,2550,6725,2949,5126,5266,3184,3094,4520
4134,1883,5206,2334,6022,2514,5729,8657,8106,3965,5166,4726,2200,3308,4324,2371,4294,5569,5556,3159,1378,3894,5161,3268,1499,3041,5228,4550,1812,5976,8402,2062,2063
222,7193,3930,8766,4551,2056,2973,8134,3882,9007,8542,3014,5204,2869,6303,2758,2047,5987,2897,5228,1393,4556,4605,5182,8546,3967,2755,1971,1926,2678,5973,1886,3865
1061,3878,4537,2936,3847,1468,6501,5090,7611,5161,1586,589,7991,5804,3732,3075,3688,134,5566,1995,3449,1383,2371,2151,734,5558,5195,6660,4792,1218,4272,2062,2338
8505,1787,4159,3806,8766,2750,2886,2376,4165,1801,2338,1093,8955,2172,1769,1743,8230,2755,2951,3999,923,4388,4172,1983,4324,1020,4749,7164,2688,251,5567,2047,828
1567,8542,8688,1171,1086,1406,1972,2933,2886,996,2062,1396,231,2217,4999,5100,2972,7844,2175,8395,2882,1822,4962,4147,5109,2576,589,8097,5558,1010,6725,507,4566
3029,3532,2755,3959,828,2899,2576,5559,8991,870,1880,7201,2229,1363,3878,7720,6517,3409,3589,929,838,6338,2359,3477,4388,5069,5163,7897,2868,6660,1126,1769,6813
3591,2159,3654,8796,7694,6095,5205,8146,1787,5194,6946,7438,5023,4962,6166,617,4978,4539,3283,2371,2062,4394,2359,8546,1226,8881,5871,8412,6030,1126,2334,221,3315
809,2172,2576,4042,1930,8796,2748,2051,1779,7600,2151,6827,178,4388,338,7897,501,4962,3712,3826,969,5230,3945,8881,3734,6173,2941,212,2173,923,3841,3893,5069
2172,4962,710,2122,3227,4631,5804,3876,9009,5248,5822,6705,7487,1490,6159,1976,4276,956,4230,8736,3029,2536,6651,3693,2575,3430,2755,877,7854,5599,7393,2214,771
8877,2981,5734,2969,6529,2504,8395,2364,8460,2899,8420,3583,7368,5097,5246,1289,4559,8629,1284,860,5177,931,8494,4413,1864,5117,4105,1305,294,2930,5560,1369,8447
3175,4006,7038,5365,5728,1787,1407,7247,7342,267,1569,5899,224,6921,4060,1157,2371,3487,6657,2159,2899,5556,1977,4155,2973,2051,2363,4413,4899,8189,832,2369,3838
3867,1972,671,1506,1226,833,6650,4590,3283,844,2369,5973,1438,2971,953,3319,1398,3605,3835,1866,3310,7927,2671,3810,776,6202,1400,5174,4248,1956,1886,1240,251
