5770,5944,2334,6052,2708,6018,2819,7947,3406,2576,5220,186,2686,1286,1580,55,2062,4134,1880,8219,1515,1878,9087,845,2930,4596,2545,1769,7889,6347,1264,2172,2460,4388,1989,2338,2147,3847,2409,6059,3795,4976,3841,4962
5712,507,6070,2660,5595,6018,3650,6345,773,6833,8413,5722,6008,2408,1226,3940,5160,6142,2063,570,6485,8885,578,3308,7394,1620,5192,1807,8420,1171,7454,8408,5235,872,337,831,5745,5266,5732,1591,4051,2047,2159,3981
7692,1049,7711,3918,1991,2862,3594,4983,5028,1093,644,4413,7135,8395,5243,3083,2371,7750,507,377,7184,1587,3456,6909,1862,5083,575,2159,5242,283,3893,2211,1886,5040,6018,6985,4631,7324,596,5048,2172,1778,6362,2504
3114,7185,4613,3878,3655,5166,5573,1788,6334,3863,2338,832,8998,2047,2051,5231,954,392,996,5728,8941,5160,612,5774,5194,6312,1769,2078,1787,3886,2017,8545,6652,1801,2462,3433,4631,5209,5560,5821,3308,4693,5130,5871
3018,7268,4155,5244,4035,3010,5566,710,1478,2167,1213,7610,5224,2159,1358,7454,7184,474,5815,216,3597,5229,3050,1968,5141,1263,5785,7769,4413,5763,4273,1932,7443,6024,8419,3185,711,869,2205,5204,3482,7577,5973,5567
1220,6096,2256,6649,3863,2064,5087,4026,2936,7585,7164,3965,156,2058,7479,37,507,1042,1488,1886,5073,786,1330,5712,139,6499,3654,5976,1166,5823,1777,7556,1517,8502,5236,861,1474,1295,4177,3184,4552,3618,6334,5126
134,4090,4584,3029,1866,7435,6656,5712,4549,2369,8002,1878,4163,7958,9008,5976,1636,4578,1769,3702,2894,8557,6163,4631,2755,4178,3841,1066,787,6044,8544,7290,1921,4308,4412,1285,5202,5199,4962,1976,1958,8033,6001,2502
3838,7868,2056,4284,1041,4239,2051,2205,3644,6657,2334,5734,4966,4289,1504,2478,134,4154,5770,2173,1251,3967,8567,7577,5183,2375,1256,3433,1878,1161,4568,794,3958,1560,1886,3519,5266,3261,5586,1777,7711,7482,2338,3029
5559,4631,3247,3007,8000,1886,6334,588,5384,4413,915,6091,5804,2369,2981,5754,867,5739,1944,1407,6159,3841,8941,4297,2025,4962,4060,1173,3184,1003,3021,2172,22,4081,3867,2548,6859,6683,7184,382,6785,2965,7164,1985
2893,5215,2878,3960,4053,2062,4213,7142,972,2548,6268,5977,1989,5204,7556,5073,2171,3967,1972,8412,3998,251,1882,3025,6512,5566,28,2151,8818,7496,6640,1769,7711,2173,2051,7185,2889,4388,3987,1678,5623,1103,4001,2981
13,1157,7480,4545,2922,5156,5753,2172,7185,7717,32,5804,2463,1446,275,5728,8750,5569,828,5160,3798,3412,3117,291,4365,1977,9006,7711,5177,3081,5565,7186,7146,134,7637,7714,2403,6648,3777,5559,3315,953,3762,4514
5753,3923,4169,1886,8487,2558,7325,2214,8091,5190,2371,842,1877,261,1883,3184,1787,826,5215,507,310,5166,1370,2482,1367,3940,3613,3638,8395,5712,3816,1460,2641,5221,3814,1781,7369,8546,6018,1249,5585,3779,5223,1256
3838,5243,3029,5568,4385,3470,1878,551,9087,5573,2901,7454,1173,7166,2056,3685,2583,3543,7145,4545,2836,5560,6342,2062,586,3940,772,4962,7008,7437,1703,3308,3878,4158,507,3294,1866,1033,7608,7821,4631,2576,1094,4612
5966,5171,2892,1878,2249,4966,6499,4634,622,3967,4001,5162,2169,3279,18,7438,5266,2525,3123,5569,6642,2063,7400,2974,3456,3191,8756,4134,1879,7186,6282,2364,5604,5174,4807,1264,7129,5560,3651,7416,7324,4847,7679,4531
5220,5802,6848,8796,4010,3967,3753,5166,3673,9051,4962,8877,3517,7114,6293,6540,1564,2878,1237,3026,6475,5091,6019,3268,5982,1367,1104,6052,1225,507,134,7186,2356,2198,3246,2173,9048,2334,8,2346,2302,1173,1897,2024
1133,5795,2576,4962,6649,15,1769,5991,5096,2051,954,6145,7697,6034,1878,4265,2534,733,1560,1978,3963,1003,1883,5266,8991,864,2181,5119,831,8749,1126,3942,2575,4631,8395,7419,3029,1779,1787,5073,2018,4150,6988,6198
4631,4673,1574,6091,2340,251,3210,2173,2051,7454,2159,3705,2155,1949,6641,1006,1098,3747,5804,4013,984,5380,8540,3022,3945,3121,5566,5346,6018,4309,3967,3654,6292,2943,6339,8127,5160,6024,8503,8637,1126,4976,3462,3673
5188,6722,5920,6313,5559,4444,828,3068,1881,7302,26,1080,7435,8991,3259,2032,7288,2644,3648,1801,2576,1093,5166,333,6643,2047,6940,5785,6494,4631,1224,6833,5804,5266,8766,1644,853,1016,616,944,5976,3999,5822,668
6043,41,871,3724,8637,5230,1237,5743,5116,1417,1157,5210,2051,1930,3664,5976,7116,8639,4962,1606,134,6054,2056,6018,1126,2972,3841,2984,6846,4230,5753,547,922,1779,2334,3954,1517,6757,3406,1540,2965,2371,251,867
2901,8757,1779,8476,5586,5239,3025,7466,7888,6018,4982,2276,1015,6170,5206,3313,1787,8234,5559,5166,7711,563,5073,1977,6643,8961,739,8420,8941,1480,2159,5688,7188,8418,6725,8877,4144,1882,1983,8993,4536,127,3985,262
5560,8906,2944,6909,4631,2575,2885,5598,3102,1567,2310,3296,268,8756,5804,5250,3787,3998,8487,2056,2173,2062,507,5712,4153,6206,4556,29,2369,4161,6503,4177,2922,6201,4039,4781,1787,3926,55,2359,3658,305,4388,6650
1495,4314,1873,2889,4354,8637,4947,3198,5242,3971,132,2198,7372,6182,828,2981,4799,1391,1877,3184,1001,6942,3315,2878,1285,6503,5190,616,8542,2548,643,2346,134,4006,7520,8759,2334,26,1976,591,3998,5976,5173,5113
