2205,3519,2685,3863,2361,2177,603,773,674,134,3878,3313,4882,1786,6334,1517,6909,3275,5390,617,1880,1890,1390,43,970,2217,3161,5156,2198,602,637,1472,5586,5973,1779,7976,14,1252,5187,4413,7585,700,7022,8737,594,3777,6202,4919,7671,784,7750
1991,1063,5220,4134,7372,2173,6605,4389,2941,3878,4555,6818,2228,6333,1341,3184,8631,1879,1515,5137,306,2216,1989,3651,2172,6383,2338,3208,1769,7556,1779,5242,2159,4561,2686,2465,1475,930,611,2375,5069,2205,5785,924,1977,1880,1800,4248,1417,797,4331
3169,5073,1932,6008,1976,4642,4617,3607,2547,1972,507,4053,861,5766,1904,3294,1171,4029,7443,6785,7369,251,7429,8395,6372,2371,1769,1866,2901,3749,8393,6020,3887,8432,7481,4105,5762,5569,2479,8541,2056,4177,2173,2364,2878,3793,5785,6651,5557,6334,6909
2026,8917,2939,1797,3991,2156,3455,7061,1020,4388,2971,934,8541,5189,5092,8398,8255,8191,134,3766,5266,919,5177,9021,4355,4962,6018,6061,3050,270,6345,4575,1788,5166,2052,6294,1034,936,5127,223,3832,2878,987,5559,8189,3025,5734,280,5810,5804,6118
3878,3029,2537,839,2181,5569,4631,1879,5728,3279,3130,2484,2755,5712,7464,8395,5772,1721,4537,2056,4413,3824,1609,8182,5918,4306,1108,1042,2901,1769,915,794,4388,3847,1573,2480,4973,8219,3244,3485,4172,1009,2340,1364,1179,780,1523,5104,2408,1613,4962
1517,6725,6652,3018,2138,7889,7466,1567,1299,4389,1470,1153,983,5557,4008,4155,5113,5242,1246,26,5976,8395,6291,1800,8099,2890,1777,6018,2523,5625,6952,1877,5386,7347,661,3025,3024,5753,2051,5195,2548,2205,7372,5128,6279,2015,4631,828,7033,5234,6144
5204,522,1037,2576,1499,2106,5558,8471,2919,637,3030,7340,1478,134,3065,2172,5712,4545,7491,1039,2528,2648,6061,8921,3308,7709,960,3406,881,1882,1330,5267,4304,2901,3968,3420,5092,8588,5553,1064,1779,1524,6424,2263,206,1326,3699,8229,5604,7786,3123
5161,3615,5818,939,644,829,2077,3025,2063,6046,669,5383,1102,81,5267,1507,2172,837,5370,2576,6008,7167,3712,2205,8151,1051,5848,5977,7897,4006,5872,5560,7200,3876,1604,3030,6083,6282,5976,8759,6928,8462,4134,1252,3749,8091,8202,764,2059,3930,5559
8796,2175,4255,3982,3597,7165,2755,2958,2893,220,3525,4962,839,8885,812,5691,3963,134,6361,7706,6091,2172,828,1343,2049,5791,3447,5568,2334,1812,5018,8395,8627,2899,1877,1421,1866,4385,3953,5156,8424,2214,1879,3749,3313,3918,2338,864,2063,1779,6334
1232,7162,2688,8796,3025,4124,7875,7034,1235,2051,8081,2056,3594,1326,2922,3220,8447,1612,6283,5160,1501,5559,2047,3771,134,7375,251,6949,2062,6360,6146,1498,3026,5228,3845,1588,1559,258,1308,2334,2900,3406,8663,3890,1174,4388,3276,7289,32,820,1165
