1882,565,1610,471,4413,4583,7889,1912,617,6335,5063,575,4053,5976,2371,8417,6343,6848,4006,4562,3863,134,7258,6834,2159,3184,2919,1210,7389,2885,532,3495,1989,602,1118,1308,5973,7289,2576,3062,3283,7662,4084,8318,8885,851,8432,1419,1459,1380,3912,5559,2369,4027,6321,3519,6361,1620,5975,1794,1386,6725,3872,3838,2214,4978
7049,5215,574,8638,3991,8395,834,8885,5573,1090,5229,7890,20,7466,8233,6833,2981,6091,6343,134,2546,3221,1657,3863,5194,266,2683,4058,6843,954,5210,5156,3564,3029,2965,5556,5973,8168,7323,3789,7080,2552,3409,2214,2172,1787,6164,3878,3413,1976,1624,6934,8526,8141,1405,5246,1211,5862,832,1747,3847,8420,2062,507,5728,2882
1787,73,2205,2364,6633,6309,6091,6345,1061,1992,4536,3912,2369,7114,2151,2460,6980,1504,8761,6294,2061,4545,3289,6474,1886,8796,2965,5220,1976,1308,5556,3934,896,7193,2540,2885,1972,826,6725,5166,3245,5820,3627,5559,6934,1098,1274,2047,6801,7842,994,2534,971,1091,2750,919,5753,3836,3467,3029,2923,3738,4354,5156,8565,583
2409,2571,1785,5566,2371,3050,5234,1514,5186,169,3416,2341,3840,2202,5734,6197,5976,2047,8493,8158,3052,5898,1878,3010,4962,5049,7942,22,1076,3449,7443,1385,1924,1787,1824,4171,1816,6343,2843,7742,6193,6202,2056,8418,1971,7253,1294,3619,4631,2359,1921,3054,8881,2151,8682,7556,827,2338,973,839,7239,5173,2267,6022,1234,5559
4948,1582,5140,6043,3193,4631,2016,5579,3504,8796,1068,307,2334,8762,5172,2173,968,5556,3896,251,2063,8520,1208,2346,5568,1293,2170,299,4521,1489,3959,1976,1245,2965,2056,2936,3225,6649,4605,7438,7300,3863,4555,3496,2644,507,6216,5898,3364,1879,6978,3029,8168,2371,1977,9080,227,2338,3897,4001,2047,8749,7429,5566,8941,5073
2153,1878,5764,6664,284,4167,8880,2172,7325,2011,8168,5096,1787,2263,3014,5795,5595,4964,8985,1880,3362,4134,5559,134,3601,2364,3755,1300,5830,5832,1824,1825,5976,3247,2750,4110,2051,1804,3865,5794,4119,5182,5946,3029,3294,578,2336,4608,4962,3989,7556,6039,2889,6221,277,4155,1024,5769,5747,847,1101,864,4301,5239,6142,2338
1208,2369,6920,8581,6018,5921,3923,7274,1418,2364,7484,4001,1222,1879,4281,5228,2047,2371,1097,5976,2051,3184,636,6091,8546,5097,5227,6757,5982,2059,1822,3164,2338,2501,3315,1769,823,6647,4172,3557,3681,35,8940,1645,7819,2056,2198,2547,2488,8943,5769,1544,8757,309,1078,1699,1243,5214,2159,8399,2340,6043,2177,1458,7767,3749
3963,6725,5166,1779,1126,1944,4965,5215,5736,3294,8395,6046,1366,5794,4385,8504,2425,7697,798,1149,6682,7464,7454,507,8682,5976,3054,1244,1195,1972,1430,6891,8243,5573,6057,8993,6034,4051,4537,1977,3355,7898,7154,2051,8546,7162,3053,7842,6335,5127,641,5238,5712,8735,2410,6280,2359,5319,5804,563,1250,1934,5173,7131,2878,3863
2159,1522,2062,2364,5266,6343,6334,3964,2205,5891,2013,6275,8224,4155,4160,3025,4396,7270,8654,1886,1457,2334,7482,1359,4177,5573,933,2886,6141,8048,5179,6018,6202,5822,5955,167,5221,1769,5220,2047,6361,1042,5990,1977,4051,2629,5102,1507,4413,226,8487,6643,3310,4352,3370,2173,5483,3052,5560,1419,1636,2961,5193,2892,3257,5982
2546,2173,7425,3112,1880,5243,2897,5973,6202,6943,3029,3945,3025,1186,2410,7956,1256,3542,3878,6725,3838,2151,578,4413,3738,13,588,2574,2901,1742,1316,2159,6924,3716,2894,7480,5976,8678,6018,2298,2334,3437,7464,1281,7236,4902,1367,1479,639,1498,7900,5924,1977,6091,8877,7547,5876,6833,6054,1807,9061,7708,9059,5221,2051,1516
6092,6200,2901,2051,2188,6339,3791,3201,6091,359,3151,4631,971,4965,4007,3267,2371,8542,5431,4037,15,3989,1291,563,5390,3185,5976,4342,3594,1787,2205,1080,2153,7443,1600,318,7462,2058,2192,2346,5569,3922,1524,1558,251,5560,6961,5132,7192,1260,805,1459,974,6335,7263,6939,1569,2576,2048,3129,6684,8777,4172,8748,1108,5113
6202,5622,1496,9011,2981,1451,3026,6652,4516,2056,5982,1878,853,1936,2369,8189,5215,5569,8504,1108,4526,6112,4134,1567,2179,4388,5073,3865,6944,5247,8994,6024,5585,5848,8544,5067,5178,5580,1825,1930,1242,5787,3485,5114,8625,862,15,5730,5559,2371,3221,5266,8316,3285,1403,2971,2578,4981,5598,1779,7164,251,3184,5712,2217,3963
7188,6651,1126,2205,8759,2369,2878,1478,5766,5204,5198,3966,2621,8242,1812,6939,2936,5734,8966,3879,2981,3838,5785,1407,9015,5194,2529,3203,858,2221,5712,1801,2890,3970,251,1053,1403,7290,6206,864,7318,1692,2939,5085,1287,4385,6145,7895,6640,733,6018,8214,4388,2996,5567,549,4077,5556,7310,7480,7520,3959,3963,6262,9042,6031
7916,7164,5569,1567,1880,5067,3884,1472,1828,1491,1305,288,5745,1101,8201,3453,8766,2172,8892,1525,2062,9012,5753,7443,8485,293,6077,3246,4969,2208,4612,1822,2151,5174,6333,7150,8493,7697,8447,6281,1900,3866,8624,6202,7610,1977,783,5228,1612,1027,3672,2644,2574,1477,7570,7136,5185,4834,5556,6044,1963,5730,4001,762,5735,3843
3932,5569,5897,5204,3955,4528,3540,6071,2056,3766,6312,5560,3966,1866,5190,7751,2172,2574,5206,7556,2151,3221,2408,5220,5887,1499,8106,1617,4605,6773,5973,3815,1279,5433,5096,9000,5890,4962,779,2057,5178,2939,3864,2576,8796,5844,3050,2771,2062,2205,3960,5173,1989,4631,8408,2145,4526,6087,1527,4868,921,1480,507,5069,15,6018
8542,5204,1075,3029,2410,251,2901,9064,5073,2173,4826,3954,5198,507,8001,7267,2061,2531,2369,5102,390,4579,3981,4573,2246,3185,8880,1883,3056,134,3452,3969,5162,4385,618,3644,2062,2159,1504,5390,7512,1623,5804,4413,5175,8623,4006,2151,3444,1126,8853,5560,5569,3687,1514,3025,6191,3315,4176,4412,5140,8626,7608,5556,1976,5573
