4335,8881,2062,1879,1096,5976,2576,6649,2364,8432,3757,3538,3932,3022,949,4389,3697,1866,3475,3308,5567,2159,1218,5973,2882,785,4336,42,1624,4962,2063,1535,1565,9013,3231,8168,2889,3867,6018,5569,6483,2558,1559,3958,7454,5559,2051,5142,659,5247,5749,892,8745,4752,4884,1812,1880,8476,251,8882,3013,971,1971,4324,2795,1245,4631,2957,1580,5712,3155,1036,1031,6043,6016,7837,1126,2408,6725,1450,3552,1108,6193,1517,8765,6914,3409,6008,5162,7438,8391,5556,7164
222,7666,2171,7184,2205,2359,2081,3279,6842,2172,5786,4631,3866,4297,1077,2153,1876,6639,2549,3878,2047,4008,3244,5769,2159,24,6093,2579,2894,6527,8349,1775,2878,2922,2957,1883,3185,7697,5096,4278,1039,4105,5556,1769,2214,7746,2274,2145,584,2991,8633,4962,5067,1415,1787,5236,525,5860,8233,3522,2123,5560,1357,3886,6066,3926,859,1921,5568,1692,3724,7274,1779,5961,7517,1878,869,3433,1167,7443,1976,6347,3980,5081,1977,6649,2082,6031,1880,6358,4536,385,6495
5166,5067,2993,1303,6914,7600,1528,7577,3403,8744,134,6725,1800,5194,1976,8245,6026,5167,2338,40,3026,5804,3308,7750,5087,2359,1093,1446,1880,2271,3583,7997,7454,2878,7297,2497,7631,136,5976,4823,6782,2539,4520,3752,2172,7705,580,5096,4914,6334,3490,5232,8425,812,4148,3749,805,4388,4413,6199,8001,1866,2901,8470,5736,2950,3310,220,1779,2062,6641,3863,7686,871,3525,2364,7650,4334,3247,1196,4817,2576,358,1201,3027,2047,1308,5556,5184,2334,8796,1909,2145
965,6128,1455,6725,5730,5215,7443,2343,971,5042,5889,3863,2334,1407,7581,9050,6499,3878,8796,1609,5559,1787,251,7026,2371,2047,8387,8418,6058,1812,4623,1326,5944,8089,2173,5876,286,1886,1983,2346,5174,2936,1982,8219,2159,1742,1866,1769,8393,5073,6510,5096,4235,6485,2986,5340,4962,3807,1873,8750,6785,8432,996,6069,1357,3406,3205,5976,7391,7092,5046,3185,2681,3649,7369,3282,8880,3845,2574,3873,8011,8493,2214,6909,6796,4178,1977,1828,2939,3025,2578,4961,3958
952,5245,6483,2056,2576,3498,2901,5125,3074,8419,4975,6135,3693,8168,1947,6279,1111,6938,5569,3025,2961,2947,1739,2937,5262,4574,5610,1086,2062,4153,4151,4385,5242,510,2217,6660,2338,3594,7061,4294,8496,1622,5194,5227,8400,1508,1787,8492,1574,5166,476,1825,4392,1469,2882,5712,6725,3922,2171,5804,5604,5305,3941,3817,5559,7771,6656,4084,5109,1391,1045,7888,6640,3244,22,1001,3745,3335,2047,3856,8762,4060,2410,8393,3568,3285,5177,5976,830,2919,5204,4631,1524
3647,4257,9,7949,8432,8653,4077,5559,3912,3522,4679,1166,1910,6091,5977,8544,2047,5926,6061,4331,2172,6206,5753,1254,2443,6284,388,644,5242,266,7129,6725,3184,1879,7372,837,8868,1058,1976,4524,8241,1880,5795,3618,1303,5557,6373,2408,809,1787,2061,2576,2364,594,3999,4655,3185,5388,4075,8230,3029,5224,6022,2056,5266,4388,5741,22,5890,2051,1055,5973,8412,5194,1289,2933,1509,3157,225,8737,4631,3447,2938,2016,3738,4596,3878,6197,3026,3246,7197,7369,5865
134,8796,3447,5976,5114,6183,2160,1494,7590,2217,1785,3010,985,4176,1366,8546,4605,1787,1823,1985,2334,4388,1308,6773,1103,3185,919,2192,6519,8883,1210,8657,6660,2574,1939,5569,2088,2051,1361,5204,294,1343,1322,5177,4567,6945,8080,6014,251,5595,2172,3941,5880,1930,7328,7161,3029,7612,5174,8547,5982,5160,6372,5188,8234,7443,3749,3091,2951,5573,908,984,5182,3184,7664,3836,9008,5762,5096,1069,7685,664,6725,2223,1779,1721,4389,4413,5732,5209,7369,4385,4066
1977,5375,8521,5161,5023,1058,2550,805,2688,8277,1208,871,5151,1041,1031,7241,8484,2901,2334,6091,5166,8514,2364,2086,5137,872,7471,3057,6725,6338,5754,2755,1852,4962,5569,5893,3564,3289,4134,3892,2750,792,1779,773,3406,4586,3598,1565,8757,3698,3589,8420,3525,375,4655,2061,5202,2359,251,7400,8194,7029,9085,1972,3817,5204,5173,3412,2369,2193,1235,3841,588,1478,1668,8458,1906,2889,5183,1297,7297,839,29,8631,5605,3155,4699,1294,1537,8877,2886,2895,5822
4974,7435,5569,3641,2173,5567,1703,8395,8398,4177,3963,5166,4385,6764,6503,6795,3315,583,8033,6017,6223,7837,6474,3828,4293,3009,1878,8232,2151,3035,2371,6421,1787,3959,5096,3406,1825,2476,5183,1083,7324,6491,1404,4605,4890,3246,3878,3747,5178,4001,3996,3010,4966,333,5188,1456,2575,2369,7426,1793,6725,3838,1058,6785,8461,824,2421,8097,2046,6339,8997,2364,2981,5872,831,2942,3442,6143,5586,872,6455,4224,8445,3308,5989,5266,2901,714,5230,3444,7508,2056,5591
4962,1394,5712,1371,1276,7454,2056,134,1564,5769,2882,2369,5076,5097,5174,1809,1826,5920,5556,5728,2764,3184,5877,3556,7709,5197,8400,1645,8993,2172,3315,596,3930,6291,7671,1540,154,8766,3838,8192,1504,1787,2338,937,2894,1247,2159,5560,286,1950,2878,7714,1997,4155,7480,1161,2359,1777,7465,1879,2897,4385,4515,8827,7846,4413,3029,2866,3297,8504,5215,5734,5822,4861,5173,1024,3601,6091,2051,820,3025,233,6384,3086,5390,3865,1216,781,2885,2332,1041,4905,4388
