2755,5569,1862,3569,3010,1567,7761,4962,4061,5584,939,160,2205,7235,5091,2062,2901,6018,5262,2371,733,1886,5560,2477,3244,4807,251,3503,4388,6853,5046,8128,4134,4529,1353,1782,4040,8753,2309,3856,6026,3880,1207,3673,8172,3231,547,6206,600,1972,4026,1015,639,18,2558,3732,6298,8987,2466,3257,5210,3456,2576,3447,4060,6008,4420,3025,8408,8886,1873,5880,1926,1912,507,7469,1565,2214,3029,5161,2171
4631,1094,839,7842,3867,6963,5868,5734,7400,3969,778,3019,251,9085,6046,7747,4937,3510,1721,507,4586,3915,3662,6645,5267,7164,1286,2885,3615,6345,1459,6076,4964,2151,7487,5804,5096,2334,7678,5246,2054,5236,228,2965,5877,6091,5585,1976,3560,7708,1993,6715,314,4349,2159,4155,1084,1125,1877,639,5556,1254,8941,6148,2369,1878,3040,3714,3282,8796,3025,1060,7597,5757,8049,7297,3862,6024,2981,2696,1971
5210,691,6985,1930,3184,4934,6373,4552,8409,6562,660,2338,5875,4001,2546,7586,2981,8639,5902,2260,1036,1779,9001,8401,2171,2131,5096,266,6654,1769,3838,2355,5198,3086,1045,2886,6091,6135,5556,3967,7708,3009,7324,1240,1375,2446,2924,2145,2878,4155,3459,7242,3025,1499,1204,2016,5924,3406,6713,3592,3330,5567,1582,1838,6270,4561,5125,2375,3242,946,2184,15,8638,8488,8133,7585,7443,849,8471,5702,6291
2051,8308,952,6001,5166,1787,4273,3968,874,1113,3283,2172,8395,6145,4539,3909,8408,4590,7699,3026,3185,5224,5785,4155,1795,3031,4543,4965,5558,2941,3244,26,7489,5840,2159,1886,3957,8920,7339,4388,6400,2062,7585,1461,1873,6633,6827,1677,513,7114,4105,643,2981,3020,1866,6334,2030,5569,2632,7720,6363,4696,3239,966,3851,5976,6956,233,5423,1208,4175,3413,869,4053,697,6074,1880,1523,824,2214,5560
4581,1063,6891,6018,4388,1399,2552,800,4962,2151,5090,5556,5142,652,8485,2063,6091,2334,4157,5193,3111,6342,1173,475,5734,3945,4001,2171,2755,612,5573,3516,3981,6037,6022,2560,3918,1025,4516,3172,814,9035,2016,4412,5253,3963,507,8826,6092,3561,643,4413,5560,5785,5237,4228,3511,3318,3187,5753,4177,833,3025,2153,3478,4979,7671,5162,7551,3412,3029,4738,8188,1234,4333,668,2375,251,873,3724,3735
778,5737,5821,3945,2411,8774,8269,1976,6640,871,5378,3841,2173,8418,2063,1245,7464,5598,5728,8224,2926,7274,6629,2151,4556,4793,1977,4134,2941,3974,2172,5976,843,3294,7114,4962,608,5232,844,1429,1609,6785,3244,4251,1041,8408,2409,2062,534,134,3999,6082,5501,5221,2220,5573,1883,8885,6091,1363,1346,1989,859,2334,1158,7569,3863,5982,6652,6417,4412,1390,6008,5140,6651,1912,2364,3207,5243,4248,2359
733,3176,1976,7669,828,1331,1769,5585,4389,2658,9005,1238,5566,2462,5627,5804,6091,4109,1208,1591,8558,2537,3963,5242,3308,3578,6180,4134,2371,2173,8447,842,8744,5174,3872,5569,6827,3873,2051,5973,8546,4077,3903,1543,1301,2878,1606,526,1207,1880,4578,1779,3447,5202,1387,8796,1435,1805,1078,8635,1588,5270,3029,3606,4636,6202,2234,6695,3450,8088,2981,8219,6660,8320,2644,1461,4550,6293,9028,2056,368
8883,4605,1886,8629,5590,965,1178,4521,2576,8802,4413,1614,709,5559,4037,3422,6659,2048,4545,1196,4739,1769,293,3050,5982,5557,5804,7483,1788,1696,6181,1285,5248,3648,3841,4777,3878,4077,5139,6149,5193,4147,2587,2047,918,9005,833,1228,6651,1463,2359,6751,3406,1599,4524,6909,8721,1524,1623,4964,3184,2205,5573,1202,2051,1679,8395,4830,759,974,7512,2547,1401,1097,6733,6662,3999,6510,8222,1956,8734
1709,3963,1063,5782,349,2460,2836,3878,2064,2228,507,2054,5101,5091,669,3589,4545,2548,1573,4053,2063,2080,5266,5566,7714,5585,5785,134,1595,8123,6194,1614,8626,1207,2159,5384,6725,6031,5975,3950,4605,6018,4834,4837,2025,4388,4631,5902,7767,3308,3184,3749,2172,3025,1883,3887,2944,8395,2059,4569,4962,3130,8418,3257,1811,1570,5604,6186,311,6585,2971,4077,5189,1862,6291,1989,2143,5753,6383,7889,2495
6924,927,2644,2578,805,5559,4531,3029,4040,6008,1603,2549,5234,4219,2338,507,7153,1956,1495,2576,267,3405,1104,3540,6833,4966,2465,8796,2371,6037,3108,1976,1050,3503,7454,1290,1522,3374,4134,2375,178,6649,3026,3258,1883,4413,7306,2894,8770,8886,7417,939,7839,5606,7324,521,2408,7584,1977,5568,37,1877,3133,1060,1549,5556,5198,5728,3172,668,776,1018,3514,4577,5205,3030,8224,4520,3516,5193,3013
