8796,1387,6091,2051,28,5982,5973,1787,5242,5804,4556,1364,1371,2172,8219,6143,1769,2208,1042,1882,8637,3099,7248,5753,6338,3878,5229,20,4044,5174,3184,2182,4872,3016,1801,2549,291,6070,2576,1326,5566,2887,8493,3751,5606,5558,4336,7851,6635,3741,9001,8097,8395,1800,2564,5247,6640,1694,1064,1827,1926,1990,1087,1991,3963,580,5390,6335,1483,1971,1129,776,7805,6190,3691,2334,4385,3465,2542,35,1976,2346,979,2173,2205,8051,4517,4360,286,6938,7123,534
1059,3447,4144,5607,2172,7443,2969,2331,1208,2878,3184,1561,5567,927,9007,1517,2360,4821,376,2893,5557,5603,7226,2433,5865,1787,2334,6140,1963,5160,3863,8541,3025,1880,7956,3967,5556,1976,1862,6043,474,2363,4876,8420,1950,1878,6024,3289,2467,5242,8796,1363,1769,3261,5266,5769,3753,2542,8320,8681,4861,380,968,6188,3370,2173,3838,134,5804,4388,2338,2198,2047,4385,1109,3920,7368,4176,1051,2971,7345,3533,1126,6731,2371,1298,5869,5357,4324,1879,6725,5566
5173,4631,3649,1495,7238,2364,2981,9018,7898,2066,4284,1155,3043,2552,8796,3549,3673,1989,5556,2984,4178,1126,5210,3985,6022,279,5982,3647,2369,8517,5178,3423,2951,310,5728,9059,5685,1256,3161,5708,1825,2051,5764,1250,6909,2961,5137,1523,3310,1880,970,394,574,6091,3084,1481,6206,7429,8404,3747,5062,2878,7982,5558,1080,5199,292,3083,5117,3947,4240,3187,3751,7753,5067,6380,1264,5097,4061,4335,3406,6650,788,1858,3366,2205,7819,3909,3963,3662,2062,7709
2886,5566,5221,669,1779,204,1103,2371,5051,4134,8736,8315,5042,4631,5685,8393,1785,5734,1065,1001,1666,998,4334,3413,6757,2151,2408,507,2957,1259,6716,795,1980,3933,7716,7247,2543,5159,1524,2181,6725,2975,648,578,3477,37,1456,177,8941,869,6966,5559,5178,5238,6337,6650,4545,2051,5266,927,8191,251,8952,286,6043,1972,1245,6652,3246,5973,1469,3954,3886,5525,5195,972,1866,8472,3269,6503,4580,3497,1787,6484,4146,5822,5183,3838,1971,1240,3029,4088
6091,2049,4385,669,5736,3679,1261,2051,7726,2886,1550,1157,7469,4631,8168,2338,3864,5592,8657,1302,1942,4105,295,3308,6186,90,2557,7671,3760,3778,3025,1787,1866,134,4001,3967,3433,4565,785,2941,6296,872,8881,823,3918,1015,6347,8993,5221,3673,821,6822,5162,6589,5559,4007,2047,3689,5573,5096,1117,1625,2981,5567,8367,2056,1278,6485,8412,1225,5712,6614,1184,7080,3838,7095,1111,7180,2951,8634,3435,2127,8396,2371,7437,2895,2233,8761,1224,4284,5921,825
1517,1921,1891,2371,134,5976,5559,5753,4566,2369,2582,1802,2047,6948,5556,3056,5973,3447,8399,5810,3727,6206,1880,5565,3315,4966,1932,3720,2936,2572,8543,6282,2896,5266,8048,2192,3412,3152,3926,3575,1854,5157,6499,507,8127,3114,7897,5876,4155,8796,3810,1015,5569,654,8776,5094,6485,284,4413,7369,8528,7097,597,6339,8395,893,6785,8821,2357,709,4296,3951,8800,5174,4124,1769,8759,1564,5864,4369,1886,3083,251,6725,5170,1318,243,2317,8547,4019,5567,803
2159,7443,3289,3026,1763,3474,873,3876,2048,8820,8546,1769,1933,1864,198,7555,4061,3406,1522,2952,8961,1087,1787,1417,6018,4528,4940,4970,1537,2334,6909,1559,2172,6091,5221,6280,1609,3838,4408,1058,7820,7454,3938,3281,5753,3684,5183,2073,8395,134,614,1989,2332,2338,6725,8418,5804,4346,4117,3915,578,7369,1880,1699,3699,6024,2364,6313,4001,1276,8567,1074,3750,7324,791,4148,2971,2336,5559,7135,4385,2177,1049,1976,5166,5573,3022,5741,4617,4890,8763,1010
2644,1709,1931,6007,2936,2923,2338,5976,2063,5370,8796,5217,6372,2369,1324,285,3940,3025,7454,3847,7308,8737,872,2151,5573,7284,602,1968,9006,2204,1739,918,6827,5388,5605,4609,7709,2750,4563,2755,5982,5188,3244,6347,6341,183,4984,2897,5786,4548,841,7897,530,2035,5560,5973,3963,6919,1972,2309,1824,4257,6018,4520,134,4013,8395,8634,5048,1886,5583,2673,3954,5231,288,8129,5232,6066,2016,4525,5822,5177,8901,4964,3029,1506,563,5210,788,1123,27,1490
4005,4155,2564,1822,5235,4388,6739,134,294,1202,3038,2173,6202,2893,2363,4631,6647,2755,6141,733,2911,8404,1368,8078,1874,2364,3778,778,1514,7837,2056,3405,2151,507,8987,3719,3654,6334,2371,5976,3970,1921,5166,3229,2150,5559,575,8193,283,2037,8881,2929,6376,1701,7114,6136,3707,5127,114,6864,1173,4965,1087,2579,5569,5238,4860,8637,6070,6503,5611,1485,1254,5525,302,4303,3184,4006,5753,8657,8548,2059,3026,1886,5197,4902,5769,2055,1123,1800,2886,3878
2885,1445,2169,6312,2558,6507,5753,2939,2062,1883,1983,4043,2088,6767,2935,8941,8779,1017,2259,1800,6522,4833,4545,7697,385,4927,2359,2901,4055,1875,6086,4656,826,251,1436,293,5862,266,639,8418,2343,1417,5183,7753,4052,8766,2364,1787,2051,831,3828,1977,8101,3124,8458,8886,6998,507,563,5073,1290,3289,1779,1972,6795,5804,7751,2495,2035,3305,6061,20,1702,8752,946,5067,5524,860,4389,7338,331,3014,5559,1077,1126,3029,7114,1299,1769,5754,291,795
