1989,230,7454,4837,5228,7708,1287,1970,4388,7386,4368,1078,5559,3863,5944,1972,2173,2981,2062,1578,949,7578,8427,6501,6833,6660,5566,3504,1779,6294,2562,4165,5885,251,2334,2056,1777,1769,1880,4164,2063,1417,7709,674,7323,3602,1407,2364,2952,6206,7333,3393,5151,8639,5822,2171,8230,6383,67,2574,6018,1532,4779,7672,7139,4143,6371,6949,8991,3016,2359,6776,6725,4225,2159,3037,4807,8752,1640,6510,3184,5388,1971,2969,3838,1289,2924,7135,2773,4585,5685,6658,7857,2214,6516,6091,734,4362,5754,7321,8546,4173,3029,1567,3447,4172,1524,7585,3057,6652,2047,8116,5804,2175,5211,1100,1866,5177,389,5222,1033,5173,8651,1983,1980,4964,5746,5186
2334,2950,5976,5728,2051,7393,8395,7362,2181,2371,4962,8426,8880,7453,1499,7480,2549,5374,8372,4172,363,8275,5734,1043,3298,8879,2172,6018,8464,5789,2924,3847,1877,3864,82,5604,2533,2159,5973,136,1932,6773,5695,1157,9052,1010,4173,4658,6682,6091,1550,3969,6922,934,219,2213,3242,8240,3998,3025,7164,224,4036,1954,4545,1035,1976,4984,6331,4388,25,6821,1827,1229,3180,3308,3760,1961,2963,939,4177,1436,8230,2151,1779,776,7556,5193,6431,9040,2260,5160,5785,1124,6785,8048,5556,6345,3983,1929,4060,1219,6909,1924,2359,925,1256,8534,1167,3858,5318,6245,5601,6372,5073,9021,3773,4413,5560,5238,2198,1380,3738,2050,3933,8409,8387,2228
2198,6640,1777,2923,2852,3592,3878,5236,7709,5556,8395,6939,1779,6091,1737,2364,4155,5190,1624,3244,7714,4368,1499,2981,2760,3967,251,5736,7716,1880,5242,6494,2878,5150,3763,5734,6016,3938,2334,6342,2061,4178,3838,6278,5560,4561,1012,6018,4962,6725,8316,3749,1453,5578,1873,388,3412,6347,3943,595,2989,6159,1989,1477,7766,5077,1000,2192,2488,1926,3586,5712,5394,8877,1809,1055,7770,968,1380,7479,5728,3025,4838,2644,8080,1124,1841,3644,5174,3056,1093,5989,1285,8543,5976,6057,600,7464,7645,1978,5443,1623,8472,6730,5794,1874,3974,3294,1984,3444,2359,2937,3266,8470,349,7472,2041,5625,5167,5557,3945,6990,1240,8219,1517,3615,8766,7454
2047,8882,4275,266,3887,5569,6725,3971,864,3123,3733,1438,2893,4974,1472,2369,1825,6633,8546,7435,1977,4566,6188,4160,1613,4853,6197,4908,2541,1779,3922,1560,7770,7869,1252,7478,4171,5560,2371,6922,3310,4542,5246,1909,2171,2901,2063,3025,2159,6070,6355,2981,4506,2057,8540,3246,6503,3462,8325,7454,2172,1505,6532,1005,6914,5156,2334,7302,5174,4134,5989,2062,1031,3426,3884,642,4559,848,4962,1524,8657,3754,1963,7481,4158,1558,4792,809,507,3184,6569,5566,8881,499,8467,6827,2027,2208,1785,5627,3029,6018,2064,298,7341,3664,4681,918,2575,2173,1286,5559,3863,6511,1812,3208,2890,2051,14,6938,3294,3825,5973,3480,8227,5149,4388,4631
2574,3246,3218,3926,1194,5230,8441,8495,3606,5211,480,5569,869,8543,5220,6206,561,922,4321,1977,6679,5198,8517,6909,4388,3287,2062,5560,843,2890,4413,4799,2606,3729,2321,241,2108,251,7897,1609,8500,864,1319,901,2172,4550,5069,2206,2051,2338,4775,1507,1281,6334,8439,3704,3641,7164,7612,3878,6294,2147,3182,7483,1499,1769,2409,3999,7270,3202,2440,2056,7473,5190,1445,5712,6052,3951,10,1880,4976,1787,5221,6383,7523,295,1159,3936,6130,1641,8855,3195,7431,6650,3544,2151,4631,3285,2352,1014,8051,2359,639,2964,1274,7061,6312,3971,3963,873,507,8436,2665,1597,7471,8987,7481,134,4230,1161,5559,2010,2951,593,2190,2576,5976,2957
7720,2658,4611,2205,7819,2233,2548,3963,5220,6649,1596,5167,6130,4934,1805,3991,2845,5203,134,2151,7328,6264,2576,6379,7818,4631,2338,8659,8745,2051,3150,7454,2296,5215,2056,2897,963,1886,1977,3244,8399,5973,5228,3247,4125,1925,7501,3312,6257,3966,5221,1752,4077,4962,507,1075,1157,6008,1286,2274,6091,346,3798,8438,927,2574,2369,7369,1707,8066,3878,4105,6212,4539,3697,648,2356,950,7709,5566,5860,302,5383,5270,5804,1621,8501,5822,1976,6485,2359,3824,859,270,3691,6151,3828,643,1342,3181,6017,793,5603,3277,1324,7981,7848,2047,1308,5195,1468,5250,3874,3883,4100,8941,3026,5559,271,7745,5599,4178,2923,3406,264,7897,3954,8801
3480,6065,880,4799,3966,7431,2435,7804,6738,6091,1777,659,7149,5734,134,2369,7436,4870,6334,1981,3510,6337,5266,8543,5139,4157,2975,7135,2334,1507,8523,3419,1886,2047,8881,8125,7666,2981,8087,1308,5569,2882,2191,1436,4965,1812,5973,1375,8317,2172,7451,6071,915,2056,2481,874,6341,3601,1878,6725,2952,5160,3433,533,3205,2488,1192,4975,6206,5597,6336,8395,6943,3029,1787,1866,5274,2950,1618,5377,5893,2173,1285,4944,3025,5968,1108,527,2688,7466,4143,4629,5560,2496,644,5161,3963,4074,7288,5804,1749,1159,5696,6594,3083,2755,5730,8736,5976,5097,3778,6248,3749,3583,4394,3034,5387,7346,1126,1862,4962,8877,2338,3185,1801,5226,8231,6909
9008,5204,7580,2051,2205,7258,3289,2175,3308,5304,7008,584,6375,730,2872,2047,7185,5556,4563,2258,2528,507,3882,1211,2220,4800,2180,8442,6182,4172,5603,4597,3178,7614,2576,5996,8961,5585,9013,2063,5091,4516,2156,1897,2338,1345,2598,5194,2901,4060,2421,5262,2159,2062,3838,4067,1507,3406,8129,4177,4150,5898,3966,8547,6650,3029,1769,1819,4161,5245,8048,1878,2622,3841,7556,4962,6091,1972,5617,5875,22,5976,3247,1879,1474,291,1209,6312,3027,6725,5174,3466,6909,3457,5872,7135,1866,4542,6202,4930,8627,4605,1175,1777,1453,7465,6568,1827,3025,2142,1952,1787,8538,5627,1877,7487,5605,3999,7479,635,220,5769,1323,8395,7840,3649,5734,6640
5573,1876,2364,3053,3420,5982,2546,1301,2996,5559,5567,4335,2644,8625,819,4962,5973,2525,3836,2882,2172,7135,1963,6066,2350,5139,3029,7142,2340,3412,4121,6411,7324,2575,1167,1769,7556,1157,1866,1044,939,1517,5569,3932,528,3958,5757,1878,7463,4568,3954,5870,3517,1638,1202,6061,471,8878,8881,3010,2922,4896,1922,2059,7946,8943,4578,1800,2056,8871,2205,7369,6909,984,4749,3769,1637,1446,284,1284,134,2338,828,3752,5635,4434,2195,4985,5215,2063,8626,6337,1943,8101,4155,5804,827,1239,3723,3945,8394,5178,1410,385,6360,5211,1471,2755,2360,5867,1871,773,6796,3413,2576,2488,5770,4109,5214,1779,1184,5592,2173,3589,3478,2371,5560,1211
2985,2901,1991,1084,8049,2878,5865,5557,5344,2205,6539,4388,3716,4158,1380,5231,1878,1779,4549,3406,295,4966,563,1983,1879,436,1421,5982,7434,4542,8655,6870,733,4962,9059,3155,1254,7380,1517,1800,4605,1039,6577,6331,5886,2055,4093,5236,5727,2051,1928,3810,8228,5569,1574,2227,5753,6141,3303,2755,2369,703,5769,4988,1398,5266,2576,2058,6746,7614,4517,2145,5155,1619,8419,4330,2364,5160,2129,3846,4757,5161,2967,3826,2192,8177,5722,3838,5573,5716,5178,2495,2047,5766,5597,2338,2193,6784,1785,5247,2545,4161,2371,648,2779,1559,5319,6091,3025,251,2062,1087,639,5770,1550,3959,5174,2923,644,4551,4134,7823,134,615,5556,2334,8623,3184
1579,2924,8753,3694,5245,6557,3420,1543,3043,254,5234,5792,1044,2051,6089,4511,292,4578,1303,5156,3864,1522,5173,6331,5194,2062,4078,993,6018,5585,2151,872,3246,1578,4984,3025,1787,8233,8546,983,4528,6206,5178,5556,2930,8192,1862,691,3520,8472,6519,2198,4962,2056,5973,1038,4387,5559,6818,4362,2575,1494,3540,7480,5068,3865,3859,4216,6699,6650,507,1035,5220,1564,7610,4558,134,7890,604,8196,3257,1059,219,3184,3029,7183,2371,1604,4150,3010,481,4807,1216,3185,4294,8739,7324,6091,3953,8762,8547,1061,6151,828,6024,8418,4516,2545,2147,3950,3853,3814,4631,5161,5970,6288,8796,1972,5191,4966,2951,1417,2179,5090,1879,8506,972,652
