5865,5966,2092,5921,4528,2488,6660,4356,3451,6302,1877,5736,1466,8106,5319,5566,2338,6341,1608,2063,6044,7603,794,2359,3282,2981,5560,3956,6725,805,828,385,3413,7273,507,3594,3050,3406,3847,3010,1879,8976,1812,1880,1233,2056,2922,1989,2215,8412,5258,1020,5558,4350,5262,786,1253,5567
2755,1976,219,4136,2930,7956,8557,5763,6143,2201,1621,1787,5560,2051,259,8152,4385,1862,2016,8330,3308,2159,4413,5712,6022,1522,3161,2410,1457,3968,4631,918,1560,2536,733,2056,2027,7362,3066,1575,7250,3685,7094,655,1769,1565,5747,3318,8567,5181,5822,2371,5920,1930,1880,263,8414,1478
3537,5560,1471,2355,1252,1541,4631,2056,3315,5568,2062,3828,4962,1822,5174,3971,1429,1390,5566,2334,4403,4275,5237,5178,9007,2173,6092,7185,1976,2548,1993,507,5250,5390,3118,3838,251,1878,6091,4051,501,6817,1495,6507,8408,3654,1129,5763,4155,4150,8413,3029,6144,7389,134,2172,2537,8425
831,5201,1527,1356,2750,5753,2911,251,7262,3137,1822,3618,2063,3472,639,5977,859,6649,762,2213,267,2952,4060,885,1787,6024,2786,989,2173,1779,4069,1983,8408,5096,8567,3940,3147,3126,1138,3313,4043,1977,380,2193,8759,4631,6055,1155,5736,5979,2644,3184,6201,8993,2359,8657,3010,6658
1599,6018,5094,2576,6294,4388,3416,2575,1879,4962,1559,9043,1174,1976,43,1993,5804,5073,653,5805,5556,1672,3185,273,2878,8736,3035,6917,7061,1523,5210,1880,5119,6909,519,3681,1878,5203,3313,1931,18,1812,2057,6302,5233,4413,3246,1296,2469,1535,6725,7668,32,4598,7008,833,4987,640
2644,6374,1866,3773,1234,6475,5221,9024,2371,1787,5569,5173,7517,7849,1878,3268,1486,1499,134,6331,8409,3568,3161,1977,2033,6186,4134,672,6725,4214,6030,1886,5831,3291,6939,3310,5804,5875,6499,6649,6803,7720,2156,2026,1224,3749,6273,580,3025,812,2051,7709,1024,507,8567,3845,2950,3598
5250,1773,4157,869,5894,2894,2488,4972,5982,2822,841,4595,7299,4520,4006,3541,5612,1452,4388,2217,2364,4799,3864,6977,6935,1261,245,8763,1879,1566,2773,1930,8432,3160,1787,1071,1023,2215,1429,7696,8424,640,6725,2307,1001,1779,1250,7770,3561,5166,1304,1586,4002,3457,1609,5753,6648,5573
134,3525,8681,2214,1779,1010,6785,1012,6091,5152,5221,2051,7569,1977,6801,3025,3185,8637,8546,4962,2205,226,4795,2035,3247,3838,3705,1171,1433,7466,860,319,2283,1812,8872,8674,32,8349,4001,655,1123,2882,6696,8409,1777,6486,5077,7114,858,2878,2967,8395,1375,5753,2022,1963,1993,4412
6293,4388,3034,5573,1496,2930,7341,1167,2587,2886,134,4530,4631,8229,6061,26,5386,6641,6311,4656,7809,2359,2574,29,2341,580,3332,4109,1577,4061,870,507,1157,2334,5920,1102,1213,6725,2062,2360,2369,6383,5160,6016,764,2151,6064,8277,3221,4239,5600,1606,3051,1977,7766,7429,1883,7598
1779,2849,510,6946,2503,2334,4962,5177,6956,2359,1820,7976,305,855,5986,1235,7164,1603,4605,1972,2949,2061,1264,3506,1524,6062,6144,8488,1984,8487,2837,1588,3244,789,1216,2063,507,3029,18,1094,4164,6091,1409,2981,2156,3664,4653,2051,2123,8219,8545,1393,1785,8796,2062,2338,3184,1976
3960,4962,251,134,5194,3842,8796,5127,1621,318,5976,2548,30,5156,6725,6491,2051,963,8546,9008,2027,1800,7454,5560,826,6914,2182,4322,1924,8757,3485,595,6942,1045,3029,5828,5202,2547,580,2534,8418,8545,1925,1015,5569,1985,7328,5201,216,3749,2056,2878,3883,5242,3119,2576,4807,3861
1123,1383,1553,507,5559,7905,5737,5804,1785,3246,5990,3194,6503,4976,1879,5252,2929,6067,5981,288,1144,5556,5785,1989,6140,8191,4055,8393,4962,2359,2951,6510,4561,4385,1468,2971,4985,3282,3642,1535,3074,3308,1779,2979,8487,6018,3838,1784,2549,2610,516,7152,7857,2408,2063,3971,2159,2055
3132,251,2688,597,4219,7270,7266,6054,1236,7473,6484,3958,8542,8727,7454,635,2969,5973,5712,835,4277,8500,1967,1607,6103,2864,3050,3184,6044,4876,2914,6897,4724,5095,5560,8887,5043,1600,2951,971,2334,6293,3714,1977,3984,4198,3289,134,6140,3838,7572,5224,5831,2263,1275,1366,5686,2171
9051,5973,1532,4275,3014,1488,2971,5196,2121,1429,4389,32,6660,2384,2981,1618,5569,3308,1055,7304,2897,6633,3876,3945,2151,2063,574,2371,3282,6939,5741,2375,1517,1825,2364,3998,6141,4962,5567,202,6362,1291,604,6800,3406,1041,3892,2901,6043,2156,2059,1963,7117,1968,3285,1815,5179,1664
5222,2173,5866,3310,3419,6335,5102,4528,1252,1763,1769,7887,7002,8412,3966,4556,3847,3886,653,597,3043,2217,7480,1825,7072,2359,1557,2047,5791,794,584,2253,3048,2049,1880,4640,1779,4412,6643,1541,2747,5730,923,524,2344,1757,2371,6039,3025,5867,1873,4134,2750,4388,828,5721,30,1777
4631,1039,3433,8973,15,7135,6091,772,6137,7372,219,3684,5837,4698,4962,63,4385,6634,6291,8503,528,5976,8941,9083,2901,4329,8650,7527,7148,3184,1007,6015,2936,3436,5557,1834,1848,134,4872,2755,3963,3841,9010,968,832,3294,7344,4965,2507,6277,6070,2214,4903,4117,807,7709,6725,386
