482,142,813,864,362,592,816,295,553,5,835,620,546,72,637,62,779,53,143,186,691,409,76,447,33,861,634,180,375,821,155,608,837,167,918,952,552,644,297,198,57
798,889,330,910,142,738,746,23,165,695,265,879,905,482,649,677,801,602,58,872,331,146,467,700,790,511,323,62,415,859,84,300,106,598,943,207,652,269,167,91,278
881,390,737,480,62,873,358,326,16,701,915,821,142,582,968,584,495,231,827,929,977,889,172,165,205,756,452,637,159,457,691,634,257,79,234,695,133,421,482,646,222
646,813,947,151,323,256,417,756,165,780,62,345,533,571,346,965,340,354,814,926,727,843,183,781,79,369,14,864,892,217,879,457,269,983,20,875,887,627,445,99,810
0,133,905,912,588,68,720,930,54,23,180,799,475,142,813,323,118,514,777,695,483,391,629,790,957,753,155,706,477,748,889,891,20,641,105,751,538,235,62,121,269
652,548,142,269,207,447,779,62,970,3,17,977,324,776,488,87,219,16,405,757,73,281,268,480,482,137,98,279,196,766,711,829,329,267,301,538,305,81,889,148,323
515,779,445,957,62,772,581,256,55,676,618,326,624,335,832,344,834,949,650,889,243,142,270,517,259,728,269,392,421,724,947,406,645,45,56,340,188,475,349,93,287
563,326,557,779,445,142,790,77,913,62,269,262,974,612,559,405,87,475,889,186,378,346,274,821,428,222,323,744,172,844,249,248,794,746,733,789,892,336,480,854,719
815,136,495,671,287,752,161,535,514,890,613,634,165,146,674,482,892,272,777,335,16,569,918,615,791,954,230,640,432,854,845,533,62,351,388,396,166,756,447,96,445
142,218,269,62,516,733,786,453,445,627,756,183,303,892,146,133,304,762,69,374,952,821,309,480,689,603,120,457,565,792,921,634,326,589,966,647,61,414,774,975,424
155,148,764,746,410,414,56,142,16,251,62,342,821,118,779,732,668,269,222,797,353,355,330,799,565,445,390,628,84,483,64,480,864,909,587,983,447,475,294,378,297
269,222,142,218,323,641,889,445,981,78,0,351,8,845,366,810,108,875,485,943,580,405,383,581,856,975,792,163,518,332,695,903,576,240,969,756,816,62,546,652,32
445,326,16,23,682,813,222,70,62,634,418,0,977,96,482,210,142,269,81,195,730,26,930,240,731,478,99,291,835,58,485,483,35,31,14,315,373,522,905,645,957
56,142,464,615,180,405,323,118,260,374,582,445,960,758,332,79,338,642,301,482,801,650,300,480,540,563,451,409,240,348,585,115,798,947,222,226,779,44,446,913,326
480,813,305,62,634,864,648,499,795,904,645,252,620,680,923,876,977,588,289,212,155,810,533,871,668,628,473,703,335,144,892,947,740,848,23,949,789,581,326,724,695
515,287,504,767,33,918,810,896,100,783,477,585,83,695,288,770,494,410,335,969,482,18,917,648,165,886,384,422,947,53,267,680,269,819,445,142,649,191,569,666,619
62,495,222,73,326,41,873,281,165,45,700,813,204,482,357,98,586,881,792,409,481,957,24,943,142,546,441,730,879,275,475,772,287,336,87,964,695,756,970,58,688
326,957,142,829,692,929,62,533,615,943,618,261,774,645,581,535,269,105,323,342,764,548,821,410,747,1,305,832,445,3,441,348,94,852,858,813,245,198,183,119,889
892,567,645,903,142,40,85,820,384,227,106,584,269,163,889,410,297,500,116,10,769,108,79,84,99,490,62,42,845,315,151,546,178,588,268,200,267,502,977,482,615
165,972,62,419,713,914,329,188,699,0,378,445,88,769,823,142,141,587,222,776,528,216,191,159,447,226,320,765,752,136,19,338,323,219,56,687,756,177,76,160,952
955,960,752,497,88,482,618,583,287,142,638,180,786,967,479,218,681,146,323,405,62,165,612,440,929,207,821,326,73,447,445,505,286,862,506,16,720,845,561,390,668
171,105,461,248,868,278,643,88,482,123,16,62,834,748,559,708,142,943,780,128,778,58,926,539,829,299,222,269,9,810,492,196,782,779,589,36,728,267,226,480,151
222,142,417,269,19,445,723,751,231,204,1,16,76,442,633,646,558,151,873,591,884,326,790,335,865,828,602,154,311,62,22,317,56,889,645,592,340,737,390,351,752
808,222,875,706,458,165,813,480,490,341,504,482,929,889,522,492,194,947,102,610,688,34,938,61,326,354,50,956,508,810,142,523,409,84,786,445,383,438,295,143,728
