25,62,478,412,218,91,523,762,26,323,480,357,269,813,535,254,533,833,16,748,345,959,542,149,335,939,130,733,777,620,329,648,482,343,663,445,297,689,222,348
142,445,222,899,482,10,146,875,5,600,638,728,68,949,165,368,62,789,813,712,151,801,832,61,92,480,474,447,81,617,269,627,337,769,326,466,115,531,703,980
336,300,142,70,622,374,808,957,847,526,167,44,473,950,326,618,582,639,294,918,692,650,491,708,99,620,501,391,280,792,592,523,58,645,810,804,441,665,668,589
118,746,159,62,598,892,412,780,802,684,858,251,142,384,170,98,4,896,952,505,211,824,881,514,864,587,925,886,334,140,294,826,889,375,91,655,944,451,831,47
907,716,232,618,838,144,62,433,406,243,142,98,170,449,174,99,764,480,623,471,841,376,281,336,373,943,903,563,892,599,50,318,16,559,140,784,379,482,451,405
62,184,14,250,602,441,155,146,718,167,746,881,756,538,480,444,31,429,170,344,445,142,791,304,813,779,709,695,438,389,342,120,144,822,66,694,551,447,467,16
849,871,770,10,62,26,579,331,385,618,294,91,414,524,751,591,404,245,781,300,702,387,813,615,252,889,486,215,165,305,458,323,580,0,699,475,384,753,787,360
929,690,123,240,723,83,597,91,536,16,845,877,243,449,573,412,810,756,626,447,790,910,87,142,482,409,960,60,405,627,480,514,955,513,323,783,891,410,235,97
646,323,585,326,906,907,11,593,62,526,39,142,908,875,342,324,898,599,68,824,918,633,222,335,781,953,779,853,625,952,165,440,402,828,697,241,431,7,528,538
87,651,738,647,533,269,943,101,295,338,695,728,626,184,376,115,668,653,482,552,514,167,703,880,81,62,65,756,734,581,843,926,142,240,323,326,447,103,297,682
445,338,798,458,820,269,682,953,142,16,56,693,133,292,108,222,523,203,192,837,296,645,901,915,695,618,533,281,91,612,842,240,518,939,376,146,819,909,79,323
445,438,552,953,62,452,627,157,424,165,598,142,294,144,716,693,889,56,802,483,151,326,14,409,785,39,100,55,133,533,715,412,869,269,680,495,695,934,21,949
269,212,62,810,649,961,864,291,155,142,86,797,92,957,597,779,171,730,844,458,668,16,222,326,34,528,482,918,648,367,901,468,820,79,941,384,14,231,977,813
96,532,16,209,492,810,419,62,81,703,436,721,133,467,695,850,283,142,445,744,871,405,956,949,77,860,588,618,533,859,468,482,963,741,892,300,296,832,26,222
416,102,810,727,16,900,270,611,146,781,261,783,142,515,711,975,132,98,645,684,139,708,543,695,87,505,849,839,482,188,14,320,269,78,637,233,923,962,977,668
776,482,384,175,813,118,16,419,161,760,540,726,115,977,565,26,429,326,134,889,588,209,323,779,335,62,790,577,645,631,445,68,649,579,269,142,99,146,296,892
585,864,496,393,838,445,517,323,375,889,732,966,832,881,142,816,294,326,131,31,473,457,58,144,627,522,146,184,660,62,165,305,269,1,179,872,703,899,16,684
222,16,860,450,445,835,114,746,202,739,512,966,323,142,794,889,956,480,474,383,148,357,223,970,61,267,614,907,870,294,765,44,929,684,340,638,161,337,165,297
592,533,16,438,62,53,165,526,269,728,14,970,116,889,96,114,79,684,705,475,790,812,295,821,732,926,514,38,577,91,483,0,52,89,960,792,480,409,977,957
48,375,287,480,645,675,588,62,16,949,739,765,243,134,864,143,323,889,730,624,585,15,285,851,142,333,29,97,156,87,269,265,742,190,332,558,49,78,118,217
861,87,217,62,979,602,482,892,871,821,445,326,909,41,240,158,127,52,450,57,575,160,64,374,808,434,10,16,889,142,627,135,159,339,929,429,605,533,322,333
409,91,706,165,930,457,62,810,581,142,445,748,475,615,300,872,724,537,563,829,50,793,21,323,70,898,975,359,482,892,466,627,390,643,645,269,751,848,695,884
