16,111
125,139
62,810
187,128
96,45
323,889
684,16
700,959
81,842
151,709
196,756
461,476
957,323
515,977
62,559
979,480
695,62
700,581
697,142
852,326
736,606
733,973
871,331
515,797
326,10
209,74
245,637
161,142
326,269
492,62
445,299
733,846
20,733
864,981
269,241
908,480
481,371
688,864
810,269
326,62
656,977
445,503
58,864
16,565
144,603
222,142
153,702
977,619
813,405
338,62
780,323
954,357
142,457
864,909
79,62
103,796
889,323
278,53
748,295
955,56
928,982
326,890
318,455
142,805
492,848
480,409
943,305
652,38
482,931
98,176
983,429
445,730
569,465
347,323
167,329
597,115
920,240
615,589
410,589
931,300
142,757
813,819
184,445
598,979
378,875
970,646
930,23
448,765
269,947
514,871
255,16
16,662
977,646
603,439
133,638
166,384
943,169
326,810
864,548
326,223
323,886
245,810
852,539
62,889
46,146
222,834
132,333
269,118
298,62
890,628
756,581
779,526
77,315
406,813
680,318
0,87
431,898
790,636
445,695
666,146
163,864
56,515
447,348
952,142
235,126
348,142
142,60
696,426
618,658
977,720
165,790
705,846
889,365
214,733
873,751
599,146
326,661
256,478
703,108
410,458
924,5
915,672
266,62
409,645
930,326
333,329
378,977
889,864
874,972
327,114
295,222
781,426
385,202
904,305
62,253
687,235
142,744
756,613
733,854
891,719
703,188
588,142
326,467
964,630
62,654
495,323
875,651
967,19
467,52
345,100
440,163
193,62
681,326
79,135
360,810
941,688
142,56
322,581
142,810
447,163
892,222
121,165
752,360
174,53
707,889
323,813
750,282
688,797
977,16
348,709
326,482
821,165
142,306
62,445
222,131
459,541
323,142
634,172
14,449
781,441
16,600
576,703
544,728
719,282
984,832
409,792
165,377
791,504
197,357
526,647
392,269
703,173
909,569
146,710
636,79
486,492
724,569
974,550
730,908
142,28
62,409
142,634
136,323
87,785
16,215
142,767
142,703
905,300
810,146
142,410
146,601
589,1
142,938
747,513
802,142
983,142
548,165
956,892
475,822
809,265
269,612
646,907
889,323
787,406
681,537
68,124
62,406
480,165
307,409
885,269
983,798
523,269
24,845
940,144
295,791
813,928
87,666
436,960
326,165
0,503
70,438
296,222
475,66
378,62
482,756
144,207
209,339
813,947
785,285
233,480
466,146
213,360
300,645
695,711
78,634
445,295
552,889
65,956
392,960
537,955
68,272
323,697
326,16
898,445
187,329
101,927
581,756
62,289
326,269
62,16
269,118
301,612
742,813
79,864
760,495
680,960
919,165
142,445
733,794
460,62
960,98
91,793
188,432
70,384
38,843
558,7
738,695
810,871
355,62
16,222
726,76
569,144
619,348
233,727
331,360
684,222
546,222
134,222
62,378
772,447
375,142
296,810
645,445
326,323
730,713
694,909
516,146
62,756
875,821
639,142
813,821
81,715
892,756
