38,761,16,721,222,405,291,330,786,62,949,165,637,823,569,696,494,442,880,930,851,14,620,781,515,438
612,602,68,692,603,409,62,445,680,779,404,958,222,526,684,738,32,774,16,336,833,966,142,165,875,415
62,828,450,889,979,668,40,68,59,240,752,977,142,155,827,810,288,865,890,596,613,475,355,854,699,390
482,370,533,190,191,779,702,898,357,447,979,58,323,142,273,98,333,165,133,579,202,62,354,440,892,715
621,598,756,897,79,62,971,269,141,475,642,541,16,514,711,813,118,668,474,523,375,267,526,410,871,149
948,645,765,579,733,121,205,889,142,445,57,69,526,62,892,56,338,756,703,307,159,875,16,915,954,621
509,175,482,603,468,523,242,889,269,174,87,433,628,144,402,106,335,445,274,882,821,745,645,407,444,285
63,165,479,140,507,702,977,767,76,117,726,62,751,478,320,405,269,299,618,720,494,892,146,701,326,756
79,495,142,459,623,514,53,326,209,681,550,812,871,273,470,132,810,921,405,433,62,431,294,618,861,713
115,864,142,792,821,834,87,409,473,404,44,815,514,477,123,693,587,165,724,646,892,444,482,285,340,810
62,291,142,727,323,593,810,937,559,154,374,65,294,703,550,260,123,16,681,672,668,616,58,122,354,105
695,151,78,399,142,384,119,975,875,889,83,482,32,756,662,96,523,323,899,708,269,947,837,84,435,840
267,792,512,892,62,533,779,853,756,485,810,528,967,55,475,648,762,24,116,222,877,142,875,977,879,728
447,396,889,280,738,326,62,146,132,728,851,828,523,532,546,459,269,752,106,40,222,348,867,376,2,744
666,62,142,165,197,225,311,700,445,23,886,447,144,409,742,746,832,695,662,425,478,335,892,3,58,550
397,938,492,853,62,165,514,929,296,4,628,209,142,414,910,859,97,16,645,944,810,642,622,409,10,367
300,585,46,133,779,31,700,801,695,428,234,142,295,329,245,116,87,100,824,222,968,482,21,137,838,283
207,793,814,383,11,630,938,724,502,831,438,597,142,370,535,16,269,326,475,285,222,62,100,746,19,863
350,142,129,738,929,134,789,821,62,155,448,56,106,886,16,796,920,756,128,287,4,587,285,813,665,623
850,142,681,62,52,860,205,269,617,594,165,873,25,760,772,710,567,409,297,199,445,61,533,324,889,548
810,794,62,738,146,326,353,695,76,472,792,311,509,874,142,589,172,752,764,0,739,218,573,747,391,313
340,16,668,269,446,294,959,892,62,793,0,771,142,897,489,915,116,651,486,14,495,889,525,849,234,33
139,695,153,38,62,142,645,783,269,668,960,681,70,0,881,440,222,326,628,810,77,979,392,763,207,368
952,457,646,282,785,142,451,602,475,269,207,138,170,943,854,21,224,810,16,480,892,202,979,627,889,9
432,569,906,78,376,559,120,332,60,142,269,333,354,223,810,335,299,558,830,62,245,480,287,445,285,983
16,821,144,269,478,533,503,79,875,62,761,323,969,975,813,618,628,53,475,588,791,511,864,795,142,204
154,571,783,165,979,756,445,171,61,786,422,485,816,961,287,439,323,269,644,335,291,392,222,791,960,470
62,445,560,144,5,751,273,837,564,12,979,756,68,287,354,321,435,415,194,142,569,699,237,722,359,886
