142,434,668,26,814,446,569,16,791,600,943,62,813,860,269,931,515,56,393,411,756,404,957,160,565
699,475,177,62,745,670,342,947,269,118,144,424,837,797,14,175,838,329,514,533,288,93,42,16,444
209,326,148,765,142,16,309,256,813,269,810,132,621,553,892,445,56,643,84,727,612,222,491,187,295
368,701,445,751,147,847,142,668,212,947,318,21,344,620,983,163,813,791,369,248,70,755,705,412,695
222,409,209,302,892,260,930,754,790,207,146,184,781,809,581,926,345,785,654,530,7,268,318,142,62
619,171,480,142,240,851,0,982,447,85,326,108,457,66,173,815,261,568,813,908,153,5,814,507,376
62,533,165,569,204,141,756,681,142,209,219,523,578,222,445,447,448,328,414,410,781,286,370,684,248
628,62,815,87,326,244,681,128,299,482,810,183,756,91,602,176,389,969,889,142,632,633,501,533,518
646,20,881,805,661,222,875,16,142,151,482,765,62,595,295,779,260,106,889,518,943,778,715,541,178
634,267,785,535,62,853,254,457,44,360,81,287,366,351,10,440,95,674,298,684,174,222,142,893,374
784,184,135,977,56,630,147,709,727,480,323,83,964,505,571,146,299,285,533,428,979,715,482,320,445
269,255,669,454,326,134,195,756,445,33,482,533,166,410,872,56,930,62,752,577,120,457,16,724,142
142,643,269,99,165,881,921,799,797,68,587,324,789,390,871,821,151,978,44,627,684,482,887,79,695
315,81,390,86,691,959,110,668,62,632,330,931,894,287,506,826,73,142,457,898,705,120,323,494,583
222,892,62,620,464,480,87,828,335,844,943,540,482,453,642,881,165,142,684,234,829,728,73,135,326
875,581,269,684,81,816,120,573,105,405,165,977,483,433,919,753,889,901,929,281,577,482,968,199,703
32,323,544,576,340,961,846,62,681,492,146,756,300,482,142,970,581,20,514,314,821,789,792,233,622
482,87,112,323,119,300,142,645,336,533,724,445,971,854,713,872,943,779,849,907,790,810,269,165,161
16,146,89,91,959,646,639,375,659,222,482,332,641,56,1,649,355,583,813,194,664,689,860,603,474
369,612,291,931,447,287,405,323,889,326,963,860,203,821,838,638,166,910,618,695,702,535,523,742,412
16,541,142,62,645,480,756,326,941,550,223,447,661,963,83,261,482,620,924,846,248,269,136,87,281
