711,238,424,165,323,606,646,813,757,702,374,105,62,121,211,76,269,696,881,775,938,929,240,385,470,756,878,492,853,556,195,794,733,98,687,390,838,673,751,16,159,415
445,871,923,384,881,480,936,943,592,446,24,393,122,648,875,165,879,429,288,659,909,269,645,812,451,62,19,415,204,778,825,47,142,864,447,756,571,983,810,342,16,244
331,120,741,579,698,173,482,765,222,142,99,783,810,669,525,165,818,374,62,578,181,979,756,837,662,215,448,645,950,44,643,969,790,533,81,450,857,977,247,16,668,791
87,560,145,482,142,405,347,820,493,824,533,326,62,738,165,810,23,373,222,445,297,240,882,369,925,970,58,952,172,360,16,779,638,288,492,446,548,91,296,307,269,756
720,467,261,871,142,977,596,813,83,666,442,482,636,514,62,165,197,982,335,297,423,162,424,326,839,0,318,810,963,300,56,68,674,797,649,260,340,790,223,760,354,296
142,723,144,705,369,976,269,375,62,756,95,212,881,405,926,79,168,718,900,615,891,31,892,578,519,339,120,579,889,445,955,659,492,950,588,111,645,27,853,23,929,323
245,752,927,695,16,161,142,617,330,100,627,62,741,77,138,482,268,585,445,681,553,11,301,496,802,756,266,402,698,963,813,52,892,65,791,409,691,668,146,900,584,269
977,896,881,165,514,445,62,269,174,972,194,245,133,813,97,630,634,142,233,917,424,126,441,958,222,835,56,482,765,864,693,400,14,646,350,387,261,235,457,2,710,87
723,963,969,593,269,810,24,142,557,289,231,470,62,472,703,144,615,48,33,213,190,442,0,645,345,853,157,790,482,480,16,533,751,279,782,523,756,354,340,527,797,242
457,947,87,475,445,134,610,323,319,24,62,482,618,875,354,81,984,929,69,790,91,634,326,294,671,142,756,787,874,969,889,516,864,439,222,99,879,260,603,120,56,401
81,296,16,983,92,413,651,176,662,625,816,397,165,596,358,854,790,8,326,757,62,142,746,548,899,764,728,523,900,385,403,427,269,82,798,684,241,955,634,756,695,639
892,142,21,724,761,526,821,977,662,222,326,533,42,410,641,16,889,446,775,756,875,813,766,191,518,354,176,323,744,106,333,315,728,296,329,720,698,943,682,791,83,936
813,466,222,918,300,96,269,323,947,155,684,788,499,472,91,16,748,73,21,115,645,296,979,332,142,792,0,523,445,533,562,333,797,539,234,809,273,821,305,492,909,62
659,760,969,892,70,62,390,839,491,781,963,559,332,165,958,142,513,537,387,157,794,245,116,326,143,16,445,810,340,87,481,323,429,849,325,977,921,138,638,437,495,311
62,603,646,165,320,753,323,194,294,315,142,838,445,28,465,344,468,950,587,710,146,326,729,837,27,56,639,969,850,777,820,251,482,779,943,10,892,269,173,958,222,33
839,833,428,813,756,62,155,533,0,269,89,536,955,315,142,479,747,693,68,323,801,289,92,810,791,875,282,824,668,326,638,821,209,899,24,364,19,781,523,133,165,773
875,191,769,593,142,302,977,785,136,528,480,982,754,56,680,114,821,269,938,557,726,116,559,703,779,410,565,62,166,91,33,28,482,53,224,755,813,649,634,761,345,436
817,381,62,110,979,616,634,875,631,142,131,136,160,18,16,497,222,792,323,71,0,268,618,813,484,344,816,450,765,195,93,447,146,90,182,646,873,144,68,529,711,269
194,137,548,310,480,969,93,374,813,431,618,375,424,626,523,879,792,379,215,142,538,326,649,420,384,372,466,87,281,962,516,132,775,323,514,62,569,834,810,695,328,16
780,790,571,421,16,340,955,872,142,34,62,362,405,864,445,695,511,209,79,186,211,165,809,44,692,507,957,234,816,701,161,173,718,828,926,765,810,933,983,179,184,821
480,457,691,154,913,892,3,943,222,62,172,703,533,142,155,339,326,889,578,641,564,482,157,354,425,939,194,681,445,10,760,652,789,859,576,875,357,810,663,468,970,1
603,244,142,74,273,91,445,756,2,690,442,908,326,546,35,875,714,16,852,504,917,516,21,291,323,81,37,591,636,93,507,62,222,641,289,823,165,346,889,954,800,146
142,871,56,291,918,797,926,375,885,300,829,84,832,909,17,546,62,978,831,475,296,813,151,7,514,549,16,943,668,239,119,259,122,25,676,40,323,949,222,979,31,681
975,323,114,736,921,142,950,482,628,955,877,326,405,16,895,267,164,411,324,890,44,775,62,703,576,61,83,615,984,74,881,792,791,875,765,135,578,810,675,308,758,961
222,977,62,809,294,29,335,426,292,810,634,142,323,695,864,291,875,74,585,982,952,269,568,927,761,871,445,507,16,242,165,212,326,550,266,436,324,813,333,256,68,115
680,62,482,58,907,668,16,480,649,889,19,410,59,191,142,834,653,810,571,345,87,875,52,287,269,776,682,830,26,509,983,222,644,881,91,838,641,906,252,703,726,332
587,46,16,277,581,179,919,591,756,328,310,445,790,779,326,982,865,977,974,638,470,636,142,813,81,62,1,889,928,341,713,385,296,165,133,350,323,559,666,52,222,706
790,282,256,390,122,909,628,37,695,142,207,222,819,641,775,255,492,981,756,834,743,300,919,821,313,782,668,448,269,961,79,62,226,479,445,585,559,824,741,738,779,405
62,23,655,549,952,149,199,501,790,169,20,586,710,265,611,745,21,142,16,167,855,326,492,180,643,889,682,876,929,54,44,756,144,106,588,962,0,81,405,430,903,33
615,581,501,300,56,26,326,947,457,345,260,445,775,187,21,245,414,166,144,889,165,152,142,62,905,79,146,706,290,961,981,405,750,756,480,20,585,816,901,0,577,298
975,445,282,824,142,261,832,165,215,326,297,533,88,843,710,38,477,977,105,776,747,979,428,62,641,491,87,840,368,341,16,480,581,269,455,657,821,679,670,101,76,966
56,16,416,298,338,60,706,142,809,324,700,550,892,466,795,551,222,7,215,924,184,559,482,875,926,843,680,775,848,62,10,268,267,472,92,762,812,646,516,375,388,226
548,929,896,348,949,389,674,773,41,511,426,808,898,269,979,406,497,183,694,87,467,603,909,254,865,119,345,889,38,58,165,62,326,7,559,576,333,961,952,80,977,983
400,565,142,245,85,95,572,62,269,110,401,581,20,651,222,445,482,323,895,701,164,68,440,596,898,32,306,943,695,452,780,885,23,144,163,813,907,443,326,892,30,300
630,142,889,756,56,739,475,489,470,725,977,128,668,69,480,732,62,16,681,280,269,397,234,826,542,180,760,539,900,559,453,929,187,90,466,886,222,329,596,835,45,38
695,482,165,332,918,197,714,983,688,724,635,56,326,445,514,652,618,17,575,269,533,72,502,266,323,142,900,862,873,775,814,116,190,979,113,581,401,755,62,813,780,795
848,482,146,149,16,827,447,55,270,142,616,79,203,569,222,645,533,627,370,87,62,480,393,424,947,738,668,269,963,692,256,305,133,118,756,14,695,58,890,891,91,218
790,230,768,695,445,645,326,142,19,410,62,984,271,925,294,703,499,73,375,678,476,332,779,668,222,16,843,89,627,694,692,314,180,514,251,888,602,14,68,120,578,276
233,142,323,333,248,792,292,74,16,846,706,445,134,62,681,774,508,164,646,890,639,816,222,288,854,535,450,809,526,587,528,139,44,708,0,50,348,875,959,477,80,935
854,445,906,668,821,910,859,447,756,377,891,142,480,810,848,684,109,165,606,16,516,714,412,707,892,146,947,23,62,108,779,326,983,104,178,323,263,0,820,12,844,728
62,929,668,269,438,629,781,142,56,357,499,718,323,637,396,33,424,732,666,167,445,218,70,299,95,410,245,146,358,376,791,977,533,87,209,581,179,354,23,695,703,26
708,621,240,958,785,248,296,743,46,644,142,265,784,715,837,881,83,875,889,269,835,789,947,106,821,33,335,486,439,480,21,326,703,445,16,344,175,559,482,56,52,222
79,638,142,814,291,144,148,5,478,230,0,775,269,845,462,892,260,378,62,222,779,390,764,482,87,441,583,329,56,409,335,756,680,783,908,767,457,128,99,889,821,326
282,864,142,744,326,227,881,62,125,81,745,900,377,585,245,145,87,412,793,832,473,912,889,155,99,79,756,296,254,212,648,1,957,294,409,605,802,682,222,165,445,146
