863,296,875,482,409,816,379,62,142,277,858,405,273,943,737,201,236,274,141,195,495,385,810,718,744,806,524,16,281,889,958,169,83,269,50,533,222,441,977,623,68,879,677,311,748
405,73,468,637,889,732,378,639,142,684,105,62,550,131,451,326,850,643,695,283,929,943,70,865,963,714,523,98,28,248,560,921,874,783,273,779,161,595,581,730,269,222,91,949,593
62,765,790,695,568,578,710,497,833,477,875,907,165,889,753,789,682,764,350,105,675,161,144,433,979,871,533,16,646,311,335,155,522,81,74,409,524,643,362,147,8,585,810,354,323
874,655,522,562,806,628,533,445,222,46,635,859,773,385,892,526,323,23,156,375,70,875,742,834,484,602,854,245,634,89,482,175,694,144,733,597,429,56,142,424,446,20,571,450,269
39,813,728,928,957,947,949,183,62,786,269,76,19,900,952,689,924,480,615,223,889,116,430,482,977,541,165,295,404,605,756,106,151,695,523,302,876,712,16,142,621,659,682,298,668
33,447,892,392,106,558,812,776,142,830,813,708,143,385,790,765,889,71,144,407,838,457,797,938,495,182,326,207,529,208,405,482,46,384,802,445,746,56,952,222,924,273,854,110,728
645,326,821,400,669,260,62,514,891,585,480,522,594,268,269,943,653,830,287,797,370,507,142,730,58,193,643,13,2,92,533,16,381,323,815,740,36,228,457,482,651,357,165,479,21
514,16,385,925,756,84,337,703,305,444,810,205,795,324,620,366,628,272,323,315,483,675,479,407,434,762,772,720,663,12,861,165,118,142,551,20,381,728,445,46,295,163,440,779,326
144,128,973,142,60,482,222,17,756,9,406,511,785,280,898,816,662,330,56,62,269,248,335,10,182,514,146,813,155,540,79,165,445,685,881,405,808,240,287,2,81,251,52,889,967
42,62,905,56,692,949,665,323,142,783,728,700,884,929,864,215,475,150,903,535,503,173,282,428,133,514,668,618,236,927,10,405,363,241,348,248,326,61,969,156,79,966,710,813,70
889,62,142,740,790,737,660,428,79,756,864,328,484,581,695,269,403,498,639,115,499,681,948,78,88,326,746,949,578,447,697,283,203,123,813,810,16,598,73,81,645,612,668,179,666
755,977,480,794,6,267,255,628,299,695,452,62,634,142,791,952,673,222,165,372,482,895,743,680,10,167,541,596,326,515,440,26,492,86,243,297,445,375,718,671,728,764,666,881,649
501,918,857,521,889,142,654,762,83,646,430,511,781,445,223,20,409,289,517,311,222,482,810,357,165,16,515,95,480,764,963,795,854,462,245,275,323,821,376,339,269,731,335,606,756
16,85,43,323,798,748,165,482,447,645,794,62,492,291,886,522,48,144,56,548,864,832,142,428,520,480,581,133,426,269,411,18,639,792,495,684,68,475,146,293,695,312,187,649,756
192,666,720,447,576,16,142,773,67,802,498,627,410,323,911,835,649,492,5,250,65,789,316,409,612,136,326,615,813,503,329,522,333,52,273,445,335,271,42,463,913,892,705,62,348
209,838,142,723,573,544,939,300,62,748,979,243,797,480,813,489,452,120,518,648,144,336,516,603,165,533,151,411,227,56,845,844,340,170,311,291,807,218,618,198,747,91,329,715,865
197,983,141,300,165,270,25,540,396,971,788,62,412,240,91,663,191,871,297,457,755,44,390,440,375,722,318,222,248,950,438,508,48,684,669,889,317,259,16,299,332,376,854,557,146
62,566,573,969,494,473,142,571,5,672,890,333,409,239,209,392,335,668,10,406,752,16,789,681,53,1,52,538,615,781,445,299,779,889,921,313,807,780,146,480,514,491,344,910,646
333,105,634,772,288,440,45,791,628,812,892,332,482,325,142,409,295,99,375,576,644,860,62,838,167,16,291,615,779,204,696,87,810,864,767,219,448,605,111,960,484,636,801,296,889
595,323,354,445,616,385,142,241,788,943,813,222,733,301,568,245,269,56,792,845,673,889,909,14,783,952,581,62,335,170,92,451,326,570,983,223,226,16,441,95,121,267,482,728,447
921,326,695,422,62,142,218,21,673,162,738,889,445,576,485,50,482,797,144,983,58,329,653,975,681,33,16,44,950,533,0,657,409,396,323,559,515,56,808,943,37,432,646,259,806
528,120,699,142,390,416,34,584,860,804,559,581,676,222,810,413,632,354,886,728,959,750,903,713,428,821,323,864,81,180,952,99,157,958,828,241,687,16,89,671,837,106,445,379,248
0,651,445,70,889,251,269,756,105,411,512,421,864,968,326,406,56,184,62,4,662,541,146,533,189,582,282,947,602,645,810,191,641,102,384,809,676,813,482,334,871,323,480,468,588
257,142,447,537,147,502,677,762,653,87,335,850,689,952,62,480,947,287,585,479,879,118,241,949,571,550,584,378,80,889,695,61,382,523,844,638,600,213,809,672,319,269,532,668,151
440,464,212,50,189,445,733,375,324,943,240,256,911,269,306,480,940,537,70,645,615,634,790,69,814,756,99,551,79,610,411,810,16,695,473,222,332,889,508,545,748,9,203,46,628
62,323,821,457,645,142,231,982,983,424,53,412,627,508,337,889,921,16,533,151,634,695,335,295,31,189,222,909,218,480,494,274,597,615,810,84,497,783,144,269,618,475,81,875,757
410,323,62,937,556,695,653,482,889,670,326,949,16,285,529,772,333,295,270,780,662,142,165,634,2,422,907,144,445,459,809,892,544,875,543,686,827,143,78,501,537,33,951,159,729
705,52,62,979,217,165,756,669,16,648,538,175,205,142,607,746,475,727,837,795,939,681,81,582,134,813,329,512,929,82,17,118,14,445,713,804,853,323,482,960,720,955,119,101,133
754,566,62,405,827,163,235,478,56,879,142,864,779,970,87,49,369,539,295,881,370,581,983,943,728,604,447,889,444,509,757,648,615,657,684,703,552,536,32,929,323,762,612,821,144
685,335,889,533,323,791,142,58,348,742,790,572,515,703,607,875,332,970,62,983,384,400,40,430,955,475,568,326,283,730,523,552,979,813,569,746,482,269,51,834,695,53,296,898,625
813,165,16,91,439,482,838,79,872,62,822,675,736,809,287,641,892,409,453,756,898,889,777,375,338,86,142,347,632,84,647,379,567,144,946,429,491,220,956,943,326,569,146,638,802
756,56,142,332,672,5,504,62,964,99,943,957,645,323,241,638,983,961,495,295,485,151,458,10,393,326,42,733,176,787,785,155,815,907,548,746,110,55,375,821,727,20,16,881,537
783,475,438,410,142,568,494,109,602,472,207,784,577,165,889,638,492,269,732,409,287,566,326,225,33,26,282,14,979,757,62,871,241,911,133,453,405,294,848,146,222,338,424,144,81
39,746,975,142,62,704,952,700,87,294,445,943,477,160,813,10,144,256,155,26,409,747,720,159,323,110,291,300,335,656,1,194,781,279,85,345,899,209,898,496,324,447,828,809,613
