875,295,146,114,751,703,390,645,79,974,967,870,762,137,68,132,119,905,909,297,60,668,783,234,704,598,756,323
756,601,514,612,323,845,634,499,142,269,78,881,617,577,326,428,62,983,482,340,366,561,79,977,648,378,615,865
952,521,782,718,70,589,25,501,99,480,332,813,764,567,378,142,794,289,394,889,728,428,638,87,767,107,5,261
251,548,142,952,226,16,62,957,645,218,445,533,780,165,326,775,810,14,20,295,756,875,872,703,118,583,87,480
142,832,699,542,782,512,62,234,448,695,441,673,323,84,457,975,188,789,144,947,537,357,536,514,720,875,305,596
226,73,786,913,889,218,285,971,40,298,728,954,326,582,977,521,857,142,79,62,54,639,358,387,191,311,222,135
866,392,297,62,504,695,639,265,587,405,821,154,859,142,269,173,484,363,561,66,326,151,445,810,15,454,782,838
142,208,478,902,331,23,301,845,332,269,612,66,482,326,407,76,892,949,585,779,192,281,202,445,720,251,354,168
340,269,523,764,784,854,808,440,165,577,638,810,79,732,181,376,62,273,205,790,552,838,791,881,649,648,297,516
366,748,56,668,931,712,272,89,16,453,29,813,947,480,538,966,899,885,165,684,927,907,508,335,142,342,790,851
470,174,389,295,433,81,445,62,142,198,834,552,634,606,16,546,409,326,852,203,706,947,106,533,949,397,709,822
121,445,269,882,943,740,221,672,466,191,348,516,142,62,378,952,295,20,447,851,821,340,64,638,144,748,294,31
548,676,416,695,305,746,889,142,977,40,170,370,557,475,45,983,86,183,184,193,929,267,33,218,928,514,610,756
346,482,84,639,551,323,124,813,632,871,380,634,970,853,850,142,451,424,160,224,279,296,56,598,407,195,343,597
419,389,440,952,166,62,913,813,892,100,781,480,800,797,121,302,824,482,222,446,942,209,412,681,45,16,729,576
62,540,91,956,23,728,16,214,911,559,323,387,813,791,969,467,44,806,222,881,235,983,966,51,838,142,695,332
681,685,245,120,115,892,642,638,273,1,62,323,326,157,295,16,399,324,226,889,790,32,269,20,445,475,191,354
975,582,906,142,133,482,324,732,280,571,634,62,287,492,161,295,480,769,416,53,45,89,947,407,364,270,56,445
662,813,688,56,931,41,668,645,756,598,120,208,748,144,973,335,142,416,915,826,642,140,367,838,160,764,783,865
977,142,269,335,681,26,782,62,684,810,943,523,724,947,323,958,56,518,166,430,34,593,480,445,375,405,979,437
