585,678,142,889,319,500,445,184,62,33,269,779,440,969,781,931,594,660,725,357,102,797,875,559,732,480,695,905,83,470,333,943,85
15,329,300,756,576,979,277,14,585,898,222,295,645,869,445,813,19,280,680,52,142,129,928,929,241,866,983,144,638,790,401,233,516
813,565,984,461,762,294,323,457,92,261,445,970,409,779,332,482,56,602,668,168,733,354,208,142,175,792,62,548,755,86,384,892,166
323,143,16,62,297,222,445,333,810,581,464,949,142,344,792,485,152,871,480,385,139,736,165,639,662,889,756,552,952,695,448,790,196
834,142,726,222,893,756,152,269,456,399,323,480,907,62,586,873,676,797,345,87,908,91,127,181,504,428,815,810,84,654,41,523,615
514,486,0,958,62,746,942,975,676,118,97,429,547,341,20,756,959,323,608,78,795,326,271,10,447,893,791,121,410,142,829,330,924
103,62,378,681,10,602,921,708,848,142,222,821,300,665,953,56,643,245,269,323,446,618,440,947,646,338,357,161,0,738,260,154,864
62,16,287,323,91,217,321,89,405,762,581,447,142,804,909,404,281,77,900,28,666,187,930,482,354,700,889,565,729,326,823,648,40
883,875,959,768,333,926,165,88,979,142,494,813,209,522,482,489,783,87,853,16,466,810,977,881,371,646,874,18,579,324,118,139,379
323,441,56,384,16,480,326,62,142,316,790,705,165,222,908,25,470,613,732,889,173,944,190,65,776,723,824,477,983,351,486,875,3
62,551,173,212,514,480,557,39,403,134,472,615,129,292,281,756,971,269,198,792,456,848,977,264,142,714,950,901,482,703,466,864,928
477,19,323,949,269,146,810,445,100,142,699,375,326,333,185,68,52,329,338,710,422,62,711,621,733,631,144,606,280,466,889,979,702
475,335,62,478,218,736,762,634,378,269,931,585,406,142,103,181,289,167,404,792,856,294,505,156,341,645,874,695,480,205,385,779,305
853,323,599,332,830,326,947,889,473,245,775,652,267,142,18,632,482,794,10,656,62,390,605,581,527,16,539,831,781,808,711,273,222
245,203,858,596,616,323,963,588,950,174,142,405,598,724,605,19,452,662,957,480,889,16,634,857,482,581,100,335,936,269,445,853,81
733,62,646,142,434,219,116,571,124,369,797,455,910,912,970,269,895,457,949,385,813,672,56,333,480,339,626,108,440,79,679,889,963
585,142,938,629,781,91,56,983,860,810,907,62,312,100,79,222,353,14,813,633,638,144,828,121,776,497,702,756,871,280,950,143,785
