943,529,977,269,16,818,476,971,62,38,146,294,668,288,439,895,763,222,118,810,44,338,142,531,581,728,344,629,56,790,323,257,131,333,170,482,339,821,52,889,749,492,579,505,354,792,341,548,383,335,445,643,284,255,748,392,688,93,287,779
165,472,287,142,533,202,567,761,465,695,62,618,935,428,260,482,853,130,269,73,345,0,531,889,299,926,505,154,323,868,938,563,350,419,779,480,74,550,569,687,326,634,638,222,447,362,79,509,714,813,109,483,304,511,875,845,231,821,921,423
62,751,587,552,256,645,884,583,355,131,401,861,977,108,722,248,482,170,681,60,323,269,982,981,480,71,142,776,16,0,779,438,293,486,810,326,889,281,319,338,295,973,445,817,10,723,898,158,588,300,165,816,756,87,406,748,668,330,849,792
836,504,808,142,290,323,712,617,312,449,226,269,79,445,139,10,682,646,146,16,509,840,392,177,480,812,377,388,172,638,432,315,918,116,194,681,728,937,568,529,581,580,375,903,645,732,202,464,890,62,297,905,357,563,165,587,864,733,598,576
875,553,341,20,533,447,813,142,596,835,269,340,782,612,44,81,514,797,947,746,777,871,245,608,740,559,52,99,326,984,62,165,756,615,56,977,587,270,207,646,620,979,394,370,970,638,581,482,387,376,152,895,16,508,475,691,79,10,144,539
434,552,294,558,553,628,338,142,681,466,480,155,335,135,269,442,748,619,404,641,62,218,559,854,81,691,374,270,332,222,405,667,482,662,16,809,345,492,107,703,154,643,303,690,82,668,249,120,267,603,422,781,385,89,263,853,810,864,651,943
858,142,348,254,222,695,668,883,426,141,813,56,21,732,165,8,238,342,738,269,716,710,952,494,81,215,779,742,482,728,32,323,587,983,62,849,416,810,480,53,315,363,445,864,835,756,792,149,654,339,975,885,940,977,926,821,87,721,859,16
438,142,548,733,889,492,779,681,528,669,199,746,588,810,256,254,591,646,229,689,597,323,48,180,981,240,119,821,550,957,572,282,600,241,963,60,326,819,633,291,81,790,609,668,8,220,892,834,62,238,979,482,918,977,88,83,369,926,338,537
62,389,445,402,781,853,552,591,694,617,870,600,465,577,16,626,85,165,19,203,603,756,678,50,813,134,559,358,369,810,650,605,752,791,38,748,983,155,775,174,677,584,31,947,142,695,260,589,821,720,859,801,533,266,482,70,904,657,269,222
977,861,569,959,133,56,975,44,596,495,482,62,102,687,902,323,278,142,813,761,269,374,943,681,554,964,698,144,603,533,123,792,810,514,354,918,33,643,538,657,952,779,91,445,752,889,894,756,971,326,646,853,883,207,480,340,332,747,305,74
