324,6,62,857,644,142,875,488,222,346,728,392,405,129,241,569,165,256,197,575,0,440,144,166,480,746,470,290,323,671,781,58,81,892
326,969,62,248,315,951,816,858,952,638,388,106,628,892,216,10,889,228,792,274,821,142,375,83,413,730,881,135,790,409,76,979,240,908
865,47,779,853,142,666,392,637,188,649,700,326,445,706,181,32,508,889,62,249,37,38,14,732,144,809,785,813,480,389,846,746,581,538
764,25,66,544,323,864,62,754,666,315,142,878,56,369,581,665,482,440,363,738,309,792,480,889,52,144,672,116,79,596,627,390,128,16
824,434,508,151,969,142,668,269,16,62,649,810,326,406,714,482,0,726,718,323,91,835,198,813,285,270,51,681,89,428,950,447,769,798
76,480,641,295,638,79,159,764,561,62,269,26,305,864,809,193,142,492,949,184,477,813,356,144,695,723,968,56,286,943,204,323,146,405
106,592,889,914,681,255,433,340,58,357,634,392,854,628,324,606,16,221,924,514,222,23,142,557,792,480,165,428,445,460,269,783,816,661
255,23,445,316,142,712,250,523,300,783,62,943,269,291,479,404,433,16,933,849,496,326,405,447,695,653,889,765,43,699,110,756,248,56
62,222,813,482,618,762,620,475,451,923,330,548,168,245,165,615,765,70,956,256,157,142,270,596,445,358,915,324,493,829,756,379,818,938
91,277,772,445,797,593,596,340,404,843,612,810,898,266,297,142,588,695,920,38,440,326,222,357,269,162,62,14,480,482,23,657,167,302
445,451,482,728,703,813,461,829,935,583,28,326,91,254,142,571,73,354,62,790,8,222,171,226,844,533,779,235,822,81,16,786,523,585
697,300,142,789,62,413,298,165,323,743,881,445,736,287,606,440,615,56,295,326,644,70,462,732,617,633,482,240,196,775,681,115,352,518
982,813,482,326,969,515,108,404,234,271,653,369,821,797,514,10,142,196,828,746,235,24,135,668,451,296,875,921,966,56,217,744,912,467
142,325,899,708,187,444,326,756,711,10,20,801,780,323,118,62,260,681,492,333,346,646,921,445,779,300,480,691,88,70,816,778,724,186
756,248,930,245,79,408,62,928,165,752,440,574,681,127,421,218,721,125,907,860,135,441,813,142,585,233,792,482,445,977,92,777,973,738
