114,62,261,792,447,135,0,756,790,779,390,621,269,142,14,684,326,909,833,810,89,81,151,604,865,837,518,889,813,480,491,642,581,379,144,165,654,644
323,712,335,630,445,29,311,357,142,792,865,457,2,602,628,280,547,526,413,768,151,652,203,810,190,859,779,227,62,52,56,269,222,914,565,174,892,524
561,790,19,427,106,864,748,93,632,571,596,343,983,583,95,444,889,938,62,447,593,209,142,222,750,299,302,16,241,452,235,797,746,60,480,645,269,885
92,864,703,269,142,291,876,366,581,592,889,851,924,790,918,56,596,472,808,87,768,905,748,695,173,285,522,62,105,728,182,498,508,326,829,23,634,753
829,918,305,475,602,438,813,962,682,165,142,785,743,548,810,638,538,0,62,792,323,44,514,666,340,101,128,369,445,56,269,793,756,788,409,325,779,332
62,445,500,892,327,475,205,385,875,779,843,654,514,472,467,142,889,297,537,947,180,452,596,397,23,728,569,10,300,282,520,346,799,737,706,703,480,619
269,303,646,786,875,779,142,905,889,75,222,929,957,681,781,345,507,806,712,738,414,215,83,40,66,864,581,146,144,16,641,405,294,300,598,396,813,794
912,544,62,909,235,295,389,451,222,142,606,17,269,443,727,881,790,340,332,684,439,318,349,581,245,889,16,52,957,592,781,695,297,624,185,746,730,546
822,44,105,818,668,794,639,542,287,245,241,585,389,963,597,149,813,771,958,863,142,289,568,294,581,91,127,837,69,482,572,598,779,323,399,45,680,645
93,506,339,684,514,142,1,46,323,76,446,229,621,269,662,55,307,18,375,647,144,834,234,166,507,73,947,832,632,889,821,645,810,19,68,495,680,966
756,142,746,558,296,89,144,953,636,645,0,174,324,133,269,16,459,574,361,375,438,330,737,748,445,846,546,354,151,198,889,542,475,62,585,810,512,35
875,738,515,273,16,684,637,581,550,654,62,668,482,38,864,882,889,180,553,338,3,161,318,813,388,870,99,165,556,324,768,852,433,357,834,911,850,106
695,142,977,766,100,617,392,448,132,903,747,659,684,588,403,44,971,480,150,190,235,326,62,949,466,569,792,682,373,960,17,813,509,260,354,963,118,191
445,142,905,5,533,183,578,323,73,931,895,412,197,222,692,954,293,74,872,23,324,287,203,726,618,577,797,400,79,482,402,58,415,628,806,457,62,957
326,889,880,741,752,963,553,650,732,646,62,323,16,142,106,200,864,845,943,103,514,125,369,305,316,160,234,689,673,432,871,78,521,856,147,585,269,914
357,142,281,326,62,56,532,116,821,581,87,14,241,612,949,703,957,772,315,889,900,676,639,84,45,864,331,299,947,260,577,301,140,482,238,165,808,568
149,344,326,746,537,261,165,783,809,495,759,323,60,890,689,712,492,686,587,581,894,154,397,607,429,62,494,370,815,875,142,127,517,672,756,889,915,482
434,892,584,712,323,91,756,733,21,261,875,260,938,582,941,311,480,62,437,215,254,317,699,577,64,785,494,1,451,940,20,326,203,165,790,37,767,142
16,813,550,142,165,29,779,865,144,62,739,908,603,638,675,6,260,43,405,222,738,759,120,323,188,886,705,875,526,152,87,354,756,836,736,746,195,114
