44,429,295,821,813,756,509,695,220,900,222,521,482,373,792,62,689,142,240,797,977,810,804
405,789,165,142,231,323,79,810,645,501,627,912,779,468,241,854,55,486,480,16,850,537,56
845,790,269,204,929,695,142,467,447,756,62,789,485,335,821,445,305,202,302,715,369,813,9
291,294,104,948,27,10,378,355,362,430,62,489,161,16,409,779,142,165,899,85,810,516,385
684,963,770,16,854,516,328,705,886,270,713,624,779,281,142,405,218,292,832,445,778,62,810
142,889,482,756,485,146,559,40,480,548,161,494,10,16,521,829,746,523,466,508,716,62,39
485,943,393,634,384,887,426,142,53,273,503,821,889,445,480,810,643,269,868,950,681,323,408
142,301,68,889,728,629,906,668,755,715,653,155,521,483,645,323,884,92,472,62,445,538,0
977,871,652,596,142,728,744,769,569,480,269,975,62,327,810,959,955,983,146,34,358,551,627
441,756,324,142,26,762,812,853,931,10,32,424,636,62,889,666,486,360,882,422,682,526,58
329,16,467,142,295,779,261,892,699,165,480,482,438,55,478,889,490,756,115,327,333,376,49
358,921,9,695,977,409,445,341,62,794,81,756,222,787,948,514,983,142,919,70,838,680,396
222,634,260,70,523,565,795,44,290,684,445,142,153,409,854,779,247,548,626,679,816,653,813
445,801,724,753,273,142,357,188,838,889,848,932,501,533,526,728,981,751,832,89,983,882,331
445,792,176,880,533,422,892,908,889,62,55,482,728,886,142,311,656,516,292,702,857,875,409
438,165,889,957,549,779,689,142,323,875,585,278,326,634,448,552,482,412,947,512,146,958,557
16,450,779,10,970,155,748,104,819,323,154,374,445,875,329,142,64,887,285,2,78,895,853
340,882,468,0,62,701,497,348,269,133,892,889,245,377,16,567,781,445,14,144,756,514,810
813,977,645,581,101,552,432,482,665,859,889,142,457,180,635,62,150,910,348,480,99,194,465
269,266,746,821,445,714,358,336,729,925,62,270,315,181,810,695,779,21,283,606,55,16,480
700,747,797,727,142,100,756,16,628,586,533,326,428,406,62,91,728,810,913,813,23,323,81
810,186,409,569,943,710,283,632,241,102,699,889,73,384,142,977,16,949,245,892,62,193,6
10,270,269,752,681,56,289,142,222,165,378,99,724,326,375,477,89,87,218,738,473,325,711
62,912,222,404,756,948,43,769,761,816,146,445,287,94,480,790,466,695,703,269,691,204,122
692,348,596,480,323,142,375,533,672,970,9,291,534,66,16,730,514,601,813,315,979,256,756
144,568,298,681,142,165,83,668,405,16,790,89,127,14,186,157,582,821,205,560,554,357,810
165,840,892,832,269,588,64,20,38,435,235,409,195,265,561,810,482,791,142,16,414,461,953
949,14,7,142,83,329,546,323,646,929,99,222,542,166,81,573,448,62,269,187,889,155,809
227,797,882,977,441,813,699,691,503,569,790,756,333,52,221,898,209,885,296,952,773,326,323
792,62,121,267,269,956,396,23,850,142,860,317,744,256,323,697,533,521,52,447,438,831,875
542,891,83,284,892,62,240,297,108,409,135,162,146,695,809,501,634,552,428,522,142,810,482
103,756,120,703,955,821,172,663,62,960,360,828,766,810,808,983,142,537,333,482,812,146,680
924,142,433,739,113,728,453,396,482,659,489,52,266,889,732,323,48,354,332,810,783,62,720
323,782,839,533,471,579,810,862,62,267,0,392,581,144,142,514,482,481,251,417,89,889,935
124,963,16,62,241,677,222,323,56,187,788,864,821,596,269,756,695,38,634,118,291,730,941
756,260,323,165,142,681,79,144,290,923,450,58,526,222,89,503,207,524,462,16,424,445,593
958,756,619,979,142,62,291,440,312,657,389,872,765,877,566,892,445,482,183,405,114,326,648
282,613,287,142,689,970,197,222,174,810,151,326,0,165,706,860,756,87,407,619,445,558,808
380,821,645,813,433,889,295,438,567,62,272,968,482,684,382,511,416,326,839,492,300,142,472
142,875,733,62,525,812,651,146,299,761,772,976,728,340,899,52,21,447,482,105,850,958,222
631,682,345,142,326,119,618,84,56,451,482,354,480,797,186,582,889,808,934,779,710,784,165
83,763,585,440,523,281,945,135,269,378,743,797,688,603,279,16,339,827,918,134,343,660,581
269,552,0,260,640,636,163,526,370,921,684,977,813,911,482,889,62,646,261,841,800,345,783
789,326,975,209,335,810,482,62,142,634,77,864,876,373,668,354,969,465,21,565,174,845,320
326,979,779,115,762,45,703,668,675,702,447,970,889,909,875,482,173,421,495,647,62,546,620
673,767,853,166,146,781,682,136,328,977,257,790,226,810,142,81,16,548,947,323,165,674,782
745,453,533,81,779,753,89,797,297,323,359,0,918,504,142,881,875,743,495,733,260,605,244
362,222,864,19,949,546,99,892,943,681,612,650,482,325,201,638,689,56,871,257,62,16,142
136,323,591,526,142,807,62,810,330,657,282,970,677,290,16,813,806,99,248,165,160,300,540
62,226,445,142,591,569,127,813,635,662,335,975,537,176,710,38,881,146,155,216,323,282,240
62,16,755,494,515,853,410,222,641,813,865,585,466,475,50,482,25,121,142,686,718,892,597
703,269,224,813,144,56,977,340,712,718,860,326,323,197,938,810,581,142,821,651,189,947,889
486,871,817,179,942,480,221,21,0,142,766,204,859,466,723,602,816,146,295,977,86,959,603
507,65,590,142,302,16,487,533,889,742,56,601,578,356,909,809,639,235,756,617,144,966,87
540,424,21,98,618,676,756,0,16,792,523,310,881,889,451,726,32,73,328,142,354,648,810
146,615,789,701,482,756,682,180,62,142,874,909,695,344,340,697,931,16,915,279,813,923,222
694,905,874,889,892,587,165,390,291,85,241,62,544,151,695,792,13,957,222,764,245,585,931
751,881,482,546,269,126,146,78,281,326,508,135,165,240,507,562,305,142,23,883,188,287,0
267,204,269,142,186,62,445,165,222,619,813,413,477,323,893,281,268,482,779,324,773,732,889
875,810,520,804,73,641,882,62,482,892,865,890,118,649,915,145,486,10,207,301,825,405,821
142,636,624,765,106,929,810,638,533,645,387,931,669,300,21,350,407,121,947,756,222,785,762
142,217,62,311,895,810,70,158,431,332,854,218,323,294,414,326,523,657,56,969,627,977,606
762,222,938,17,593,142,102,648,269,638,494,326,405,548,451,960,856,480,947,499,323,300,171
269,969,821,596,16,332,225,977,234,881,323,91,447,756,489,263,401,62,237,668,428,146,296
146,741,668,626,442,696,617,392,569,889,416,550,296,326,520,266,958,62,16,501,905,165,144
62,89,335,606,593,92,813,142,83,838,533,977,740,445,602,231,0,222,914,984,203,226,337
416,68,245,470,704,700,606,480,144,397,69,764,600,478,351,864,460,643,569,898,142,926,415
790,142,756,955,73,492,326,875,293,892,533,209,217,765,771,405,559,936,146,165,16,630,665
730,983,45,326,581,62,587,859,414,144,53,294,787,268,433,632,475,810,748,440,857,458,335
634,389,445,591,700,447,142,305,648,508,165,977,71,828,212,728,963,514,214,480,889,668,552
56,142,323,269,667,482,358,34,769,217,301,571,889,62,143,375,115,209,681,105,854,410,373
16,836,707,273,410,533,315,269,795,445,440,797,62,739,151,224,790,144,900,323,961,867,813
813,809,142,482,706,575,110,165,144,344,302,333,16,687,550,983,190,785,744,0,889,389,56
724,658,447,87,519,453,165,813,672,144,482,296,142,466,853,242,475,627,174,682,708,889,696
411,286,569,385,32,31,848,107,810,646,462,406,189,612,792,165,813,142,779,375,802,445,638
693,695,445,302,452,62,756,56,87,295,784,821,142,925,875,226,661,426,91,848,197,265,835
472,62,16,610,408,875,648,889,865,269,87,38,470,242,445,714,154,33,92,571,250,142,340
837,326,399,23,260,222,628,451,171,816,50,963,62,165,810,838,52,533,646,439,93,142,786
977,949,300,914,81,142,889,886,62,61,689,93,376,357,247,837,231,829,447,817,185,186,955
142,782,146,708,915,813,41,332,840,810,143,344,730,291,533,242,692,76,62,34,756,645,636
947,88,146,756,141,810,418,241,297,323,840,478,28,664,62,236,194,40,188,910,621,875,472
142,845,146,791,779,659,64,138,889,222,480,810,62,858,648,135,96,955,668,45,269,16,375
442,445,810,558,294,970,409,62,142,571,370,495,56,821,756,514,163,108,19,714,332,23,699
684,395,180,79,512,280,756,142,165,62,26,375,958,482,630,319,704,295,732,350,581,673,332
746,79,142,440,814,218,837,870,326,754,395,642,165,291,472,92,790,138,882,190,491,144,62
