62,645,445,326,499,892,406,636,800,973,901,14,695,886,765,332,485,415,197,889,323,355,755,222,681,203,142,644,21,242,565,154,643,50,697,315,368,972,291,254,492,810,930,287,608,569,16,516,672,443,482,596,124,813
487,585,142,345,282,638,776,280,781,374,62,261,181,810,797,165,883,409,239,87,56,821,943,718,53,39,336,512,268,15,756,603,269,476,419,952,16,188,68,762,873,116,732,783,813,969,275,478,751,941,315,919,537,457
142,958,875,410,92,801,443,433,291,81,16,977,269,937,326,477,819,692,651,619,955,849,480,329,323,638,62,374,68,482,133,345,451,8,892,820,153,56,552,673,165,340,967,982,895,75,318,732,240,816,203,445,709,33
934,261,467,68,87,816,296,887,650,142,931,86,659,300,146,977,823,452,684,375,662,62,135,208,0,10,833,849,864,634,529,496,497,167,269,472,203,222,813,409,511,378,752,538,326,734,445,569,133,729,979,207,579,875
858,287,919,62,492,187,488,165,964,684,596,581,889,703,87,845,296,799,528,783,756,629,302,16,326,853,832,571,468,128,628,142,410,920,445,127,332,183,446,442,234,671,813,867,14,392,457,117,568,24,806,181,949,583
300,218,357,223,140,797,492,196,33,920,445,728,326,323,345,860,899,636,799,294,269,389,480,697,252,889,174,515,89,973,838,380,56,62,733,0,144,875,559,634,813,943,375,809,348,924,681,277,390,16,26,588,141,142
93,645,394,311,165,695,504,114,622,783,875,810,40,26,421,370,440,829,62,792,294,405,926,142,813,382,269,837,924,341,81,222,797,18,578,812,619,329,983,638,172,521,892,302,248,146,509,738,378,438,855,116,69,457
495,79,175,494,198,959,972,915,142,810,375,44,634,492,26,956,551,62,629,958,697,615,151,346,269,296,53,718,813,165,929,192,785,177,638,491,45,77,213,479,482,291,18,583,926,668,569,287,756,746,726,791,465,823
829,142,56,140,445,810,681,87,748,684,332,62,976,513,197,854,187,875,957,612,627,163,269,480,900,76,737,615,440,588,26,770,245,790,538,277,43,794,1,634,374,641,447,813,451,238,884,519,678,835,530,630,821,958
900,409,881,222,16,960,712,144,420,83,975,824,62,859,783,142,889,448,639,977,892,626,115,745,480,23,526,940,385,445,134,77,412,581,692,194,875,533,0,695,404,697,269,165,131,384,788,887,682,629,20,219,7,56
482,634,756,668,338,922,345,701,899,983,174,255,256,278,269,139,786,192,16,494,358,308,300,472,457,242,340,173,375,354,53,124,27,332,118,643,381,572,974,780,81,931,166,138,205,577,612,438,8,810,969,478,452,533
546,571,969,143,323,62,808,402,622,496,222,376,79,881,16,957,695,256,433,598,15,756,50,142,87,962,194,329,828,875,952,892,816,146,144,913,332,475,91,703,807,174,638,938,977,871,818,467,421,5,961,779,161,821
981,619,62,141,281,133,127,142,165,792,480,402,765,79,548,16,161,744,533,482,569,8,195,222,14,416,384,728,412,450,581,414,695,527,323,235,979,379,227,362,971,334,940,513,806,838,813,98,247,93,333,101,649,484
797,585,889,494,142,409,445,558,271,800,612,269,943,624,385,909,62,673,527,739,756,768,276,779,645,632,157,439,765,626,222,568,617,937,947,153,602,728,1,323,748,155,248,681,790,268,61,531,297,648,140,440,44,977
546,62,807,311,33,886,765,479,16,295,146,269,241,142,635,695,557,514,468,791,829,184,662,626,559,969,445,10,222,323,779,809,165,411,689,416,421,977,889,618,327,638,166,174,458,529,345,52,752,625,159,856,196,144
958,326,777,27,62,813,875,638,480,58,632,6,142,748,68,294,691,16,889,152,508,838,397,405,983,38,297,198,525,207,482,774,898,792,287,558,858,89,648,26,637,452,853,144,571,385,700,118,737,216,0,333,864,657
269,475,81,62,222,445,294,127,482,209,977,135,299,804,76,144,326,142,926,850,947,134,504,913,775,165,837,295,56,728,428,78,171,895,979,16,803,228,777,571,796,405,533,859,291,638,630,765,776,61,713,805,376,810
326,323,534,610,329,921,142,577,460,892,445,273,501,19,11,853,566,407,739,862,270,627,756,360,222,62,751,294,786,375,38,863,78,821,636,165,484,791,44,492,170,625,79,695,533,814,875,68,217,746,889,852,670,688
144,813,222,310,445,974,892,116,20,909,405,298,871,492,559,80,746,977,565,738,581,786,881,792,646,591,346,283,348,837,165,86,217,314,268,56,171,723,790,764,681,100,142,900,16,406,931,302,729,482,695,662,928,878
756,142,638,139,271,10,21,351,690,854,146,16,428,354,770,62,983,480,317,963,627,326,3,889,968,192,668,776,73,144,197,728,301,296,0,213,538,87,915,875,137,587,323,635,151,402,100,569,931,785,461,335,588,412
16,326,323,681,378,135,142,70,244,62,165,389,800,222,824,66,533,341,203,646,413,480,810,269,10,790,923,482,813,103,581,612,625,979,453,695,696,765,14,577,256,634,970,216,762,475,583,705,356,114,929,756,493,349
8,269,142,768,889,785,323,654,649,634,174,3,893,406,701,629,62,296,391,482,16,881,131,783,447,430,691,68,601,947,550,126,827,445,499,973,90,838,794,906,760,961,210,50,202,864,417,329,750,250,943,99,756,270
752,424,62,493,14,42,457,889,559,445,131,742,142,277,922,821,91,16,222,813,135,297,907,261,516,797,903,645,598,165,422,934,392,243,492,359,417,92,521,701,269,810,184,682,779,44,323,487,56,437,26,270,634,747
385,786,261,344,142,982,62,871,245,333,177,98,351,972,639,53,445,752,698,332,106,668,12,747,905,389,765,311,812,727,434,809,231,820,816,514,116,44,326,301,693,860,783,56,218,568,770,330,643,354,497,482,222,320
918,684,62,142,68,836,256,23,269,737,494,634,482,56,604,16,758,756,668,703,881,294,326,244,395,285,469,480,792,813,862,975,745,903,875,250,837,135,202,889,921,146,323,597,18,548,340,952,387,103,348,152,379,810
260,0,144,480,62,925,442,755,347,323,943,194,369,673,142,222,375,666,581,39,684,95,966,785,668,824,889,445,135,893,217,351,551,812,769,875,892,233,756,128,84,810,863,896,23,180,44,472,73,174,387,632,768,420
495,445,777,16,877,709,569,898,903,839,521,889,810,853,459,54,241,359,822,21,224,817,326,62,451,242,218,76,392,641,84,346,87,863,152,5,217,886,728,251,405,724,756,240,127,689,93,703,881,142,436,283,519,919
421,269,952,772,174,666,887,127,142,955,243,909,684,680,504,889,765,854,392,120,756,16,38,447,375,591,790,256,812,458,106,783,943,648,715,897,892,133,62,126,480,248,144,704,326,885,324,323,523,728,350,795,975,262
95,62,165,668,762,765,222,376,742,269,756,783,531,142,440,623,240,204,16,84,850,769,482,602,330,374,266,436,354,702,641,601,924,914,695,889,294,256,550,197,475,810,105,809,452,766,970,821,233,837,83,480,649,791
569,533,180,849,606,892,889,480,739,160,697,71,716,323,414,521,144,438,756,728,68,142,54,559,813,234,581,954,585,695,838,792,885,508,299,269,283,445,470,891,348,929,628,768,472,924,546,602,477,535,475,955,650,977
277,317,323,533,405,446,820,738,420,298,482,618,300,911,790,146,631,16,810,267,157,311,241,374,602,19,187,725,142,668,792,51,889,643,623,872,223,340,516,135,752,575,672,147,328,290,167,931,620,250,615,514,326,171
482,546,259,269,492,338,514,222,889,73,533,929,691,960,542,838,728,142,62,570,834,16,134,97,439,295,918,445,634,452,780,323,648,779,949,79,202,87,627,468,480,892,784,477,421,872,681,195,952,10,673,880,454,615
445,550,816,467,354,728,133,576,144,480,482,76,142,381,765,62,973,16,446,5,338,269,582,586,223,241,243,821,87,341,790,89,745,597,795,871,447,898,931,234,118,675,430,323,406,53,832,344,405,569,326,867,810,107
