17,680,760,482,62,142,447,116,326,889,755,656,514,578,571,871,312,184,803,849,177,445,865,809,222,297,502,96,969,87
269,875,186,16,728,750,142,260,546,982,62,523,727,56,424,746,31,808,445,480,550,640,756,147,924,375,747,3,760,87
323,16,384,167,480,892,144,247,333,269,983,330,222,550,322,762,948,713,756,98,29,130,348,768,902,894,392,567,371,81
338,938,249,144,813,561,167,410,638,233,323,875,748,652,736,810,712,184,756,844,416,680,62,387,16,955,907,56,582,548
538,240,385,703,416,576,133,323,142,1,270,453,441,706,532,668,578,797,946,644,376,16,889,26,62,499,220,581,269,632
957,955,416,467,143,383,142,792,135,222,458,567,684,0,615,552,790,443,496,445,645,489,38,120,56,139,875,282,62,10
643,521,779,217,155,864,928,552,957,876,581,285,494,480,300,760,813,475,875,470,541,299,889,87,627,92,142,241,23,538
794,586,326,16,56,222,395,445,84,813,19,142,921,636,810,983,285,957,62,721,139,276,606,756,492,516,411,432,434,548
457,348,889,781,58,769,410,875,648,476,458,729,92,838,144,668,62,220,154,419,546,16,87,779,813,480,103,744,79,626
142,56,581,346,447,165,812,781,791,385,62,865,780,16,889,222,659,285,599,444,786,472,568,552,792,733,755,797,378,326
155,1,430,646,99,779,526,396,89,116,62,79,269,937,812,305,56,295,217,261,58,675,957,467,894,600,875,456,193,87
447,813,723,416,269,415,636,5,756,533,898,142,638,262,429,741,620,226,695,53,789,602,606,273,41,952,538,564,672,120
597,480,889,586,142,326,419,850,40,703,10,216,323,62,638,837,821,0,91,379,222,165,802,16,813,752,612,116,775,295
256,252,756,62,453,859,447,269,482,142,889,695,392,772,378,114,645,16,639,668,445,721,300,389,976,307,597,4,45,868
62,823,100,864,475,827,326,482,812,638,16,889,341,581,875,142,907,135,494,729,533,146,480,821,930,734,10,565,950,746
486,748,142,27,92,730,62,966,369,808,682,699,287,141,16,405,507,504,128,756,231,414,270,296,915,285,91,881,56,499
218,388,326,983,872,499,375,678,323,881,56,969,173,142,552,390,269,160,839,45,440,52,719,864,215,419,409,605,533,673
754,62,269,91,357,16,299,326,142,527,834,559,227,239,292,896,579,263,709,838,323,448,482,846,855,634,791,603,909,480
955,16,916,516,859,482,695,410,289,62,592,120,595,514,21,643,140,808,810,142,222,918,662,970,295,783,301,480,864,269
142,821,62,294,326,533,701,351,967,878,823,907,300,127,276,635,79,595,37,889,695,261,84,728,969,614,540,345,217,654
518,939,889,587,813,748,877,349,515,406,704,144,790,482,300,457,440,318,583,451,56,360,447,142,44,16,566,269,902,452
786,821,326,392,56,1,774,585,533,406,97,137,492,10,299,918,62,120,420,79,186,165,831,16,482,703,133,115,38,101
87,255,142,269,425,756,271,83,133,691,412,605,295,832,169,447,410,62,315,283,326,898,375,235,695,765,16,940,73,931
