168,721,982,669,92,700,695,756,537,326,808,478,595,666,119,207,440,56,62,810,684,760,241,68,142,323,782,87,797,273,875
447,62,70,323,881,695,142,428,810,16,790,464,283,61,480,69,197,152,648,79,105,952,224,17,0,268,416,780,404,514,395
349,791,62,810,482,497,304,84,564,142,16,781,238,708,151,452,287,114,310,689,103,143,17,146,550,719,516,323,26,269,38
323,209,687,104,983,180,28,785,472,449,533,813,703,142,79,222,492,571,16,653,652,137,694,668,679,81,522,482,326,55,396
169,889,289,107,62,142,810,77,828,105,0,378,133,222,620,120,269,118,291,76,283,756,40,165,381,300,955,942,416,677,324
791,221,688,720,323,222,482,61,792,596,764,665,165,748,223,906,270,445,144,983,146,101,808,62,865,619,207,546,492,850,291
54,142,345,882,141,222,781,738,892,850,533,482,668,486,315,207,581,199,445,821,144,62,634,900,775,810,370,779,854,415,809
439,528,92,0,939,756,146,834,62,177,466,357,173,747,401,897,480,632,269,326,873,154,864,672,452,634,346,790,294,142,970
279,514,335,810,482,486,340,442,41,728,601,765,44,845,447,62,314,294,110,821,938,287,645,581,346,132,142,949,553,19,860
944,482,62,330,16,791,889,142,748,751,892,812,680,55,695,709,979,875,260,222,295,324,859,477,146,955,813,326,675,269,667
370,14,62,354,784,889,372,133,204,495,775,634,385,703,963,182,326,218,716,445,668,409,830,490,485,222,142,457,173,405,70
482,102,480,889,459,119,142,56,191,305,686,282,695,222,340,433,241,868,62,476,245,703,832,952,538,581,577,591,769,20,78
300,142,821,889,62,727,16,353,194,634,533,892,562,812,515,273,304,467,648,445,597,91,480,165,96,890,0,20,645,577,813
143,483,736,746,323,69,142,519,702,279,885,165,62,615,926,339,962,681,97,883,315,946,653,526,269,125,410,813,83,509,326
533,62,326,691,142,460,749,482,773,865,423,405,101,466,445,708,287,745,323,820,319,979,810,329,182,222,858,515,207,335,838
151,56,633,332,62,5,99,810,174,977,926,954,269,310,577,767,47,142,947,28,583,550,682,864,813,491,826,429,776,822,918
944,56,142,844,301,409,695,943,326,686,166,765,256,779,62,753,157,514,821,638,628,850,952,105,814,16,368,634,482,740,646
480,357,760,975,222,365,340,241,518,548,354,389,596,165,887,93,323,186,526,653,392,982,785,41,790,11,445,523,810,24,859
87,21,326,548,16,62,376,638,457,269,334,960,233,264,142,844,943,0,330,881,56,947,672,813,822,445,935,595,756,452,797
328,789,641,684,426,830,83,338,416,16,151,732,475,712,233,482,61,821,648,847,91,101,480,270,299,144,269,160,174,140,887
677,62,585,960,404,59,886,587,291,324,546,974,927,618,810,529,472,326,816,115,202,87,776,778,300,559,475,938,482,921,604
628,204,62,546,269,617,28,889,480,587,646,323,142,721,892,797,719,146,680,244,970,290,87,875,150,733,238,84,16,294,207
639,756,497,0,733,853,393,269,62,190,4,604,141,692,535,101,143,445,900,482,142,925,300,957,323,913,509,779,337,855,774
