TCGA-DJ-A13P	BRAF,KMT2A,CPLANE1,OFD1,PHEX
TCGA-KS-A4I9	BRAF,STAR,KRT33B,SMURF2,STARD3,FBLN1
TCGA-FY-A3R9	NRAS,POMC,COL11A1,SEPSECS,RAB5C,PRDM4,AASDH,CSMD3,FMNL1,HMCN1,KRR1,PCDHB7,SERPINB3,TRIM39
TCGA-EM-A3AQ	RPL10A,TUBA8,GTPBP4,ATAD2,BEX1,KCND2,PRPF39
TCGA-EM-A4G1	NRAS,RREB1
TCGA-J8-A42S	BRAF,TAF2,CDH15,DNAH17,DNAH3,GSDME,NID2,SZT2
TCGA-ET-A3BX	BRAF,MOB1A,FLG2,MIA2
TCGA-BJ-A191	NDUFS5,CCL13,NUP93,NCOR1,DAAM1,PDCD1,FREM1,NPBWR2,RIMS2,ABHD4,ACAD10,BTBD7,CELF5,NPEPPS,RIC3,SARAF,STON2,TECPR2,TSC22D1
TCGA-EM-A2OY	COL12A1,AP3B1,GRM6,UBQLN3,CNPY4,EXOC3L4,LYPLAL1,SHROOM2,TLL2
TCGA-EL-A3T9	ITGA6,COL6A2,ITGAL,SLC8A1,FLNC,NTRK3,ETS1,EFNB1,ALB,AP5Z1,GJA8,KIAA1109,MPPED1,PCSK1,SLC25A33,STOML2
TCGA-EL-A3D5	TP53,SF3B3,ORC2,NPY1R,AMDHD1,ABCB11,DICER1,HOXC11,NCAN,TSPYL2
TCGA-EM-A2CT	NRAS,DICER1,WDR7,KRTAP4-12
TCGA-FE-A230	BRAF,RYK,NRG1,CEP83,NLRP11
TCGA-EL-A3CO	KCNMA1,BACH1,EIF1AX,HECTD1,SYNE2
TCGA-EM-A2OW	IL23R,TSHR,TOMM40,CXXC4,GGA2,ASTN2,DLC1,FAM155A,FAM207A
TCGA-DJ-A13U	BRAF,FGR,TCN2,COL27A1,NCAM2,PPP3R2,RNF139,SDAD1
TCGA-EL-A3T2	NRAS,DNAH8,THBS3,MAGI1,STAG2,FCN2,KDM2B,NIPBL,NSD3,UBR3
TCGA-DJ-A13X	BRAF,MYO1E,CCM2,FAM110C
TCGA-J8-A3YD	BRAF,DCTN1,DIAPH1,NOTCH4,GDI1,JPH2,PML,TF,TMEM67,UVSSA
TCGA-ET-A3DT	BRAF,NCOR1,GRM2,LSP1
TCGA-EL-A3ZT	BRAF,WNT3A,TFE3,MED13L,PTPN4,TRIO
TCGA-EL-A3H5	BRAF,ALDH1B1,BRCA2,PRKCSH,SEMA6B,BEX3,MAP3K6,ABCA6,ARID3B,ASPM,HHAT,MESD,NHS,NPHS1,SENP5,USP9X,ZBTB22,ZNHIT6,ZXDC
TCGA-BJ-A2N8	NRAS,BEX3,REXO2,CDH7,DOCK11,FKBPL,SCN9A
TCGA-H2-A422	BRAF,CACNA1C,AK9,SLC8A1,KLC2,CAMP,CECR2,CEP192,FAM131B,FOLR3,PLAG1
TCGA-EM-A4FF	BRAF,VCP,PLXNA3,ALX3,ANKZF1
TCGA-E8-A436	BRAF,DRD4,FAAH,TRPM2,OR5L1,WLS
TCGA-FK-A3SH	BRAF,STAT2,BTK,RET,CFH,C2CD3,DNTTIP1,HOXD12,NHSL2,SLCO2B1,USP2,ZMIZ1
TCGA-BJ-A45D	HRAS,PGK1,ARHGEF12,TG,SRP68,SLC25A13
TCGA-EM-A2CQ	KRAS,MGAM,TNXB,NPC1L1,ELF4,TRNT1
TCGA-EM-A3FN	ACTB,SP1,PRPF8,AVP,CPOX,ANKRD54,ARX,EIF1AX,MOV10L1,SLC25A13,SYTL3,TP53BP1
TCGA-J8-A3O0	NRAS,FANCD2,DNAJC11,GOLGB1,LTBP3,SERTAD3
TCGA-DJ-A2PT	BRAF,TBC1D7,B3GAT1,CBFA2T2,PRDM8,TRMT6
TCGA-ET-A3BS	BRAF,LPL,LIFR,NPAS2,SLC25A3
TCGA-BJ-A45J	BRAF,CYP1A2,EFTUD2,GLE1,ULBP1,SPTA1,BTBD2,CAPN9,LPP,MICAL2
TCGA-EM-A1CS	LBP,AMBP,MUC5AC
