87,9,363
296,361,197
245,67,314
77,328,63
61,227,71
122,41,221
55,230,120
2,76,335
324,85,151
95,173,369
241,94,178
218,326,154
125,226,276
83,308,20
88,57,344
242,174,42
42,241,144
347,318,95
216,290,356
365,58,217
186,4,333
135,362,141
312,304,318
365,268,246
212,281,302
156,128,239
71,190,265
304,325,71
81,259,348
115,246,133
128,327,183
268,8,129
342,280,250
92,254,240
314,251,113
13,245,253
229,147,46
62,340,186
243,269,278
314,58,150
306,263,86
59,108,133
142,278,211
316,263,151
42,183,318
214,303,321
120,46,45
270,57,356
306,299,378
253,36,157
57,152,71
139,103,167
133,167,321
33,83,9
183,99,242
331,31,108
317,136,28
374,151,54
301,223,278
357,337,260
139,325,63
58,301,137
146,281,240
51,246,253
220,289,193
222,127,119
108,16,107
352,355,71
165,178,314
164,112,83
175,144,322
25,323,63
15,40,306
196,278,160
355,366,139
25,357,272
256,69,284
223,183,354
374,301,6
275,330,133
63,120,95
186,303,328
171,331,42
258,71,174
142,263,31
47,31,218
188,151,373
42,58,317
133,160,365
110,54,112
36,168,71
378,63,369
282,359,51
261,158,340
304,308,237
100,71,212
237,83,214
71,306,131
338,282,66
301,148,358
16,258,4
108,316,51
44,284,187
69,275,367
227,353,284
233,257,278
332,89,0
280,227,349
258,173,122
32,12,285
31,347,63
71,278,311
277,367,305
36,108,278
22,85,197
293,304,36
32,101,36
378,213,160
200,108,58
277,41,159
369,125,308
251,71,343
13,117,262
227,376,301
358,66,43
61,3,201
65,60,216
8,37,204
133,221,78
320,6,248
196,316,330
190,353,357
263,297,107
181,308,219
237,121,183
268,244,367
111,37,141
176,21,3
18,86,268
165,244,267
168,41,150
201,102,122
71,22,161
299,241,80
4,289,188
171,253,101
100,144,123
45,96,223
357,87,164
19,71,273
348,340,63
63,181,310
280,303,27
330,188,361
104,102,164
183,262,227
138,96,317
193,215,353
295,88,372
181,88,56
210,313,95
353,115,143
298,358,4
321,292,72
249,328,315
271,55,128
135,19,81
356,42,321
193,309,14
63,310,92
129,126,229
236,254,355
49,193,112
59,334,265
3,152,227
132,245,115
328,83,314
199,266,53
142,368,211
106,198,332
331,161,374
281,13,244
