184,280,222,88,308,175,318,212,268,309,302
325,226,254,358,303,284,36,370,367,266,78
142,256,55,346,335,109,71,291,174,196,232
369,50,174,71,190,278,178,291,41,320,321
3,218,274,63,171,71,55,115,157,227,158
133,148,183,91,367,245,34,8,14,71,16
361,154,60,227,119,17,31,214,159,87,53
145,129,359,260,177,295,279,241,88,348,55
51,103,167,155,343,179,347,367,268,316,9
143,135,162,137,26,308,34,189,299,96,63
206,312,173,83,246,72,244,371,180,295,143
141,178,145,330,148,360,283,182,233,247,112
251,90,270,220,366,375,227,358,367,277,71
202,108,100,278,242,261,357,335,104,186,71
319,357,68,17,6,80,128,144,372,198,137
63,377,149,201,186,71,263,339,219,195,364
214,133,363,141,352,296,30,71,198,241,44
280,107,303,83,180,339,246,75,224,209,144
44,325,210,308,191,327,56,103,77,141,232
2,130,88,370,74,100,51,315,360,362,356
165,42,83,40,88,59,280,71,241,278,269
102,114,184,148,336,210,281,103,133,289,144
267,358,111,162,154,321,316,246,57,37,106
358,295,265,115,239,96,171,52,241,250,356
37,225,192,83,211,186,278,328,184,263,157
300,358,273,229,307,37,312,71,239,371,374
139,59,134,334,318,186,353,109,200,269,249
47,10,31,132,206,278,115,374,128,328,366
207,211,31,252,82,71,233,281,36,323,276
204,259,235,71,42,281,311,282,206,95,231
96,27,263,31,212,333,51,174,247,326,45
100,213,154,178,144,71,132,79,90,80,228
122,102,85,136,221,142,278,97,61,240,285
328,366,71,331,318,363,133,313,289,141,321
273,35,9,77,331,107,80,38,42,236,36
330,227,214,269,245,120,167,169,121,29,334
293,202,263,219,201,130,238,332,268,181,309
309,109,167,165,79,282,55,137,33,186,3
354,136,257,357,306,271,280,63,254,106,80
259,40,102,282,303,46,335,326,268,152,304
275,71,277,159,128,333,193,224,283,109,325
310,142,55,280,131,290,147,322,362,346,100
331,281,0,335,183,356,149,346,117,254,240
73,266,334,194,316,149,6,213,176,113,235
41,217,200,57,164,13,337,169,305,112,368
72,53,260,286,250,90,230,159,73,129,81
275,194,299,211,4,305,119,103,178,221,63
244,9,269,143,312,308,233,242,111,92,322
37,317,139,36,358,220,41,156,118,30,20
255,133,325,354,204,155,253,72,33,102,251
185,291,60,61,319,84,90,378,24,152,46
349,203,229,237,126,7,112,142,271,51,234
252,229,104,311,376,100,141,220,223,2,233
16,217,105,227,12,318,353,69,193,43,23
167,194,135,227,314,277,61,108,36,335,55
354,69,321,182,66,211,39,329,36,269,358
295,72,136,274,201,126,180,294,109,108,318
