"parameter","value_num","value_label","is_default","cancer_type","metric","score"
"max_degs",100,"100",FALSE,"BRCA","Precision@6",0.567599067599068
"max_degs",100,"100",FALSE,"BRCA","Precision@100",0.61
"max_degs",100,"100",FALSE,"COAD","Precision@6",0.728333333333333
"max_degs",100,"100",FALSE,"COAD","Precision@100",0.58
"max_degs",100,"100",FALSE,"HNSC","Precision@6",0.641081871345029
"max_degs",100,"100",FALSE,"HNSC","Precision@100",0.62
"max_degs",100,"100",FALSE,"KIRC","Precision@6",0.563519813519814
"max_degs",100,"100",FALSE,"KIRC","Precision@100",0.6
"max_degs",100,"100",FALSE,"KIRP","Precision@6",0.449438202247191
"max_degs",100,"100",FALSE,"KIRP","Precision@100",0.58
"max_degs",100,"100",FALSE,"LIHC","Precision@6",0.509868421052632
"max_degs",100,"100",FALSE,"LIHC","Precision@100",0.62
"max_degs",100,"100",FALSE,"LUAD","Precision@6",0.618945868945869
"max_degs",100,"100",FALSE,"LUAD","Precision@100",0.58
"max_degs",100,"100",FALSE,"LUSC","Precision@6",0.634767025089606
"max_degs",100,"100",FALSE,"LUSC","Precision@100",0.6
"max_degs",100,"100",FALSE,"PRAD","Precision@6",0.480572597137014
"max_degs",100,"100",FALSE,"PRAD","Precision@100",0.55
"max_degs",100,"100",FALSE,"STAD","Precision@6",0.578458681522748
"max_degs",100,"100",FALSE,"STAD","Precision@100",0.53
"max_degs",100,"100",FALSE,"THCA","Precision@6",0.533333333333333
"max_degs",100,"100",FALSE,"THCA","Precision@100",0.52
"max_degs",100,"100",FALSE,"UCEC","Precision@6",0.780149051490515
"max_degs",100,"100",FALSE,"UCEC","Precision@100",0.49
"max_degs",250,"250",FALSE,"BRCA","Precision@6",0.567599067599068
"max_degs",250,"250",FALSE,"BRCA","Precision@100",0.6
"max_degs",250,"250",FALSE,"COAD","Precision@6",0.727083333333333
"max_degs",250,"250",FALSE,"COAD","Precision@100",0.58
"max_degs",250,"250",FALSE,"HNSC","Precision@6",0.641081871345029
"max_degs",250,"250",FALSE,"HNSC","Precision@100",0.63
"max_degs",250,"250",FALSE,"KIRC","Precision@6",0.565268065268065
"max_degs",250,"250",FALSE,"KIRC","Precision@100",0.6
"max_degs",250,"250",FALSE,"KIRP","Precision@6",0.449438202247191
"max_degs",250,"250",FALSE,"KIRP","Precision@100",0.58
"max_degs",250,"250",FALSE,"LIHC","Precision@6",0.509868421052632
"max_degs",250,"250",FALSE,"LIHC","Precision@100",0.61
"max_degs",250,"250",FALSE,"LUAD","Precision@6",0.623931623931624
"max_degs",250,"250",FALSE,"LUAD","Precision@100",0.56
"max_degs",250,"250",FALSE,"LUSC","Precision@6",0.632974910394265
"max_degs",250,"250",FALSE,"LUSC","Precision@100",0.61
"max_degs",250,"250",FALSE,"PRAD","Precision@6",0.480572597137014
"max_degs",250,"250",FALSE,"PRAD","Precision@100",0.54
"max_degs",250,"250",FALSE,"STAD","Precision@6",0.583101207056639
"max_degs",250,"250",FALSE,"STAD","Precision@100",0.52
"max_degs",250,"250",FALSE,"THCA","Precision@6",0.533333333333333
"max_degs",250,"250",FALSE,"THCA","Precision@100",0.51
"max_degs",250,"250",FALSE,"UCEC","Precision@6",0.777439024390244
"max_degs",250,"250",FALSE,"UCEC","Precision@100",0.5
"max_degs",500,"500",TRUE,"BRCA","Precision@6",0.567365967365967
"max_degs",500,"500",TRUE,"BRCA","Precision@100",0.6
"max_degs",500,"500",TRUE,"COAD","Precision@6",0.728333333333333
"max_degs",500,"500",TRUE,"COAD","Precision@100",0.56
"max_degs",500,"500",TRUE,"HNSC","Precision@6",0.642178362573099
"max_degs",500,"500",TRUE,"HNSC","Precision@100",0.62
"max_degs",500,"500",TRUE,"KIRC","Precision@6",0.565850815850816
"max_degs",500,"500",TRUE,"KIRC","Precision@100",0.6
"max_degs",500,"500",TRUE,"KIRP","Precision@6",0.451310861423221
"max_degs",500,"500",TRUE,"KIRP","Precision@100",0.58
"max_degs",500,"500",TRUE,"LIHC","Precision@6",0.510964912280702
"max_degs",500,"500",TRUE,"LIHC","Precision@100",0.61
"max_degs",500,"500",TRUE,"LUAD","Precision@6",0.625712250712251
"max_degs",500,"500",TRUE,"LUAD","Precision@100",0.56
"max_degs",500,"500",TRUE,"LUSC","Precision@6",0.638351254480287
"max_degs",500,"500",TRUE,"LUSC","Precision@100",0.6
"max_degs",500,"500",TRUE,"PRAD","Precision@6",0.482617586912065
"max_degs",500,"500",TRUE,"PRAD","Precision@100",0.55
"max_degs",500,"500",TRUE,"STAD","Precision@6",0.583101207056639
"max_degs",500,"500",TRUE,"STAD","Precision@100",0.51
"max_degs",500,"500",TRUE,"THCA","Precision@6",0.533333333333333
"max_degs",500,"500",TRUE,"THCA","Precision@100",0.51
"max_degs",500,"500",TRUE,"UCEC","Precision@6",0.775067750677507
"max_degs",500,"500",TRUE,"UCEC","Precision@100",0.51
"max_degs",750,"750",FALSE,"BRCA","Precision@6",0.567365967365967
"max_degs",750,"750",FALSE,"BRCA","Precision@100",0.6
"max_degs",750,"750",FALSE,"COAD","Precision@6",0.727083333333333
"max_degs",750,"750",FALSE,"COAD","Precision@100",0.56
"max_degs",750,"750",FALSE,"HNSC","Precision@6",0.641081871345029
"max_degs",750,"750",FALSE,"HNSC","Precision@100",0.63
"max_degs",750,"750",FALSE,"KIRC","Precision@6",0.565850815850816
"max_degs",750,"750",FALSE,"KIRC","Precision@100",0.59
"max_degs",750,"750",FALSE,"KIRP","Precision@6",0.453183520599251
"max_degs",750,"750",FALSE,"KIRP","Precision@100",0.59
"max_degs",750,"750",FALSE,"LIHC","Precision@6",0.510964912280702
"max_degs",750,"750",FALSE,"LIHC","Precision@100",0.61
"max_degs",750,"750",FALSE,"LUAD","Precision@6",0.625356125356125
"max_degs",750,"750",FALSE,"LUAD","Precision@100",0.56
"max_degs",750,"750",FALSE,"LUSC","Precision@6",0.636917562724014
"max_degs",750,"750",FALSE,"LUSC","Precision@100",0.6
"max_degs",750,"750",FALSE,"PRAD","Precision@6",0.480572597137014
"max_degs",750,"750",FALSE,"PRAD","Precision@100",0.55
"max_degs",750,"750",FALSE,"STAD","Precision@6",0.583101207056639
"max_degs",750,"750",FALSE,"STAD","Precision@100",0.51
"max_degs",750,"750",FALSE,"THCA","Precision@6",0.533333333333333
"max_degs",750,"750",FALSE,"THCA","Precision@100",0.51
"max_degs",750,"750",FALSE,"UCEC","Precision@6",0.775745257452575
"max_degs",750,"750",FALSE,"UCEC","Precision@100",0.51
"max_degs",1000,"1000",FALSE,"BRCA","Precision@6",0.566899766899767
"max_degs",1000,"1000",FALSE,"BRCA","Precision@100",0.61
"max_degs",1000,"1000",FALSE,"COAD","Precision@6",0.728333333333333
"max_degs",1000,"1000",FALSE,"COAD","Precision@100",0.56
"max_degs",1000,"1000",FALSE,"HNSC","Precision@6",0.641081871345029
"max_degs",1000,"1000",FALSE,"HNSC","Precision@100",0.62
"max_degs",1000,"1000",FALSE,"KIRC","Precision@6",0.565850815850816
"max_degs",1000,"1000",FALSE,"KIRC","Precision@100",0.6
"max_degs",1000,"1000",FALSE,"KIRP","Precision@6",0.452247191011236
"max_degs",1000,"1000",FALSE,"KIRP","Precision@100",0.59
"max_degs",1000,"1000",FALSE,"LIHC","Precision@6",0.510416666666667
